Date/Time,Year,Month,Day,MaxTemp,MinTemp,MeanTemp,HeatDegDays,CoolDegDays,TotalPrecip,SnowGround
2016-01-01,2016,1,1,5,-7,-1,19,0,1,
2016-01-02,2016,1,2,-1,-7,-4,22,0,0,
2016-01-03,2016,1,3,-0.5,-6,-3.3,21.3,0,6,
2016-01-04,2016,1,4,-0.5,-5,-2.8,20.8,0,5,
2016-01-05,2016,1,5,-3,-15,-9,27,0,0,
2016-01-06,2016,1,6,-1,-16,-8.5,26.5,0,0,
2016-01-07,2016,1,7,1,-8,-3.5,21.5,0,0,
2016-01-08,2016,1,8,-5,-14,-9.5,27.5,0,0,
2016-01-09,2016,1,9,-4,-14,-9,27,0,0,
2016-01-10,2016,1,10,-3,-11,-7,25,0,0,
2016-01-11,2016,1,11,3,-16,-6.5,24.5,0,3,
2016-01-12,2016,1,12,-1,-5,-3,21,0,0,
2016-01-13,2016,1,13,0.5,-15,-7.3,25.3,0,4,
2016-01-14,2016,1,14,-3,-4,-3.5,21.5,0,0,
2016-01-15,2016,1,15,2,-14,-6,24,0,0,
2016-01-16,2016,1,16,-3,-9,-6,24,0,0,
2016-01-17,2016,1,17,-2,-11,-6.5,24.5,0,0,
2016-01-18,2016,1,18,-1,-4,-2.5,20.5,0,7,
2016-01-19,2016,1,19,0,-8,-4,22,0,5,
2016-01-20,2016,1,20,-2,-8,-5,23,0,0,
2016-01-21,2016,1,21,-1,-7,-4,22,0,0,
2016-01-22,2016,1,22,-2,-13,-7.5,25.5,0,0,
2016-01-23,2016,1,23,1.5,-6,-2.3,20.3,0,0,
2016-01-24,2016,1,24,-5,-15,-10,28,0,0,
2016-01-25,2016,1,25,-3,-13,-8,26,0,0,
2016-01-26,2016,1,26,6,-17,-5.5,23.5,0,2,
2016-01-27,2016,1,27,7,-2,2.5,15.5,0,0,
2016-01-28,2016,1,28,-1,-6,-3.5,21.5,0,0,
2016-01-29,2016,1,29,1,-11,-5,23,0,24,
2016-01-30,2016,1,30,0,-5,-2.5,20.5,0,6,
2016-01-31,2016,1,31,0.5,-15,-7.3,25.3,0,0,
2016-02-01,2016,2,1,7,-3.5,1.8,16.2,0,0,
2016-02-02,2016,2,2,3,0,1.5,16.5,0,0,
2016-02-03,2016,2,3,1,-13,-6,24,0,0,
2016-02-04,2016,2,4,8,-6,1,17,0,4,
2016-02-05,2016,2,5,10,0,5,13,0,16,
2016-02-06,2016,2,6,10,-4,3,15,0,22,
2016-02-07,2016,2,7,2,-8,-3,21,0,1,
2016-02-08,2016,2,8,-3,-10,-6.5,24.5,0,2,
2016-02-09,2016,2,9,1,-7,-3,21,0,27,
2016-02-10,2016,2,10,2.5,-4,-0.8,18.8,0,10,
2016-02-11,2016,2,11,1,-7,-3,21,0,4,
2016-02-12,2016,2,12,2,-9,-3.5,21.5,0,1,
2016-02-13,2016,2,13,,,,,,,
2016-02-14,2016,2,14,-4,-11,-7.5,25.5,0,4,
2016-02-15,2016,2,15,-6,-21,-13.5,31.5,0,0,
2016-02-16,2016,2,16,4,-15,-5.5,23.5,0,0,
2016-02-17,2016,2,17,8,-2,3,15,0,3,
2016-02-18,2016,2,18,4,-2,1,17,0,0,
2016-02-19,2016,2,19,7,1,4,14,0,0,
2016-02-20,2016,2,20,0,-6,-3,21,0,0,
2016-02-21,2016,2,21,1,-11,-5,23,0,0,
2016-02-22,2016,2,22,5,-5,0,18,0,0,
2016-02-23,2016,2,23,-3,-8,-5.5,23.5,0,0,
2016-02-24,2016,2,24,0,-15,-7.5,25.5,0,5,
2016-02-25,2016,2,25,7,-4,1.5,16.5,0,13,
2016-02-26,2016,2,26,11,-1,5,13,0,3,
2016-02-27,2016,2,27,2,-4,-1,19,0,0,
2016-02-28,2016,2,28,3,-4,-0.5,18.5,0,0,
2016-02-29,2016,2,29,6,-6,0,18,0,3,
2016-03-01,2016,3,1,8,1,4.5,13.5,0,4,
2016-03-02,2016,3,2,4,-6,-1,19,0,0,
2016-03-03,2016,3,3,7,-2,2.5,15.5,0,12,
2016-03-04,2016,3,4,-2,-7,-4.5,22.5,0,0,
2016-03-05,2016,3,5,0,-12,-6,24,0,16,
2016-03-06,2016,3,6,-0.5,-3,-1.8,19.8,0,2,
2016-03-07,2016,3,7,-0.5,-14,-7.3,25.3,0,0,
2016-03-08,2016,3,8,3,-16,-6.5,24.5,0,0,
2016-03-09,2016,3,9,2,-15,-6.5,24.5,0,5,
2016-03-10,2016,3,10,0,-6,-3,21,0,0,
2016-03-11,2016,3,11,-1,-17,-9,27,0,0,
2016-03-12,2016,3,12,-3,-16,-9.5,27.5,0,0,
2016-03-13,2016,3,13,-0.5,-14,-7.3,25.3,0,5,
2016-03-14,2016,3,14,2,-12,-5,23,0,0,
2016-03-15,2016,3,15,3,-12,-4.5,22.5,0,0,
2016-03-16,2016,3,16,4,0,2,16,0,0,
2016-03-17,2016,3,17,4,-7,-1.5,19.5,0,2,
2016-03-18,2016,3,18,3,-2,0.5,17.5,0,0,
2016-03-19,2016,3,19,-2,-9,-5.5,23.5,0,0,
2016-03-20,2016,3,20,4,-10,-3,21,0,8,
2016-03-21,2016,3,21,4,-3,0.5,17.5,0,0,
2016-03-22,2016,3,22,2,-7,-2.5,20.5,0,0,
2016-03-23,2016,3,23,1,-10,-4.5,22.5,0,0,
2016-03-24,2016,3,24,0,-11,-5.5,23.5,0,3,
2016-03-25,2016,3,25,0,-5,-2.5,20.5,0,1,
2016-03-26,2016,3,26,4,-11,-3.5,21.5,0,0,
2016-03-27,2016,3,27,5,-8,-1.5,19.5,0,5,
2016-03-28,2016,3,28,6,-2,2,16,0,4,
2016-03-29,2016,3,29,3,-4,-0.5,18.5,0,0,
2016-03-30,2016,3,30,8,-4,2,16,0,0,
2016-03-31,2016,3,31,0,-2,-1,19,0,1,
2016-04-01,2016,4,1,2,-7,-2.5,20.5,0,0,
2016-04-02,2016,4,2,6,-4,1,17,0,23,
2016-04-03,2016,4,3,14,0,7,11,0,6,
2016-04-04,2016,4,4,10,0,5,13,0,0,
2016-04-05,2016,4,5,0,-5,-2.5,20.5,0,13,
2016-04-06,2016,4,6,-2,-8,-5,23,0,0,
2016-04-07,2016,4,7,4,-10,-3,21,0,0,
2016-04-08,2016,4,8,10,0.5,5.3,12.7,0,2,
2016-04-09,2016,4,9,15,4,9.5,8.5,0,8,
2016-04-10,2016,4,10,14,2,8,10,0,3,
2016-04-11,2016,4,11,7,-7,0,18,0,0,
2016-04-12,2016,4,12,10,-6,2,16,0,2,
2016-04-13,2016,4,13,13,0.5,6.8,11.2,0,0,
2016-04-14,2016,4,14,10,1,5.5,12.5,0,12,
2016-04-15,2016,4,15,5,3,4,14,0,4,
2016-04-16,2016,4,16,6,0,3,15,0,0,
2016-04-17,2016,4,17,10,-2,4,14,0,0,
2016-04-18,2016,4,18,4,1,2.5,15.5,0,0,
2016-04-19,2016,4,19,5,-6,-0.5,18.5,0,0,
2016-04-20,2016,4,20,0.5,-3,-1.3,19.3,0,10,
