PlotName,Year,EVI,DEM_2016,Aspect_2016,Slope_2016,LandCover,AgeClss,HghtCls,CrwnDns,SppComp
Bloomfield+A1,2016,0.591400027,77,135,0.675206006,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbFwB
Bloomfield+A11,2016,0.448049992,77,90,0.954841256,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+A13,2016,0.465600014,77,117,1.067520261,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+A3,2016,0.430099994,77,90,0,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+A5,2016,0.47209999,77,90,0,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Bloomfield+A7,2016,0.506600022,77,90,0,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+A9,2016,0.451950014,77,90,0,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+B14,2016,0.483399987,78,108,0.754894495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C10,2016,0.468650013,77,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C12,2016,0.460000008,78,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C14,2016,0.464850008,78,90,3.18E-15,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C2,2016,0.510699987,76,135,1.350224495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C4,2016,0.496499985,76,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C6,2016,0.486750007,77,108,0.754894495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+C8,2016,0.513400018,77,90,0,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+D1,2016,0.498349994,74,141,3.054369926,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+E1,2016,0.455199987,75,124,3.438912392,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Bloomfield+F1,2016,0.452749997,76,158,2.569502831,Mixed,21-40-years,3.6-6.5-meters,51-75%,wSbF
Bloomfield+F11,2016,0.436699986,79,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F13,2016,0.437900007,79,108,0.754894495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F3,2016,0.470050007,78,117,2.134299994,Mixed,21-40-years,3.6-6.5-meters,51-75%,wSbF
Bloomfield+F5,2016,0.456050009,78,98,1.687604904,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F7,2016,0.468300015,78,117,1.067520261,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+F9,2016,0.517149985,79,117,1.067520261,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+G14,2016,0.460799992,80,108,0.754894495,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+H14,2016,0.471399993,80,135,0.337614715,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+I10,2016,0.427350014,79,135,1.012750387,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+I12,2016,0.44600001,80,90,3.18E-15,Mixed,21-40-years,6.6-9.5-meters,51-75%,wSbF
Bloomfield+I14,2016,0.467750013,80,162,0.754894495,Mixed,21-40-years,3.6-6.5-meters,26-50%,wS
Bloomfield+I2,2016,0.438199997,78,135,1.350224495,Mixed,21-40-years,3.6-6.5-meters,51-75%,wSbF
