PlotName,SiteName,SiteCode,Year,POINT_X,POINT_Y,NDMI
Bloomfield+E1,Bloomfield,BL,2016,-53.98458432,48.35021095,0.467500001
Bloomfield+A1,Bloomfield,BL,2016,-53.98686909,48.35026857,0.425949991
Bloomfield+D1,Bloomfield,BL,2016,-53.98507272,48.35025226,0.542349994
Bloomfield+F1,Bloomfield,BL,2016,-53.98404674,48.3502519,0.528199971
Bloomfield+K1,Bloomfield,BL,2016,-53.9816713,48.35025957,0.555000007
Bloomfield+J1,Bloomfield,BL,2016,-53.98213168,48.35028361,0.552649975
Bloomfield+N1,Bloomfield,BL,2016,-53.98011965,48.35027282,0.517700016
Bloomfield+C2,Bloomfield,BL,2016,-53.98556391,48.35057243,0.548900008
Bloomfield+I2,Bloomfield,BL,2016,-53.98267731,48.35061138,0.554899991
Bloomfield+L2,Bloomfield,BL,2016,-53.9811386,48.35061531,0.399749994
Bloomfield+A3,Bloomfield,BL,2016,-53.98687997,48.35091615,0.545650005
Bloomfield+F3,Bloomfield,BL,2016,-53.98393523,48.35088466,0.55250001
Bloomfield+N3,Bloomfield,BL,2016,-53.97998532,48.35097815,0.451649994
Bloomfield+C4,Bloomfield,BL,2016,-53.98565775,48.35125384,0.469949991
Bloomfield+I4,Bloomfield,BL,2016,-53.98255492,48.35128941,0.553799987
Bloomfield+L4,Bloomfield,BL,2016,-53.98112454,48.35129953,0.429899991
Bloomfield+A5,Bloomfield,BL,2016,-53.98677111,48.35159383,0.410050005
Bloomfield+F5,Bloomfield,BL,2016,-53.98380042,48.35158101,0.545400023
Bloomfield+N5,Bloomfield,BL,2016,-53.98005475,48.35170519,0.498899996
Bloomfield+C6,Bloomfield,BL,2016,-53.98559142,48.35196641,0.575399995
Bloomfield+I6,Bloomfield,BL,2016,-53.98237808,48.35195986,0.572449982
Bloomfield+L6,Bloomfield,BL,2016,-53.98105657,48.35198514,0.513300002
Bloomfield+F7,Bloomfield,BL,2016,-53.98371638,48.35222206,0.567799985
Bloomfield+A7,Bloomfield,BL,2016,-53.98666436,48.35230745,0.584999979
Bloomfield+N7,Bloomfield,BL,2016,-53.97991727,48.35235661,0.525099993
Bloomfield+I8,Bloomfield,BL,2016,-53.98232098,48.3526002,0.482450008
Bloomfield+C8,Bloomfield,BL,2016,-53.98545664,48.35266276,0.551699996
Bloomfield+L8,Bloomfield,BL,2016,-53.98109644,48.35266796,0.471399993
Bloomfield+A9,Bloomfield,BL,2016,-53.98652643,48.3529499,0.574100018
Bloomfield+F9,Bloomfield,BL,2016,-53.98365475,48.35301548,0.578050017
Bloomfield+N9,Bloomfield,BL,2016,-53.97987519,48.35302356,0.520799994
Bloomfield+C10,Bloomfield,BL,2016,-53.98537367,48.35332177,0.598100007
Bloomfield+I10,Bloomfield,BL,2016,-53.98216182,48.35334217,0.555599988
Bloomfield+L10,Bloomfield,BL,2016,-53.98096159,48.35336431,0.479950011
Bloomfield+A11,Bloomfield,BL,2016,-53.98642177,48.35369946,0.563199997
Bloomfield+F11,Bloomfield,BL,2016,-53.98351731,48.35366691,0.594550014
Bloomfield+N11,Bloomfield,BL,2016,-53.97991557,48.35371536,0.514349997
Bloomfield+C12,Bloomfield,BL,2016,-53.98529123,48.35398977,0.58099997
Bloomfield+I12,Bloomfield,BL,2016,-53.98197359,48.3540489,0.540899992
Bloomfield+L12,Bloomfield,BL,2016,-53.98086718,48.3540596,0.507250011
Bloomfield+A13,Bloomfield,BL,2016,-53.98627405,48.35440514,0.512549996
Bloomfield+F13,Bloomfield,BL,2016,-53.98342609,48.35441612,0.576650023
Bloomfield+N13,Bloomfield,BL,2016,-53.97983305,48.35438336,0.523249984
Bloomfield+B14,Bloomfield,BL,2016,-53.98576199,48.3546524,0.538349986
Bloomfield+C14,Bloomfield,BL,2016,-53.98522488,48.35470234,0.523800015
Bloomfield+G14,Bloomfield,BL,2016,-53.98292854,48.35468098,0.588400006
