Date_Time,Year,Month,Day,MaxTemp,MinTemp,MeanTemp,HeatDegDays,CoolDegDays,TotalPrecip,SnowGround
2016-01-01,2016,1,1,-1.2,-6.1,-3.7,21.7,0,1.3,0
2016-01-02,2016,1,2,0.1,-7.3,-3.6,21.6,0,0,0
2016-01-03,2016,1,3,-2,-5,-3.5,21.5,0,3.6,2
2016-01-04,2016,1,4,-3.5,-10.1,-6.8,24.8,0,6.8,13
2016-01-05,2016,1,5,-9.6,-15.2,-12.4,30.4,0,0,12
2016-01-06,2016,1,6,-1.9,-13.6,-7.8,25.8,0,0,11
2016-01-07,2016,1,7,0.4,-7.6,-3.6,21.6,0,0,9
2016-01-08,2016,1,8,-7.2,-11.6,-9.4,27.4,0,0,8
2016-01-09,2016,1,9,-5.9,-11.9,-8.9,26.9,0,0,9
2016-01-10,2016,1,10,-4.4,-12.5,-8.5,26.5,0,0,9
2016-01-11,2016,1,11,1.8,-9.4,-3.8,21.8,0,3.6,9
2016-01-12,2016,1,12,2.7,-10.9,-4.1,22.1,0,0,7
2016-01-13,2016,1,13,-0.1,-13.4,-6.8,24.8,0,11.1,6
2016-01-14,2016,1,14,-2,-7.1,-4.6,22.6,0,0,16
2016-01-15,2016,1,15,-4.8,-10.6,-7.7,25.7,0,0.6,15
2016-01-16,2016,1,16,-1.5,-10.9,-6.2,24.2,0,0,15
2016-01-17,2016,1,17,-1.8,-9.7,-5.8,23.8,0,0,15
2016-01-18,2016,1,18,-1.5,-6.6,-4.1,22.1,0,6.7,14
2016-01-19,2016,1,19,-1.5,-10.9,-6.2,24.2,0,2.8,22
2016-01-20,2016,1,20,-2.1,-11,-6.6,24.6,0,0,23
2016-01-21,2016,1,21,-2.5,-11.4,-7,25,0,0,23
2016-01-22,2016,1,22,-3.7,-12.3,-8,26,0,0,22
2016-01-23,2016,1,23,-4.4,-10.8,-7.6,25.6,0,0,21
2016-01-24,2016,1,24,-6.9,-13.2,-10.1,28.1,0,0.6,21
2016-01-25,2016,1,25,-2.6,-14.8,-8.7,26.7,0,0,21
2016-01-26,2016,1,26,3.9,-16.8,-6.5,24.5,0,0.6,21
2016-01-27,2016,1,27,4.6,-4.5,0.1,17.9,0,0,17
2016-01-28,2016,1,28,-2.2,-8.7,-5.5,23.5,0,0,13
2016-01-29,2016,1,29,-1.2,-8.3,-4.8,22.8,0,28,13
2016-01-30,2016,1,30,-2,-8.5,-5.3,23.3,0,13.9,37
2016-01-31,2016,1,31,-1.1,-12.4,-6.8,24.8,0,1.3,39
2016-02-01,2016,2,1,5.9,-1.1,2.4,15.6,0,1.3,37
2016-02-02,2016,2,2,4.2,-10.6,-3.2,21.2,0,0,31
2016-02-03,2016,2,3,-3.9,-12.9,-8.4,26.4,0,0,30
