"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"20","ABBA.NP20",9,795.529859127274,0,1,0.340998607096057,-387.899544948252,0.340998607096057
"26","ABBA.NP26",5,796.107918046274,0.57805891900091,0.74899014020228,0.255404594537658,-392.776181245359,0.596403201633715
"10","ABBA.NP10",9,796.84478619392,1.31492706664665,0.518163974708761,0.176693193623044,-388.557008481575,0.773096395256759
"23","ABBA.NP23",5,798.520711337202,2.99085220992856,0.224153071641834,0.076435885206168,-393.982577890823,0.849532280462927
"8","ABBA.NP8",9,799.400007187834,3.8701480605605,0.144413577450194,0.0492448287562747,-389.834618978532,0.898777109219202
"16","ABBA.NP16",8,800.240489682222,4.71063055494835,0.0948635934652734,0.0323483532357848,-391.434530555397,0.931125462454986
"21","ABBA.NP21",9,800.822239363321,5.29238023604762,0.0709208992537357,0.0241839278595237,-390.545735066276,0.95530939031451
"24","ABBA.NP24",5,802.03137439967,6.50151527239598,0.0387448422139526,0.0132119372271143,-395.737909422057,0.968521327541624
"27","ABBA.NP27",3,803.581025277617,8.05116615034365,0.01785301147019,0.00608785204380472,-398.681421729718,0.974609179585429
"22","ABBA.NP22",9,803.722798750146,8.19293962287225,0.0166312834588182,0.0056712444936767,-391.996014759688,0.980280424079106
"29","ABBA.NP29",3,804.562552477533,9.03269335025959,0.0109288775648235,0.00372673202672815,-399.172185329676,0.984007156105834
"30","ABBA.NP30",3,805.001892829426,9.47203370215209,0.00877352292814247,0.0029917590978219,-399.391855505622,0.986998915203656
"28","ABBA.NP28",3,805.281286645537,9.75142751826297,0.00762964654503624,0.0026016988444926,-399.531552413677,0.989600614048148
"9","ABBA.NP9",15,805.922218129631,10.3923590023577,0.00553768076041761,0.00188834142584504,-385.512129472979,0.991488955473994
"31","ABBA.NP31",2,806.390890916432,10.861031789158,0.00438083517047901,0.00149385869105076,-401.141391404162,0.992982814165044
"18","ABBA.NP18",5,806.418924292422,10.8890651651486,0.00431985871304627,0.00147306580400054,-397.931684368433,0.994455879969045
"11","ABBA.NP11",15,806.548938697284,11.0190795700103,0.00404796989105495,0.00138035209441652,-385.825489756805,0.995836232063461
"25","ABBA.NP25",5,806.782258253104,11.2523991258306,0.00360223943042298,0.00122835862820073,-398.113351348774,0.997064590691662
"12","ABBA.NP12",9,807.409307791,11.8794486637265,0.00263275531773994,0.000897765896174056,-393.839269280115,0.997962356587836
"17","ABBA.NP17",5,807.955468066704,12.4256089394306,0.00200361051244694,0.000683228393907424,-398.699956255574,0.998645584981743
"2","ABBA.NP2",17,808.403138081598,12.8732789543244,0.00160178046602794,0.000546204907789199,-384.014069040799,0.999191789889533
"19","ABBA.NP19",5,808.430370706665,12.9005115793919,0.00158011793915228,0.000538818016298421,-398.937407575555,0.999730607905831
"14","ABBA.NP14",15,811.679628012956,16.1497688856829,0.00031125923409777,0.000106138965273125,-388.390834414641,0.999836746871104
"15","ABBA.NP15",15,811.909539884959,16.3796807576853,0.000277458168900188,9.46128491223867e-05,-388.505790350643,0.999931359720227
"7","ABBA.NP7",9,813.985664197951,18.4558050706773,9.82591152596531e-05,3.35062214380326e-05,-397.127447483591,0.999964865941665
"13","ABBA.NP13",15,814.293084395514,18.7632252682406,8.42592136297863e-05,2.87322744827662e-05,-389.69756260592,0.999993598216147
"4","ABBA.NP4",27,817.851203028399,22.3213439011256,1.42226904371196e-05,4.84991762821619e-06,-373.134903839781,0.999998448133776
"6","ABBA.NP6",27,820.175524738216,24.6456656109422,4.44899288458336e-06,1.51710037662319e-06,-374.297064694689,0.999999965234152
"5","ABBA.NP5",26,827.901653587134,32.3717944598609,9.34445868893238e-08,3.18644739699259e-08,-379.881861276326,0.999999997098626
"3","ABBA.NP3",26,832.694268384897,37.1644092576233,8.50846208880687e-09,2.90137372081275e-09,-382.278168675207,1
"1","ABBA.NP1",46,881.470158429534,85.9402993022604,2.17922022041903e-19,7.4311105971845e-20,-362.466422498349,1
