"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"10","ABBA.P10",9,-464.982767353261,0,1,0.537158883133089,242.356768292015,0.537158883133089
"16","ABBA.P16",8,-463.627251957809,1.35551539545281,0.507754255366613,0.272744708718803,240.499340264619,0.809903591851892
"24","ABBA.P24",5,-461.002822774475,3.9799445787865,0.136699213411186,0.0734291968011245,235.779189165015,0.883332788653017
"12","ABBA.P12",9,-460.17682103278,4.80594632048155,0.0904486348394124,0.0485852876712514,239.953795131775,0.931918076324268
"26","ABBA.P26",5,-458.298711444506,6.68405590875579,0.0353651660078121,0.0189967130745726,234.427133500031,0.950914789398841
"22","ABBA.P22",9,-457.988548538505,6.99421881475587,0.030284798035196,0.0162677482884971,238.859658884637,0.967182537687338
"23","ABBA.P23",5,-457.055183478866,7.92758387439574,0.0189909650385918,0.0102011655697495,233.805369517211,0.977383703257088
"8","ABBA.P8",9,-455.267869426753,9.71489792650806,0.00777028090105569,0.00417387541044145,237.499319328761,0.981557578667529
"18","ABBA.P18",5,-454.959016055207,10.023751298054,0.00665840275994313,0.00357662018998133,232.757285805381,0.98513419885751
"20","ABBA.P20",9,-454.756424190577,10.2263431626847,0.00601696932181143,0.00323206852075029,237.243596710673,0.988366267378261
"21","ABBA.P21",9,-454.498130101646,10.4846372516157,0.00528798175973607,0.00284048637608797,237.114449666207,0.991206753754349
"2","ABBA.P2",17,-454.468823487679,10.5139438655826,0.00521106029299332,0.00279916732692348,247.421911743839,0.994005921081272
"13","ABBA.P13",15,-453.092624953878,11.8901423993831,0.00261871588996181,0.00140666650269476,243.995292068776,0.995412587583967
"9","ABBA.P9",15,-451.973837898405,13.0089294548563,0.00149674170912155,0.000803988104810443,243.435898541039,0.996216575688777
"5","ABBA.P5",26,-451.637489957812,13.345277395449,0.0012650562419841,0.00067953619804472,259.887710496148,0.996896111886822
"27","ABBA.P27",3,-451.449253527626,13.5335138256352,0.00115142276674788,0.000618496967400301,228.833717672904,0.997514608854222
"19","ABBA.P19",5,-451.361672600861,13.6210947524,0.00110208947727301,0.0005919971527247,230.958614078208,0.998106606006947
"30","ABBA.P30",3,-450.86695816137,14.1158091918911,0.000860579467718129,0.000462267905726739,228.542569989776,0.998568873912674
"14","ABBA.P14",15,-450.756840705398,14.2259266478636,0.000814477850780318,0.000437504012661794,242.827399944536,0.999006377925336
"28","ABBA.P28",3,-450.687384541782,14.295382811479,0.000786678107143444,0.000422571133418425,228.452783179982,0.999428949058754
"15","ABBA.P15",15,-449.846453387611,15.1363139656501,0.000516643755019957,0.000277519782424205,242.372206285642,0.999706468841178
"11","ABBA.P11",15,-448.077008662288,16.9057586909736,0.000213285408006278,0.000114568151553238,241.487483922981,0.999821036992731
"25","ABBA.P25",5,-447.495653454159,17.4871138991027,0.000159485595597461,8.56691044069475e-05,229.025604504857,0.999906706097138
"17","ABBA.P17",5,-446.918236946005,18.0645304072561,0.000119491513765615,6.41859280782198e-05,228.73689625078,0.999970892025216
"7","ABBA.P7",9,-444.953154437897,20.0296129153646,4.47326696929748e-05,2.40285508918398e-05,232.341961834333,0.999994920576108
"29","ABBA.P29",3,-440.903370651059,24.0793967022024,5.90507533182765e-06,3.1719636700613e-06,223.56077623462,0.999998092539778
"31","ABBA.P31",2,-438.731896152143,26.2508712011187,1.99386498258672e-06,1.07102228716446e-06,221.420002130125,0.999999163562066
"6","ABBA.P6",27,-438.00615268611,26.9766146671516,1.38708333770191e-06,7.45084136492474e-07,254.793774017473,0.999999908646202
"4","ABBA.P4",27,-433.334437891746,31.6483294615149,1.34169121670587e-07,7.20701355475201e-08,252.457916620292,0.999999980716338
"3","ABBA.P3",26,-430.697668817866,34.2850985353956,3.58992559354929e-08,1.92836042236183e-08,249.417799926174,0.999999999999942
"1","ABBA.P1",46,-405.274456928584,59.7083104246769,1.08269250259849e-13,5.81577895472376e-14,280.90588518071,1
