"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"14","ABBA.Qty_C14",15,437.367753730581,0,1,0.360692119010033,-201.234897273454,0.360692119010033
"7","ABBA.Qty_C7",9,438.968273678287,1.60051994770657,0.449212165517976,0.162027287865764,-209.618752223759,0.522719406875798
"8","ABBA.Qty_C8",9,439.413662596003,2.04590886542229,0.359531158895243,0.129680055552058,-209.841446682617,0.652399462427856
"2","ABBA.Qty_C2",17,440.100036889144,2.73228315856335,0.25508930504259,0.0920087019726086,-199.862518444572,0.744408164400465
"17","ABBA.Qty_C17",5,440.27354640503,2.90579267444951,0.233891876365394,0.0843629565054667,-214.858995424737,0.828771120905931
"21","ABBA.Qty_C21",9,440.779519246229,3.41176551564888,0.181611995982468,0.0655060156685582,-210.52437500773,0.89427713657449
"28","ABBA.Qty_C28",3,442.780740762715,5.41298703213471,0.0667705264865307,0.0240836026858423,-218.281279472267,0.918360739260332
"29","ABBA.Qty_C29",3,443.573631167553,6.20587743697223,0.0449170098032389,0.0162012114455247,-218.677724674685,0.934561950705857
"31","ABBA.Qty_C31",2,443.663169325393,6.29541559481277,0.042950465286119,0.0154918943365172,-219.777530608643,0.950053845042374
"27","ABBA.Qty_C27",3,443.830636267111,6.46288253653069,0.0395005268864979,0.0142475287447037,-218.806227224465,0.964301373787077
"19","ABBA.Qty_C19",5,445.389124779916,8.02137104933558,0.0181209686069227,0.00653609056534525,-217.41678461218,0.970837464352423
"23","ABBA.Qty_C23",5,445.435591057256,8.06783732667537,0.0177048146310471,0.00638598710595223,-217.44001775085,0.977223451458375
"30","ABBA.Qty_C30",3,445.732600697993,8.36484696741212,0.0152614767727977,0.00550469439640281,-219.757209439905,0.982728145854778
"24","ABBA.Qty_C24",5,445.767957607212,8.40020387663111,0.0149940482745459,0.00540823504468469,-217.606201025828,0.988136380899462
"25","ABBA.Qty_C25",5,446.047061085648,8.67930735506792,0.0130410438279197,0.00470380173239508,-217.745752765046,0.992840182631857
"18","ABBA.Qty_C18",5,447.708802327469,10.3410485968886,0.00568158918980683,0.00204930444421593,-218.576623385957,0.994889487076073
"9","ABBA.Qty_C9",15,448.126289047679,10.7585353170982,0.00461119766493484,0.00166322265693947,-206.614164932003,0.996552709733013
"15","ABBA.Qty_C15",15,448.764469625165,11.3967158945843,0.00335146422250654,0.0012088467322022,-206.933255220746,0.997761556465215
"26","ABBA.Qty_C26",5,449.207331165591,11.83957743501,0.00268576757268503,0.000968735196960196,-219.325887805018,0.998730291662175
"12","ABBA.Qty_C12",9,450.100460345913,12.7327066153326,0.00171841434179779,0.000619818510280278,-215.184845557572,0.999350110172456
"10","ABBA.Qty_C10",9,451.41244688675,14.044693156169,0.000891730520505424,0.000321640171027021,-215.84083882799,0.999671750343483
"16","ABBA.Qty_C16",8,453.557979546138,16.1902258155571,0.000305026192565988,0.000110020543750189,-218.093275487355,0.999781770887233
"22","ABBA.Qty_C22",9,453.799249880032,16.431496149451,0.000270362184249054,9.75175091369724e-05,-217.034240324631,0.99987928839637
"5","ABBA.Qty_C5",26,454.471791546372,17.1040378157913,0.000193154744006976,6.96693939127166e-05,-193.166930255945,0.999948957790282
"20","ABBA.Qty_C20",9,455.58914275125,18.2213890206696,0.000110477960395451,3.98485296389417e-05,-217.92918676024,0.999988806319921
"4","ABBA.Qty_C4",27,459.226626154331,21.8588724237503,1.79228125593723e-05,6.46461724065964e-06,-193.822615402747,0.999995270937162
"13","ABBA.Qty_C13",15,459.921134087248,22.5533803566673,1.26647225911198e-05,4.56806562806526e-06,-212.511587451787,0.99999983900279
"11","ABBA.Qty_C11",15,466.924816522097,29.5570627915166,3.81737973953304e-07,1.37689878731814e-07,-216.013428669212,0.999999976692669
"3","ABBA.Qty_C3",26,470.50820520044,33.1404514698591,6.36271395631488e-08,2.29498077955793e-08,-201.185137082978,0.999999999642477
"6","ABBA.Qty_C6",27,478.831933372407,41.4641796418264,9.9121483312205e-10,3.57523378552969e-10,-203.625269011785,1
"1","ABBA.Qty_C1",46,521.086408928757,83.7186551981766,6.61797325207789e-19,2.38705079584369e-19,-182.274547747961,1
