"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"14","ABBA.Qty_P14",15,-1026.61828623243,0,1,0.667881104151191,530.758122708053,0.667881104151191
"2","ABBA.Qty_P2",17,-1024.89861562713,1.71967060530096,0.42323178173062,0.282668509694122,532.636807813566,0.950549613845313
"8","ABBA.Qty_P8",9,-1020.78667727899,5.8316089534469,0.0541604426869459,0.0361727362630747,520.258723254877,0.986722350108388
"7","ABBA.Qty_P7",9,-1016.84799215295,9.77029407948521,0.00755801235214196,0.00504785363493691,518.289380691858,0.991770203743325
"17","ABBA.Qty_P17",5,-1015.81478848208,10.8034977503495,0.00450868890942938,0.00301126812710392,513.185172018819,0.994781471870429
"9","ABBA.Qty_P9",15,-1015.3859307068,11.2323555256296,0.0036385218578535,0.00243009999590144,525.141944945238,0.99721157186633
"4","ABBA.Qty_P4",27,-1014.1328376233,12.4854486091336,0.00194455075172661,0.0012987287031412,542.857116486068,0.998510300569472
"5","ABBA.Qty_P5",26,-1012.10340603269,14.5148801997389,0.000704910227690354,0.000470796221197301,540.120668533588,0.998981096790669
"21","ABBA.Qty_P21",9,-1011.58944228976,15.0288439426686,0.000545165046608008,0.000364105433273192,515.660105760266,0.999345202223942
"31","ABBA.Qty_P31",2,-1010.16717946954,16.4511067628903,0.00026772415458795,0.000178807903974144,507.137643788825,0.999524010127916
"28","ABBA.Qty_P28",3,-1008.760243028,17.8580432044274,0.000132487586699476,8.84859556911729e-05,507.489212423093,0.999612496083607
"29","ABBA.Qty_P29",3,-1008.70746518335,17.9108210490782,0.000129037109485819,8.61814471598667e-05,507.462823500768,0.999698677530767
"30","ABBA.Qty_P30",3,-1008.27690497884,18.3413812535956,0.00010404462890354,6.9489441633097e-05,507.247543398509,0.9997681669724
"27","ABBA.Qty_P27",3,-1008.21868772076,18.3995985116708,0.000101059686943398,6.74958553009306e-05,507.218434769472,0.999835662827701
"23","ABBA.Qty_P23",5,-1006.51292369688,20.105362535553,4.30701115997583e-05,2.87657136911616e-05,508.534239626217,0.999864428541392
"19","ABBA.Qty_P19",5,-1006.41997254207,20.1983136903635,4.11142062562588e-05,2.745940147073e-05,508.487764048812,0.999891887942863
"15","ABBA.Qty_P15",15,-1006.31820382943,20.3000824030034,3.90744717156283e-05,2.60971013135583e-05,520.608081506551,0.999917985044177
"26","ABBA.Qty_P26",5,-1006.00512927901,20.6131569534177,3.34125668180626e-05,2.23156220189731e-05,508.280342417285,0.999940300666196
"18","ABBA.Qty_P18",5,-1005.70864502456,20.9096412078686,2.88090609514392e-05,1.92410274378062e-05,508.13210029006,0.999959541693634
"25","ABBA.Qty_P25",5,-1005.13597226795,21.4823139644858,2.16358914245975e-05,1.44502030539554e-05,507.845763911751,0.999973991896687
"24","ABBA.Qty_P24",5,-1004.98484930505,21.6334369273776,2.00612901350231e-05,1.33985566060767e-05,507.770202430305,0.999987390453294
"16","ABBA.Qty_P16",8,-1002.58064946342,24.0376367690127,6.02966934026089e-06,4.02710221664003e-06,509.976039017424,0.99999141755551
"10","ABBA.Qty_P10",9,-1002.0833468749,24.5349393575369,4.70224887911085e-06,3.14054317337426e-06,510.907058052832,0.999994558098684
"12","ABBA.Qty_P12",9,-1001.84876661876,24.7695196136742,4.18183753296079e-06,2.79297026889475e-06,510.789767924764,0.999997351068952
"22","ABBA.Qty_P22",9,-1000.75520677673,25.8630794556991,2.42049201167844e-06,1.61660087734894e-06,510.242988003751,0.99999896766983
"20","ABBA.Qty_P20",9,-998.342064817166,28.2762214152659,7.24263393435735e-07,4.83721834904147e-07,509.036417023968,0.999999451391665
"13","ABBA.Qty_P13",15,-998.11410141078,28.5041848216517,6.46241598997127e-07,4.31612552686632e-07,516.506030297227,0.999999883004217
"3","ABBA.Qty_P3",26,-995.463874008093,31.1544122243388,1.71753399597251e-07,1.14710850164733e-07,531.800902521288,0.999999997715068
"11","ABBA.Qty_P11",15,-987.466497116367,39.1517891160647,3.1499018036716e-09,2.10375989460401e-09,511.18222815002,0.999999999818827
"6","ABBA.Qty_P6",27,-982.560873164122,44.0574130683104,2.71053056395187e-10,1.81031214588773e-10,527.071134256479,0.999999999999859
"1","ABBA.Qty_P1",46,-968.25081121393,58.3674750185019,2.11672207206291e-13,1.41371867467057e-13,562.394062323383,1
