"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"3","ACRU.C3",29,213.717949556063,0,1,0.79992741684067,-68.1923081113651,0.79992741684067
"9","ACRU.C9",17,217.735988822086,4.01803926602244,0.134120097152927,0.107286342861961,-88.8679944110429,0.907213759702631
"14","ACRU.C14",17,218.410710627598,4.69276107153416,0.0957149729343512,0.0765650310523502,-89.2053553137988,0.983778790754981
"13","ACRU.C13",17,221.874212322208,8.15626276614472,0.016939088765768,0.0135500415200356,-90.9371061611041,0.997328832275017
"16","ACRU.C16",9,225.156174826189,11.4382252701258,0.00328262249443345,0.00262585973243523,-102.759905594913,0.999954692007452
"5","ACRU.C5",29,233.597538007224,19.8795884511606,4.82172254832285e-05,3.85702806280231e-05,-78.1321023369454,0.99999326228808
"4","ACRU.C4",29,238.227299008361,24.5093494522979,4.76280048209275e-06,3.80989468656795e-06,-80.446982837514,0.999997072182766
"2","ACRU.C2",17,239.108003600426,25.3900540443624,3.06633652831985e-06,2.45284665826308e-06,-99.5540018002129,0.999999525029425
"1","ACRU.C1",50,242.391506977293,28.6735574212291,5.93767083016899e-07,4.74970568922727e-07,-34.2392317495159,0.999999999999994
"12","ACRU.C12",9,280.953092213394,67.2351426573308,2.51231607379347e-15,2.00967050719691e-15,-130.658364288515,0.999999999999996
"11","ACRU.C11",17,280.977727049801,67.2597774937374,2.4815606287403e-15,1.98506838348174e-15,-120.4888635249,0.999999999999998
"7","ACRU.C7",9,281.85034733447,68.132397778407,1.60412350676036e-15,1.28318237305622e-15,-131.106991849053,0.999999999999999
"19","ACRU.C19",5,283.354819545182,69.6368699891182,7.56041810340669e-16,6.04778572369355e-16,-136.414251877854,1
"8","ACRU.C8",9,284.791876898769,71.0739273427052,3.68546909686158e-16,2.9481077744986e-16,-132.577756631203,1
"17","ACRU.C17",5,286.268871281492,72.5509217254286,1.76103309949717e-16,1.40869865825169e-16,-137.871277746009,1
"6","ACRU.C6",29,288.457105603151,74.7391560470876,5.89655662322373e-17,4.7168173078701e-17,-105.561886134909,1
"30","ACRU.C30",3,291.866722415449,78.1487728593859,1.07203654355621e-17,8.57551423045717e-18,-142.829912931863,1
"18","ACRU.C18",5,295.605365442469,81.8874158864054,1.65338339474523e-18,1.32258670800581e-18,-142.539524826498,1
"22","ACRU.C22",9,298.889380984102,85.1714314280381,3.20080087800167e-19,2.56040837816122e-19,-139.626508673869,1
"20","ACRU.C20",9,302.666337795016,88.9483882389523,4.84287106644822e-20,3.87394534227635e-20,-141.514987079326,1
"15","ACRU.C15",17,304.895475656666,91.1775261006025,1.58873612401046e-20,1.27087358372114e-20,-132.447737828333,1
"25","ACRU.C25",5,307.034145899212,93.3161963431486,5.45312468621564e-21,4.36210394395457e-21,-148.253915054869,1
"28","ACRU.C28",3,312.003472837156,98.2855232810923,4.54537578565087e-22,3.63597071078583e-22,-152.898288142716,1
"24","ACRU.C24",5,313.903353750798,100.185404194734,1.75798795640323e-22,1.40626276480265e-22,-151.688518980662,1
"10","ACRU.C10",9,314.683660779482,100.965711223418,1.19007512354459e-22,9.51973719423363e-23,-147.523648571559,1
"29","ACRU.C29",3,323.161042926811,109.443093370748,1.71685743408219e-24,1.37336133232907e-24,-158.477073187544,1
"23","ACRU.C23",5,324.121264775404,110.40331521934,1.06224503099107e-24,8.49718923692521e-25,-156.797474492965,1
"21","ACRU.C21",9,328.94149096328,115.223541407217,9.53950611531453e-26,7.63091248475933e-26,-154.652563663458,1
"26","ACRU.C26",5,330.373722056833,116.65577250077,4.66144817702101e-26,3.72882019898107e-26,-159.92370313368,1
"27","ACRU.C27",3,331.138043606679,117.420094050616,3.18090387090201e-26,2.54449221666914e-26,-162.465573527477,1
"31","ACRU.C31",2,331.313393230113,117.59544367405,2.91389472796157e-26,2.33090428268395e-26,-163.605414563775,1
