"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"6","ACRU.CP6",29,1761.98189696042,0,1,0.61980804852444,-842.324281813546,0.61980804852444
"10","ACRU.CP10",9,1764.46275262594,2.48085566551731,0.289260436371571,0.179285946582792,-872.413194494789,0.799093995107231
"21","ACRU.CP21",9,1767.01757334561,5.03567638518666,0.0806337330693115,0.0499774367389306,-873.690604854624,0.849071431846162
"28","ACRU.CP28",3,1768.69908635792,6.71718939749326,0.0347841067625806,0.0215594693321808,-881.246094903097,0.870630901178343
"24","ACRU.CP24",5,1768.75906239657,6.77716543614588,0.0337564854692355,0.0209225413837304,-879.116373303548,0.891553442562073
"31","ACRU.CP31",2,1769.16411760062,7.18222064019074,0.0275677044478461,0.017086685096118,-882.530776749026,0.908640127658191
"23","ACRU.CP23",5,1769.33652093342,7.35462397299534,0.0252908657371054,0.0156754821380089,-879.405102571973,0.9243156097962
"15","ACRU.CP15",17,1769.51014548844,7.52824852801928,0.0231879098335217,0.0143720531432757,-864.755072744222,0.938687662939476
"8","ACRU.CP8",9,1769.77379876471,7.79190180428759,0.0203240390852613,0.0125970030035703,-875.068717564174,0.951284665943046
"19","ACRU.CP19",5,1769.97151118418,7.98961422375305,0.0184109973309675,0.0114112843270956,-879.722597697352,0.962695950270142
"29","ACRU.CP29",3,1770.72238685168,8.74048989125413,0.0126481420814471,0.00783942026096157,-882.257745149977,0.970535370531103
"30","ACRU.CP30",3,1771.08658312596,9.10468616553408,0.0105424735338937,0.00653430994766321,-882.439843287117,0.977069680478766
"27","ACRU.CP27",3,1771.23033935227,9.24844239184745,0.00981129313623193,0.00608111845226915,-882.511721400274,0.983150798931036
"12","ACRU.CP12",9,1772.3143861383,10.3324891778761,0.00570595684712742,0.00353659797838271,-876.339011250968,0.986687396909418
"25","ACRU.CP25",5,1772.84833865963,10.8664416992074,0.00436900122073876,0.00270794212062699,-881.161011435079,0.989395339030045
"26","ACRU.CP26",5,1773.0033821741,11.0214852136705,0.00404310383159022,0.00250594829583962,-881.238533192311,0.991901287325885
"2","ACRU.CP2",17,1773.90473331191,11.9228363514808,0.00257625579661852,0.0015967840778019,-866.952366655953,0.993498071403687
"17","ACRU.CP17",5,1773.91903747036,11.9371405099316,0.0025578959448755,0.00158540449392186,-881.696360840441,0.995083475897609
"20","ACRU.CP20",9,1774.30945216959,12.3275552091657,0.00210428906637361,0.00130425529976034,-877.336544266613,0.996387731197369
"22","ACRU.CP22",9,1774.53782571217,12.5559287517499,0.00187721801776944,0.00116351483624859,-877.450731037905,0.997551246033618
"18","ACRU.CP18",5,1775.38825872072,13.4063617602972,0.00122700274002263,0.000760506173827566,-882.430971465624,0.998311752207445
"7","ACRU.CP7",9,1775.71345287197,13.7315559115464,0.00104287082951873,0.000646379733707069,-878.038544617804,0.998958131941152
"4","ACRU.CP4",29,1776.61843252401,14.6365355635876,0.00066331021465918,0.000411125009714234,-849.642549595339,0.999369256950867
"14","ACRU.CP14",17,1777.2214535166,15.2395565561715,0.000490650607045332,0.000304109195260099,-868.610726758298,0.999673366146127
"13","ACRU.CP13",17,1779.25424961578,17.2723526553511,0.000177564554529741,0.00011005594003019,-869.627124807888,0.999783422086157
"16","ACRU.CP16",9,1779.36865330613,17.3867563457052,0.00016769257378501,0.000103937206909728,-879.866144834883,0.999887359293066
"11","ACRU.CP11",17,1779.85497837091,17.8730814104847,0.000131495134735195,8.15017428506795e-05,-869.927489185455,0.999968861035917
"9","ACRU.CP9",17,1782.02835865594,20.0464616955155,4.43574071328323e-05,2.74930779526049e-05,-871.01417932797,0.99999635411387
"5","ACRU.CP5",29,1786.071171746,24.0892747855758,5.87598182476548e-06,3.64198082797297e-06,-854.368919206334,0.999999996094698
"3","ACRU.CP3",29,1799.74706862376,37.7651716633354,6.30082139639397e-09,3.90529981379999e-09,-861.206867645213,0.999999999999998
"1","ACRU.CP1",50,1828.39312526414,66.4112283037146,3.79301889050187e-15,2.3509436365383e-15,-827.240040892939,1
