"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"21","ACRU.P21",9,-344.846406578021,0,1,0.174774435468122,182.241385107192,0.174774435468122
"6","ACRU.P6",29,-344.702971049716,0.143435528305076,0.930793562052345,0.162678919345061,211.018152191525,0.337453354813184
"10","ACRU.P10",9,-343.823574046908,1.02283253111341,0.599645719562287,0.104802742117375,181.729968841636,0.442256096930559
"24","ACRU.P24",5,-343.491454420467,1.35495215755446,0.507897268723138,0.0887674584168878,177.00888510497,0.531023555347446
"29","ACRU.P29",3,-343.264224244682,1.58218233333952,0.453349845054206,0.0792339632389095,174.735560398203,0.610257518586356
"31","ACRU.P31",2,-343.159160401115,1.68724617690611,0.430149228080053,0.0751790885047398,173.63086225184,0.685436607091096
"8","ACRU.P8",9,-343.087759381059,1.75864719696222,0.415063566379985,0.0725425004974475,181.362061508711,0.757979107588543
"17","ACRU.P17",5,-341.897698853275,2.9487077247465,0.228926597356108,0.0400105168165519,176.212007321374,0.797989624405095
"27","ACRU.P27",3,-341.758603654683,3.0878029233379,0.213546331248005,0.0373224394901587,173.982750103204,0.835312063895254
"23","ACRU.P23",5,-341.589654695559,3.25675188246225,0.196248033798466,0.0342991393188559,176.057985242516,0.86961120321411
"30","ACRU.P30",3,-341.354394854054,3.49201172396732,0.174469408531418,0.0304927923825359,173.780645702889,0.900103995596646
"28","ACRU.P28",3,-341.314881744496,3.53152483352534,0.171056320550405,0.0298962718574512,173.76088914811,0.930000267454097
"15","ACRU.P15",17,-339.844053616962,5.00235296105876,0.08198848400618,0.0143294910070673,189.922026808481,0.944329758461164
"25","ACRU.P25",5,-339.584875125035,5.26153145298593,0.0720232909764019,0.012587830020957,175.055595457254,0.956917588482121
"26","ACRU.P26",5,-338.523363353384,6.32304322463682,0.0423612346396092,0.00740366086987037,174.524839571429,0.964321249351992
"20","ACRU.P20",9,-338.516780982456,6.32962559556523,0.0422220451347955,0.00737933410274347,179.07657230941,0.971700583454735
"18","ACRU.P18",5,-338.39859756755,6.44780901047068,0.0397993576911479,0.00695591027246426,174.462456678512,0.978656493727199
"19","ACRU.P19",5,-338.191457456031,6.65494912198972,0.0358836126088421,0.00627153813626718,174.358886622753,0.984928031863467
"4","ACRU.P4",29,-337.522687316723,7.32371926129798,0.0256847042238744,0.00448902968089335,207.428010325028,0.98941706154436
"12","ACRU.P12",9,-337.182988620106,7.66341795791499,0.0216725460381601,0.00378780699897633,178.409676128235,0.993204868543336
"7","ACRU.P7",9,-336.792526205347,8.05388037267454,0.0178287993819506,0.00311601834705483,178.214444920855,0.996320886890391
"22","ACRU.P22",9,-335.073535104065,9.77287147395634,0.00754827863577117,0.001319246137323,177.354949370214,0.997640133027714
"14","ACRU.P14",17,-334.738143831165,10.108262746856,0.00638290871915818,0.00111556926803543,187.369071915583,0.99875570229575
"2","ACRU.P2",17,-333.555900864383,11.2905057136385,0.00353425462774243,0.000617697357364282,186.777950432191,0.999373399653114
"9","ACRU.P9",17,-331.487613526991,13.3587930510298,0.00125653603123929,0.000219610375505201,185.743806763496,0.999593010028619
"11","ACRU.P11",17,-331.363871653332,13.4825349246888,0.00118114914541481,0.000206434675093528,185.681935826666,0.999799444703713
"16","ACRU.P16",9,-331.246538584952,13.5998679930688,0.00111384866329056,0.000194672271323531,175.441451110658,0.999994116975036
"13","ACRU.P13",17,-323.93347116489,20.9129354131309,2.8761648528628e-05,5.02680088472351e-06,181.966735582445,0.999999143775921
"5","ACRU.P5",29,-320.380684694405,24.4657218836159,4.86783663768024e-06,8.50773400301607e-07,198.857009013869,0.999999994549321
"3","ACRU.P3",29,-310.279850093902,34.5665564841186,3.1186571292972e-08,5.45061539191554e-09,193.806591713618,0.999999999999936
"1","ACRU.P1",50,-287.561036053458,57.2853705245632,3.63613369936248e-13,6.35503214592692e-14,230.737039765859,1
