"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"31","ACRU.Qty_C31",2,360.054955261752,0,1,0.317082315313759,-177.976195579594,0.317082315313759
"28","ACRU.Qty_C28",3,361.259665477891,1.20471021613912,0.547520646188275,0.173609114175464,-177.526384463083,0.490691429489223
"29","ACRU.Qty_C29",3,361.847550578852,1.79259531710056,0.408077709378785,0.129394224917761,-177.820327013564,0.620085654406983
"27","ACRU.Qty_C27",3,362.002504199976,1.94754893822454,0.377654897816306,0.119747689389175,-177.897803824126,0.739833343796158
"30","ACRU.Qty_C30",3,362.151672051791,2.09671679003935,0.350512680438851,0.111141372260383,-177.972387750033,0.850974716056541
"19","ACRU.Qty_C19",5,364.934290058979,4.87933479722716,0.0871898461035808,0.0276463582743737,-177.203987134753,0.878621074330915
"26","ACRU.Qty_C26",5,365.200739463198,5.14578420144608,0.0763145166903944,0.0241979836442408,-177.337211836862,0.902819057975155
"24","ACRU.Qty_C24",5,365.419658894185,5.36470363243325,0.0684020956806751,0.0216890948707417,-177.446671552356,0.924508152845897
"25","ACRU.Qty_C25",5,365.483154279499,5.42819901774766,0.066264596830101,0.0210113317862212,-177.478419245013,0.945519484632118
"17","ACRU.Qty_C17",5,365.668052341112,5.61309707936039,0.0604131465459331,0.0191559403821739,-177.570868275819,0.964675425014292
"23","ACRU.Qty_C23",5,365.998674725106,5.94371946335411,0.0512079886044483,0.0162371475892591,-177.736179467816,0.980912572603551
"18","ACRU.Qty_C18",5,366.15616613143,6.10121086967871,0.0473302603263475,0.0150075885286812,-177.814925170978,0.995920161132233
"16","ACRU.Qty_C16",9,371.87612588224,11.8211706204885,0.0027105998811079,0.000859483286190892,-176.119881122938,0.996779644418423
"20","ACRU.Qty_C20",9,372.481053917463,12.4260986557114,0.00200311997216167,0.000635153918624253,-176.42234514055,0.997414798337048
"21","ACRU.Qty_C21",9,372.617920646024,12.5629653842719,0.00187062497609593,0.000593142098504241,-176.49077850483,0.998007940435552
"22","ACRU.Qty_C22",9,373.149331105557,13.0943758438053,0.00143414285488465,0.00045474133691751,-176.756483734597,0.998462681772469
"7","ACRU.Qty_C7",9,373.15631574733,13.1013604855787,0.00142914310328808,0.000453156004105276,-176.759976055483,0.998915837776575
"12","ACRU.Qty_C12",9,373.168688500278,13.1137332385262,0.00142032917725858,0.000450361264032837,-176.766162431957,0.999366199040608
"10","ACRU.Qty_C10",9,373.543414618721,13.4884593569698,0.00117765550336799,0.000373413733649914,-176.953525491179,0.999739612774257
"8","ACRU.Qty_C8",9,374.277379820459,14.2224245587073,0.000815905287192622,0.000258709137539774,-177.320508092048,0.999998321911797
"9","ACRU.Qty_C9",17,385.14066925134,25.0857139895883,3.57031405735477e-06,1.13208344770331e-06,-172.57033462567,0.999999453995245
"14","ACRU.Qty_C14",17,388.759290619286,28.7043353575338,5.84699569075021e-07,1.85397893125265e-07,-174.379645309643,0.999999639393138
"13","ACRU.Qty_C13",17,389.018946920067,28.9639916583151,5.13510259021282e-07,1.62825021867836e-07,-174.509473460033,0.99999980221816
"2","ACRU.Qty_C2",17,390.169173932682,30.1142186709303,2.88921926611258e-07,9.16120334348095e-08,-175.084586966341,0.999999893830193
"15","ACRU.Qty_C15",17,390.909630202289,30.8546749405375,1.99522770303741e-07,6.32651419657254e-08,-175.454815101145,0.999999957095335
"11","ACRU.Qty_C11",17,391.686360402458,31.6314051407063,1.35309299680241e-07,4.29041860260941e-08,-175.843180201229,0.999999999999521
"4","ACRU.Qty_C4",29,415.119078715705,55.0641234539533,1.10402146317972e-12,3.50065681701108e-13,-168.892872691186,0.999999999999871
"5","ACRU.Qty_C5",29,418.472336871292,58.4173816095407,2.06455643967661e-13,6.54634335988592e-14,-170.56950176898,0.999999999999937
"3","ACRU.Qty_C3",29,419.904182389153,59.8492271274015,1.00903320053124e-13,3.19946583452898e-14,-171.28542452791,0.999999999999969
"6","ACRU.Qty_C6",29,419.959272842978,59.904317581226,9.81618458076904e-14,3.11253853441747e-14,-171.312969754822,1
"1","ACRU.Qty_C1",50,499.729175414022,139.67422015227,4.67873515174833e-31,1.48354417465623e-31,-162.90806596788,1
