"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"31","ACRU.Qty_P31",2,-1067.66545254706,0,1,0.327526243958962,535.884008324812,0.327526243958962
"28","ACRU.Qty_P28",3,-1066.28259699321,1.38285555385301,0.500860441327714,0.164044939095694,536.244746772466,0.491571183054656
"29","ACRU.Qty_P29",3,-1065.95013199215,1.71532055490775,0.424153323344707,0.138921344857803,536.078514271939,0.630492527912459
"27","ACRU.Qty_P27",3,-1065.56276354755,2.10268899951188,0.349467574038843,0.114459801910393,535.884830049637,0.744952329822852
"30","ACRU.Qty_P30",3,-1065.56112391999,2.10432862707557,0.349181193110893,0.11436600464072,535.884010235855,0.859318334463571
"23","ACRU.Qty_P23",5,-1062.35001361073,5.31543893632602,0.0701079229238819,0.0229621846670235,536.438164700104,0.882280519130595
"19","ACRU.Qty_P19",5,-1062.3105338608,5.35491868626218,0.0687375710757881,0.0225133584733151,536.418424825136,0.90479387760391
"25","ACRU.Qty_P25",5,-1062.16753756706,5.49791497999786,0.0639945413927039,0.0209598917762286,536.346926678268,0.925753769380139
"26","ACRU.Qty_P26",5,-1062.02176100845,5.64369153861253,0.0594960253616553,0.0194865097171901,536.274038398961,0.945240279097329
"17","ACRU.Qty_P17",5,-1061.99307261951,5.67237992755327,0.0586486944717486,0.0192089866134285,536.259694204491,0.964449265710757
"24","ACRU.Qty_P24",5,-1061.97793633802,5.68751620903663,0.058206508271948,0.0190641590282774,536.252126063749,0.983513424739034
"18","ACRU.Qty_P18",5,-1061.25264109664,6.41281145042262,0.0405019270220056,0.0132654440306175,535.889478443056,0.996778868769652
"10","ACRU.Qty_P10",9,-1054.93000301372,12.735449533345,0.0017160592223164,0.000562054431496426,537.28318332504,0.997340923201148
"20","ACRU.Qty_P20",9,-1054.91124467248,12.7542078745857,0.00170003925451926,0.000556807471615488,537.273804154419,0.997897730672764
"16","ACRU.Qty_P16",9,-1054.32419276686,13.3412597802026,0.0012676000507626,0.000415172283468463,536.980278201611,0.998312902956232
"8","ACRU.Qty_P8",9,-1054.15723607537,13.5082164716944,0.00116607923846326,0.000381921553132398,536.896799855865,0.998694824509365
"7","ACRU.Qty_P7",9,-1054.07490866442,13.5905438826458,0.00111905361070486,0.000366519425902879,536.855636150389,0.999061343935268
"21","ACRU.Qty_P21",9,-1054.00891211613,13.6565404309349,0.00108272938723706,0.000354622289425744,536.822637876245,0.999415966224693
"22","ACRU.Qty_P22",9,-1053.90497970611,13.7604728409542,0.00102790099960065,0.000336664553560862,536.770671671235,0.999752630778254
"12","ACRU.Qty_P12",9,-1053.28342988335,14.382022663714,0.0007533268716512,0.000246734320745272,536.459896759855,0.999999365099
"9","ACRU.Qty_P9",17,-1040.00009230808,27.6653602389854,9.82976995421526e-07,3.21950763208478e-07,540.000046154038,0.999999687049763
"2","ACRU.Qty_P2",17,-1037.73026490503,29.9351876420264,3.15977818319983e-07,1.03491028008691e-07,538.865132452517,0.999999790540791
"14","ACRU.Qty_P14",17,-1037.12613142278,30.539321124279,2.33598837574914e-07,7.65097498640912e-08,538.563065711391,0.999999867050541
"13","ACRU.Qty_P13",17,-1036.26475465188,31.4006978951811,1.51853598563302e-07,4.97360387690904e-08,538.13237732594,0.999999916786579
"15","ACRU.Qty_P15",17,-1036.19253638702,31.4729161600455,1.46468114590744e-07,4.79721514316571e-08,538.096268193508,0.999999964758731
"11","ACRU.Qty_P11",17,-1035.57571295184,32.0897395952256,1.07597352169375e-07,3.52409566159652e-08,537.787856475918,0.999999999999687
"4","ACRU.Qty_P4",29,-1010.92947742473,56.7359751223286,4.7856346424366e-13,1.56742093939715e-13,544.131405379033,0.999999999999844
"6","ACRU.Qty_P6",29,-1009.58869574894,58.0767567981183,2.44789338020429e-13,8.01749324430318e-14,543.461014541138,0.999999999999924
"5","ACRU.Qty_P5",29,-1009.24101837321,58.4244341738491,2.05728905210713e-13,6.73816155974543e-14,543.287175853273,0.999999999999992
"3","ACRU.Qty_P3",29,-1005.04187558748,62.6235769595804,2.52036270601962e-14,8.25484930516851e-15,541.187604460407,1
"1","ACRU.Qty_P1",50,-928.809934325119,138.855518221942,7.04542712659722e-31,2.30756228386097e-31,551.36148890169,1
