"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"27","BEPA.CP27",3,1593.83048794711,0,1,0.413441143053903,-793.788928184079,0.413441143053903
"29","BEPA.CP29",3,1596.56873667924,2.73824873213675,0.254329561673608,0.105150304690735,-795.158052550148,0.518591447744638
"31","BEPA.CP31",2,1596.58262297036,2.75213502325551,0.252569830610628,0.104422759468589,-796.228811485181,0.623014207213226
"24","BEPA.CP24",5,1597.25052767345,3.42003972634711,0.180862200084173,0.074775874738044,-793.302683191565,0.69779008195127
"23","BEPA.CP23",5,1597.8325688333,4.00208088619729,0.135194547801468,0.0558949883776944,-793.59370377149,0.753685070328965
"28","BEPA.CP28",3,1597.87422562381,4.04373767670086,0.132407784968718,0.0547428259667021,-795.81079702243,0.808427896295667
"18","BEPA.CP18",5,1598.08900414752,4.25851620041294,0.118925491929204,0.049168691321458,-793.721921428598,0.857596587617125
"26","BEPA.CP26",5,1598.52209077643,4.69160282932694,0.0957704195487118,0.0395954317289713,-793.938464743055,0.897192019346096
"30","BEPA.CP30",3,1598.5918704806,4.76138253349018,0.0924866224814107,0.0382377749159092,-796.169619450824,0.935429794262005
"17","BEPA.CP17",5,1599.78451260582,5.95402465871689,0.0509448130422518,0.021062681736856,-794.56967565775,0.956492475998861
"25","BEPA.CP25",5,1600.53377385916,6.70328591205566,0.0350267593755485,0.0144815034337008,-794.94430628442,0.970973979432562
"21","BEPA.CP21",9,1600.80152153777,6.97103359066341,0.0306379208027084,0.0126669769974667,-790.389524813829,0.983640956430029
"19","BEPA.CP19",5,1601.89480652854,8.06431858143469,0.0177359914149051,0.00733278856377259,-795.624822619109,0.990973744993802
"12","BEPA.CP12",9,1603.44579973036,9.61531178325345,0.00816698156693254,0.00337656619433275,-791.711663910124,0.994350311188134
"22","BEPA.CP22",9,1604.61401275491,10.7835248078072,0.0045539403768583,0.00188278631480762,-792.2957704224,0.996233097502942
"10","BEPA.CP10",9,1605.48682445218,11.6563365050765,0.00294346372734847,0.00121694900797265,-792.732176271035,0.997450046510915
"8","BEPA.CP8",9,1606.15640952676,12.3259215796522,0.00210600858290305,0.000870710595796769,-793.066968808323,0.998320757106711
"16","BEPA.CP16",9,1606.52368279136,12.6931948442584,0.00175270070240507,0.000724638581833731,-793.250605440626,0.999045395688545
"20","BEPA.CP20",9,1606.93571764707,13.1052296999644,0.0014263809454675,0.00058972456852439,-793.456622868479,0.999635120257069
"7","BEPA.CP7",9,1607.97799476051,14.1475068134021,0.000847047820099545,0.000350204418963273,-793.977761425198,0.999985324676033
"13","BEPA.CP13",16,1615.63516396393,21.8046760168263,1.84151288990812e-05,7.61357194152111e-06,-788.500508811234,0.999992938247974
"15","BEPA.CP15",17,1616.5758903024,22.7454023552946,1.15053181962254e-05,4.75677190624628e-06,-787.510167373423,0.99999769501988
"2","BEPA.CP2",17,1619.65572808582,25.8252401387119,2.46672285073671e-06,1.01984471500577e-06,-789.050086265131,0.999998714864595
"14","BEPA.CP14",17,1620.03279054804,26.2023026009358,2.04287730449767e-06,8.44609527890392e-07,-789.238617496243,0.999999559474123
"11","BEPA.CP11",17,1621.48625100352,27.6557630564123,9.87705235639895e-07,4.08357981623283e-07,-789.965347723981,0.999999967832105
"9","BEPA.CP9",17,1626.57199641227,32.7415084651607,7.7673302748873e-08,3.21133390732659e-08,-792.508220428356,0.999999999945444
"5","BEPA.CP5",31,1639.32768779883,45.497199851726,1.31949752873215e-10,5.45534566535822e-11,-773.857873750162,0.999999999999998
"6","BEPA.CP6",33,1659.34861681861,65.5181288715009,5.92814862373765e-15,2.45094054319151e-15,-779.412769947765,1
"3","BEPA.CP3",31,1665.90776692665,72.0772789795471,2.2316070990476e-16,9.22638189877446e-17,-787.147913314073,1
"4","BEPA.CP4",33,1676.01574148314,82.1852535360308,1.42461970707728e-18,5.88996400111148e-19,-787.74633228003,1
"1","BEPA.CP1",57,1716.71763688371,122.887148936605,2.06725789880521e-27,8.54689468669237e-28,-720.724672100392,1
