"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"24","BEPA.P24",5,-262.555953498441,0,1,0.291103149893064,136.600557394382,0.291103149893064
"28","BEPA.P28",3,-261.451857909187,1.10409558925409,0.575769544542187,0.167608328028725,133.852244744067,0.458711477921789
"21","BEPA.P21",9,-260.954907496856,1.60104600158473,0.44909402615468,0.130732685611785,140.488689703484,0.589444163533574
"26","BEPA.P26",5,-260.664594445,1.89135905344142,0.38841554246488,0.11306898787895,135.654877867661,0.702513151412524
"22","BEPA.P22",9,-259.792131041949,2.76382245649165,0.251098188212759,0.0730954735211756,139.907301476031,0.775608624933699
"25","BEPA.P25",5,-259.390531780121,3.16542171832049,0.205417484870221,0.0597976768888321,135.017846535222,0.835406301822531
"13","BEPA.P13",16,-259.100284291886,3.45566920655472,0.177668716988615,0.0517199231528452,148.867215316675,0.887126224975376
"10","BEPA.P10",9,-257.831095677082,4.72485782135863,0.0941911632035827,0.0274193443006545,138.926783793597,0.914545569276031
"19","BEPA.P19",5,-257.601582647904,4.95437085053715,0.0839792591701299,0.0244466268701108,134.123371969113,0.938992196146142
"7","BEPA.P7",9,-255.959955236874,6.59599826156665,0.0369570396752406,0.0107583106601855,137.991213573493,0.949750506806327
"23","BEPA.P23",5,-255.826910222803,6.72904327563847,0.0345785532344561,0.0100659257652951,133.236035756563,0.959816432571622
"31","BEPA.P31",2,-255.49052585395,7.06542764449057,0.029225495349791,0.00850763375350925,129.807762926975,0.968324066325132
"29","BEPA.P29",3,-255.200721970757,7.35523152768403,0.0252831841118865,0.00736001453429643,130.726676774852,0.975684080859428
"12","BEPA.P12",9,-254.503303365772,8.05265013266882,0.017839769606734,0.00519321312588679,137.262887637942,0.980877293985315
"15","BEPA.P15",17,-254.246191016336,8.30976248210538,0.0156876540682814,0.00456672551370946,147.900873285946,0.985444019499024
"30","BEPA.P30",3,-254.016609748332,8.53934375010888,0.0139863716779378,0.00407147685102283,130.13462066364,0.989515496350047
"27","BEPA.P27",3,-253.745044139791,8.81090935865043,0.0122105532663685,0.0035545305177769,129.998837859369,0.993070026867824
"16","BEPA.P16",9,-252.857527511334,9.6984259871075,0.00783454095782372,0.0022806595507887,136.439999710723,0.995350686418613
"20","BEPA.P20",9,-252.328225948688,10.2277275497535,0.00601280585567873,0.00175034672428354,136.1753489294,0.997101033142896
"11","BEPA.P11",17,-250.862762297291,11.6931912011501,0.00288972019300331,0.000841206650492856,146.209158926423,0.997942239793389
"17","BEPA.P17",5,-250.817308522218,11.7386449762235,0.00282478651228553,0.000822304251501758,130.73123490627,0.998764544044891
"18","BEPA.P18",5,-250.324792827734,12.2311606707073,0.00220819390450543,0.000642812201176193,130.484977059028,0.999407356246067
"2","BEPA.P2",17,-248.944415197255,13.6115383011857,0.00110736811064204,0.000322358345099029,145.249985376405,0.999729714591166
"8","BEPA.P8",9,-248.016609532538,14.5393439659033,0.000696340367814661,0.000202706874468542,134.019540721325,0.999932421465635
"14","BEPA.P14",17,-245.802241466792,16.7537120316489,0.000230132341699848,6.69922495610925e-05,143.678898511174,0.999999413715196
"9","BEPA.P9",17,-236.014340223396,26.5416132750449,1.72409783667333e-06,5.01890310979422e-07,138.784947889476,0.999999915605507
"5","BEPA.P5",31,-232.44651705108,30.1094364473606,2.89613597836948e-07,8.43074305821986e-08,162.029228674794,0.999999999912937
"3","BEPA.P3",31,-218.507608430534,44.0483450679067,2.7228480126324e-10,7.92629633157361e-11,155.059774364521,0.9999999999922
"6","BEPA.P6",33,-213.866758371857,48.6891951265842,2.67470330356781e-11,7.78614556697972e-12,157.194917647467,0.999999999999986
"4","BEPA.P4",33,-201.16063288467,61.3953206137708,4.65774299527514e-14,1.35588365731695e-14,150.841854903874,1
"1","BEPA.P1",57,-98.8955430568429,163.660410441598,2.89463240454878e-36,8.42636610746683e-37,187.081917869885,1
