"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"31","BEPA.Qty_N31",2,-718.915742689418,0,1,0.283887973022712,361.520371344709,0.283887973022712
"27","BEPA.Qty_N27",3,-717.589302715651,1.32643997376636,0.515189756539336,0.146256175706017,361.920967147299,0.430144148728729
"30","BEPA.Qty_N30",3,-717.518424847772,1.39731784164587,0.497251710754333,0.141163780248124,361.88552821336,0.571307928976853
"29","BEPA.Qty_N29",3,-717.279360943593,1.63638174582491,0.441229172530591,0.125259655428198,361.76599626127,0.696567584405051
"28","BEPA.Qty_N28",3,-717.253630811893,1.66211187752492,0.435589087991153,0.12365850326062,361.75313119542,0.820226087665671
"18","BEPA.Qty_N18",5,-715.04623593257,3.86950675684761,0.144459891356822,0.0410104257403694,362.845698611446,0.86123651340604
"23","BEPA.Qty_N23",5,-714.772831982947,4.14291070647096,0.126002270388648,0.0357705291368929,362.708996636635,0.897007042542933
"19","BEPA.Qty_N19",5,-713.93153122002,4.98421146939711,0.0827355638690577,0.0234876315236779,362.288346255172,0.920494674066611
"24","BEPA.Qty_N24",5,-713.898702915798,5.01703977361922,0.0813886144962778,0.0231052487964752,362.27193210306,0.943599922863086
"25","BEPA.Qty_N25",5,-713.704623884435,5.21111880498302,0.0738618071596183,0.0209684787183385,362.174892587379,0.964568401581425
"17","BEPA.Qty_N17",5,-713.188048540121,5.72769414929689,0.0570488663151251,0.0161954870214445,361.916604915222,0.980763888602869
"26","BEPA.Qty_N26",5,-712.680598396183,6.23514429323461,0.0442645057973938,0.0125661608276742,361.662879843253,0.993330049430544
"10","BEPA.Qty_N10",9,-709.002293775349,9.91344891406902,0.00703593664161407,0.00199741779150405,364.51238284273,0.995327467222048
"12","BEPA.Qty_N12",9,-708.250460832127,10.6652818572903,0.00483129404662674,0.00137154627397356,364.13646637112,0.996699013496021
"8","BEPA.Qty_N8",9,-707.187391744583,11.7283509448348,0.00283936321387312,0.000806061067461694,363.604931827348,0.997505074563483
"7","BEPA.Qty_N7",9,-706.964220188681,11.9515225007364,0.00253956810358568,0.000720952841280071,363.493346049397,0.998226027404763
"22","BEPA.Qty_N22",9,-706.717974977144,12.1977677122741,0.00224537248010291,0.000637434242057396,363.370223443628,0.99886346164682
"20","BEPA.Qty_N20",9,-706.708804547989,12.2069381414282,0.00223510053301361,0.000634518159819219,363.365638229051,0.99949797980664
"21","BEPA.Qty_N21",9,-705.040506917753,13.8752357716648,0.000970578875276898,0.000275535669561022,362.531489413933,0.999773515476201
"16","BEPA.Qty_N16",9,-704.628460038959,14.287282650459,0.000789870677532377,0.000224234785594743,362.325465974535,0.999997750261795
"13","BEPA.Qty_N13",16,-694.33095898579,24.5847837036277,4.58650688059369e-06,1.30205414158647e-06,366.482552663627,0.999999052315937
"11","BEPA.Qty_N11",17,-691.521785851424,27.3939568379939,1.12584305695378e-06,3.19613303380302e-07,366.53867070349,0.99999937192924
"2","BEPA.Qty_N2",17,-691.40663993904,27.5091027503773,1.06285553048911e-06,3.01731902166534e-07,366.481097747298,0.999999673661142
"9","BEPA.Qty_N9",17,-690.162361247685,28.7533814417328,5.70535341731419e-07,1.61968121701953e-07,365.85895840162,0.999999835629264
"15","BEPA.Qty_N15",17,-689.146855060748,29.7688876286692,3.433746148009e-07,9.7479923383282e-08,365.351205308152,0.999999933109188
"14","BEPA.Qty_N14",17,-688.393685391091,30.5220572983261,2.35623970222293e-07,6.68908113019707e-08,364.974620473324,0.999999999999999
"3","BEPA.Qty_N3",31,-651.568769332476,67.3469733569415,2.37569426396862e-15,6.74431029119736e-16,371.590354815492,0.999999999999999
"5","BEPA.Qty_N5",31,-650.760297118745,68.1554455706724,1.58574386005543e-15,4.50173610164348e-16,371.186118708626,1
"6","BEPA.Qty_N6",33,-644.093419643019,74.8223230463987,5.65638535134557e-17,1.60577977202885e-17,372.308248283048,1
"4","BEPA.Qty_N4",33,-640.461943676195,78.4537990132221,9.20394473114587e-18,2.61288921353807e-18,370.492510299636,1
"1","BEPA.Qty_N1",57,-495.705288282991,223.210454406427,3.39207678070602e-49,9.6296980161204e-50,385.486790482959,1
