"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"10","VAAN.CP10",9,2844.08916343626,0,1,0.373725677342173,-1412.54734414907,0.373725677342173
"20","VAAN.CP20",9,2844.40589743579,0.31673399952615,0.853536476795776,0.318988497926754,-1412.70571114883,0.692714175268927
"24","VAAN.CP24",5,2845.45131398908,1.362150552819,0.506072531840285,0.189132299746279,-1417.56349483238,0.881846475015206
"11","VAAN.CP11",17,2847.43468379902,3.34552036276364,0.187728186023344,0.0701588434777916,-1404.94855577234,0.952005318492998
"26","VAAN.CP26",5,2849.70852006218,5.61935662592123,0.0602243626735497,0.022507390732673,-1419.69209786893,0.974512709225671
"22","VAAN.CP22",9,2851.01004108645,6.9208776501905,0.0314159728757884,0.0117409557423674,-1416.00778297416,0.986253664968038
"12","VAAN.CP12",9,2851.41285838116,7.3236949449024,0.025685016505487,0.00959915019105802,-1416.20919162152,0.995852815159096
"21","VAAN.CP21",9,2854.25666916071,10.1675057244483,0.00619661030013892,0.00231583238164491,-1417.63109701129,0.998168647540741
"2","VAAN.CP2",17,2855.55703276079,11.467869324531,0.00323432618333509,0.00120875074361243,-1409.00973025323,0.999377398284353
"16","VAAN.CP16",9,2857.75475938114,13.6655959448817,0.00107783813326446,0.000402815786419485,-1419.38014212151,0.999780214070773
"9","VAAN.CP9",17,2859.90818711161,15.8190236753471,0.000367233806555213,0.000137244703097792,-1411.18530742864,0.999917458773871
"13","VAAN.CP13",16,2862.38934112813,18.3001776918695,0.00010621036596801,3.96935409621545e-05,-1413.63145217326,0.999957152314833
"15","VAAN.CP15",17,2862.57687183577,18.4877083995125,9.67041539101238e-05,3.61408254218628e-05,-1412.51964979072,0.999993293140255
"14","VAAN.CP14",17,2868.16560587705,24.0764424407903,5.91380434528165e-06,2.21014053460947e-06,-1415.31401681136,0.999995503280789
"3","VAAN.CP3",31,2868.23474962569,24.1455861894337,5.71284679941867e-06,2.13503753966481e-06,-1396.87838110216,0.999997638318329
"25","VAAN.CP25",5,2869.06445682022,24.9752933839591,3.77297519261624e-06,1.41005770945572e-06,-1429.37006624795,0.999999048376038
"7","VAAN.CP7",9,2870.81614718458,26.7269837483186,1.57148130955366e-06,5.87302916843505e-07,-1425.91083602323,0.999999635678955
"6","VAAN.CP6",33,2872.62174055514,28.5325771188782,6.37132268903183e-07,2.38112688752398e-07,-1396.16437346228,0.999999873791644
"23","VAAN.CP23",5,2875.29662721289,31.2074637766286,1.67257400913316e-07,6.25083854468206e-08,-1432.48615144428,0.999999936300029
"5","VAAN.CP5",31,2877.48141820064,33.3922547643788,5.61001482292075e-08,2.09660658959569e-08,-1401.50171538963,0.999999957266095
"19","VAAN.CP19",5,2877.73822159714,33.6490581608791,4.93400811843811e-08,1.84396552607506e-08,-1433.70694863641,0.999999975705751
"28","VAAN.CP28",3,2878.53479360891,34.4456301726495,3.31303821338886e-08,1.23816745035926e-08,-1436.20322568146,0.999999988087425
"8","VAAN.CP8",9,2879.35399186957,35.2648284333063,2.19958020731329e-08,8.22039602846599e-09,-1430.17975836572,0.999999996307821
"27","VAAN.CP27",3,2881.70319974284,37.6140363065788,6.79541203447828e-09,2.53961996540455e-09,-1437.78742874842,0.999999998847441
"18","VAAN.CP18",5,2883.46150634749,39.3723429112292,2.82100832002125e-09,1.05428324518785e-09,-1436.56859101158,0.999999999901724
"4","VAAN.CP4",33,2888.20718912552,44.1180256892594,2.62961667682587e-10,9.82755273697025e-11,-1403.95709774747,1
"31","VAAN.CP31",2,2920.5444118575,76.4552484212409,2.50007909726172e-17,9.34343754033145e-18,-1458.24029103513,1
"17","VAAN.CP17",5,2920.89734255034,76.8081791140803,2.09563586714365e-17,7.83192933910814e-18,-1455.28650911301,1
"30","VAAN.CP30",3,2920.94186115244,76.8526977161814,2.04950381585655e-17,7.65952201796359e-18,-1457.40675945323,1
"1","VAAN.CP1",58,2922.3780535871,78.2888901508418,9.99501629705638e-18,3.73539423566345e-18,-1377.26478436931,1
"29","VAAN.CP29",3,2922.4479875015,78.3588240652389,9.65156078135802e-18,3.60703609042218e-18,-1458.15982262775,1
