"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"22","VAAN.P22",9,-977.221531659095,0,1,0.249661528171294,498.108003398608,0.249661528171294
"24","VAAN.P24",5,-976.639185186699,0.582346472396353,0.747386192460071,0.186593578943706,493.481754755512,0.436255107115
"20","VAAN.P20",9,-976.483273362665,0.738258296430672,0.691336119858495,0.172600032163885,497.738874250393,0.608855139278884
"26","VAAN.P26",5,-976.464286406178,0.757245252917414,0.684803990817779,0.170969210845367,493.394305365251,0.779824350124252
"10","VAAN.P10",9,-975.746407959916,1.47512369917911,0.47827861028353,0.119407768735029,497.370441549019,0.899232118859281
"21","VAAN.P21",9,-974.554687467299,2.66684419179614,0.263573741596073,0.0658042231127012,496.77458130271,0.965036341971982
"11","VAAN.P11",17,-972.261927988582,4.95960367051305,0.0837598221913894,0.0209116052076581,504.899750121459,0.98594794717964
"12","VAAN.P12",9,-969.860418057147,7.36111360194855,0.025208934567445,0.00629370112767848,494.427446597634,0.992241648307318
"16","VAAN.P16",9,-968.37916216294,8.84236949615513,0.0120199831936178,0.0030009273727119,493.686818650531,0.99524257568003
"15","VAAN.P15",17,-968.171145418098,9.05038624099757,0.0108326222330102,0.00270448902079566,502.854358836217,0.997947064700826
"13","VAAN.P13",16,-966.168883206958,11.0526484521371,0.00398059399411751,0.00099380117960085,500.647659994284,0.998940865880427
"2","VAAN.P2",17,-966.056382350402,11.1651493086931,0.00376286495973347,0.000939442616149271,501.796977302369,0.999880308496576
"14","VAAN.P14",17,-960.720405912564,16.5011257465313,0.000261111543223365,6.51895069043101e-05,499.12898908345,0.99994549800348
"9","VAAN.P9",17,-960.100729251319,17.1208024077763,0.0001915424306547,4.78207759468964e-05,498.819150752827,0.999993318779427
"5","VAAN.P5",31,-955.438416495729,21.783115163366,1.86147257836467e-05,4.64738088563482e-06,514.958201958557,0.999997966160313
"3","VAAN.P3",31,-953.529334870585,23.6921967885106,7.16646254315181e-06,1.78918999010562e-06,514.003661145984,0.999999755350303
"6","VAAN.P6",33,-949.537474219727,27.6840574393682,9.73830357240825e-07,2.43127975168341e-07,514.91523392515,0.999999998478278
"4","VAAN.P4",33,-938.991981114592,38.2295505445034,4.99526550426417e-09,1.24712561941594e-09,509.642487372583,0.999999999725404
"25","VAAN.P25",5,-935.686174748863,41.5353569102327,9.5655918233368e-10,2.3881602724771e-10,473.005249536594,0.99999999996422
"7","VAAN.P7",9,-931.845682017525,45.37584964157,1.40203690188703e-10,3.50034675477661e-11,475.420078577823,0.999999999999223
"23","VAAN.P23",5,-923.129754287945,54.0917773711504,1.79522871267114e-12,4.48199543822461e-13,466.727039306135,0.999999999999671
"19","VAAN.P19",5,-921.479104228044,55.7424274310516,7.86476371446204e-13,1.96352892765873e-13,465.901714276184,0.999999999999868
"28","VAAN.P28",3,-919.438873056146,57.7826586029491,2.83566621897841e-13,7.07956761613865e-14,462.783607651068,0.999999999999939
"8","VAAN.P8",9,-918.116361674506,59.1051699845898,1.46377866152717e-13,3.65449217541404e-14,468.555418406314,0.999999999999975
"27","VAAN.P27",3,-916.905903911105,60.3156277479908,7.99149161767749e-14,1.99516800963745e-14,461.517123078547,0.999999999999995
"18","VAAN.P18",5,-914.031498054318,63.1900336047776,1.89870960376399e-14,4.7403474122923e-15,462.177911189321,1
"1","VAAN.P1",58,-907.892499779846,69.3290318792494,8.81844497936076e-16,2.20162644964168e-16,537.870492314165,1
"17","VAAN.P17",5,-866.995319251053,110.226212408043,1.16059874082093e-24,2.89756855227033e-25,438.659821787689,1
"31","VAAN.P31",2,-866.120991295841,111.100540363255,7.49590703734037e-25,1.87143960597235e-25,435.092410541537,1
"29","VAAN.P29",3,-865.507859454981,111.713672204114,5.51676271067821e-25,1.37732340890633e-25,435.818100850485,1
"30","VAAN.P30",3,-865.064402082415,112.15712957668,4.41965896782017e-25,1.10341881190195e-25,435.596372164202,1
