"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"3","VAAN.Qty_C3",31,1124.76472765062,0,1,0.462725515729462,-525.143370114616,0.462725515729462
"21","VAAN.Qty_C21",9,1125.61708541406,0.852357763447571,0.652999521992369,0.302159540585011,-553.311305137971,0.764885056314472
"13","VAAN.Qty_C13",16,1127.97198947159,3.20726182097246,0.201164779053539,0.0930840761341522,-546.42277634499,0.857969132448625
"5","VAAN.Qty_C5",31,1128.37267267958,3.60794502896852,0.164643538548761,0.0761847662864987,-526.947342629101,0.934153898735123
"26","VAAN.Qty_C26",5,1130.3939524942,5.62922484358751,0.059927941003478,0.0277301874074391,-560.03481408494,0.961884086142562
"14","VAAN.Qty_C14",17,1131.58946724342,6.82473959280424,0.0329629921634857,0.0152528175488351,-547.025947494543,0.977136903691398
"15","VAAN.Qty_C15",17,1132.8897593736,8.12503172298375,0.0172056775159729,0.00796150600205336,-547.676093559632,0.985098409693451
"22","VAAN.Qty_C22",9,1134.49604464429,9.73131699367423,0.00770675164861757,0.00356611063120545,-557.750784753085,0.988664520324656
"20","VAAN.Qty_C20",9,1134.54507908214,9.78035143151942,0.007520100958638,0.00347974259442339,-557.775301972007,0.99214426291908
"16","VAAN.Qty_C16",9,1134.54700793542,9.78228028480726,0.00751285186907797,0.00347638825571815,-557.776266398651,0.995620651174798
"31","VAAN.Qty_C31",2,1137.16959164346,12.4048639928435,0.00202450106502962,0.000936788299410674,-566.552880928113,0.996557439474209
"28","VAAN.Qty_C28",3,1137.5981876249,12.8334599742832,0.00163399067871465,0.00075608917950537,-565.734922689455,0.997313528653714
"27","VAAN.Qty_C27",3,1137.91816607452,13.153438423903,0.00139241001149709,0.000644303640676855,-565.894911914265,0.997957832294391
"19","VAAN.Qty_C19",5,1138.73158934563,13.9668616950141,0.000927116943690054,0.000429000665910502,-564.203632510653,0.998386832960301
"29","VAAN.Qty_C29",3,1138.81918563504,14.0544579844284,0.000887387334057392,0.000410616761803499,-566.345421694528,0.998797449722105
"30","VAAN.Qty_C30",3,1139.21132847924,14.4466008286274,0.000729391148986004,0.000337507895583053,-566.541493116627,0.999134957617688
"23","VAAN.Qty_C23",5,1140.53252207866,15.7677944280431,0.000376761870236803,0.000174337330712521,-565.104098877168,0.9993092949484
"18","VAAN.Qty_C18",5,1140.57704369284,15.8123160422192,0.000368467509027978,0.000170499318144521,-565.126359684256,0.999479794266545
"25","VAAN.Qty_C25",5,1140.9520807377,16.1873530870869,0.000305464636086683,0.000141346281270323,-565.313878206689,0.999621140547815
"24","VAAN.Qty_C24",5,1141.00119104451,16.2364633938921,0.000298055246725328,0.000137917767756849,-565.338433360092,0.999759058315572
"17","VAAN.Qty_C17",5,1142.76495594465,18.0002282940379,0.000123395718029388,5.7098347263956e-05,-566.220315810165,0.999816156662836
"11","VAAN.Qty_C11",17,1143.26054572829,18.4958180776694,9.63128280456782e-05,4.45664030287994e-05,-552.861486736975,0.999860723065865
"12","VAAN.Qty_C12",9,1143.38087694178,18.6161492911663,9.06889856309187e-05,4.19641076470486e-05,-562.193200901831,0.999902687173512
"8","VAAN.Qty_C8",9,1143.77795387745,19.0132262268294,7.43584594028995e-05,3.44075564760549e-05,-562.391739369662,0.999937094729988
"10","VAAN.Qty_C10",9,1144.52047844929,19.7557507986714,5.12971481302523e-05,2.37364993240216e-05,-562.763001655583,0.999960831229312
"4","VAAN.Qty_C4",33,1144.65096766721,19.8862400165942,4.80571318339735e-05,2.22372611123541e-05,-532.178987018319,0.999983068490424
"7","VAAN.Qty_C7",9,1145.35210046076,20.587372810144,3.38461126703535e-05,1.56614599408268e-05,-563.178812661319,0.999998729950365
"9","VAAN.Qty_C9",17,1150.50998884325,25.7452611926342,2.56736469330275e-06,1.18798515177412e-06,-556.486208294458,0.999999917935517
"2","VAAN.Qty_C2",17,1156.31663933885,31.5519116882328,1.40795712579409e-07,6.51497687158042e-08,-559.389533542257,0.999999983085286
"6","VAAN.Qty_C6",33,1159.01364928129,34.2489216306703,3.65545264646974e-08,1.69147121106234e-08,-539.360327825357,0.999999999999998
"1","VAAN.Qty_C1",58,1190.69112936761,65.9264017169924,4.83352268604674e-15,2.23659427769103e-15,-511.421322259562,1
