"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","ABBA.C1",46,158.757141015112,0,1,0.99999991729719,-1.10991379113788,0.99999991729719
"13","ABBA.C13",15,191.464343688482,32.70720267337,7.90171170298741e-08,7.90171104949365e-08,-78.283192252404,0.9999999963143
"16","ABBA.C16",8,197.648745631417,38.8916046163051,3.58752851251619e-09,3.5875282158175e-09,-90.1386585299941,0.999999999901828
"9","ABBA.C9",15,205.369088536594,46.6119475214827,7.55690913634633e-11,7.55690851136871e-11,-85.2355646764604,0.999999999977397
"3","ABBA.C3",26,208.059255258105,49.3021142429934,1.96871077865001e-11,1.9687106158321e-11,-69.9606621118111,0.999999999997085
"14","ABBA.C14",15,212.279311968288,53.5221709531764,2.38675723531074e-12,2.3867570379192e-12,-88.6906763923073,0.999999999999471
"2","ABBA.C2",17,216.687180004953,57.9300389898414,2.63421892263049e-13,2.63421870477318e-13,-88.1560900024765,0.999999999999735
"5","ABBA.C5",26,216.756152321146,57.9990113060348,2.54492341167484e-13,2.54492320120252e-13,-74.3091106433318,0.999999999999989
"4","ABBA.C4",27,223.571167209803,64.8140261946909,8.42971781512176e-15,8.4297171179604e-15,-75.9948859304827,0.999999999999998
"7","ABBA.C7",9,226.262045368572,67.50490435346,2.19531208896414e-15,2.19531190740567e-15,-103.265638068901,1
"11","ABBA.C11",15,231.71808262545,72.960941610338,1.4346066250347e-16,1.4346065063887e-16,-98.4100617208881,1
"12","ABBA.C12",9,233.187805832584,74.4306648174722,6.87996917916499e-17,6.87996861017221e-17,-106.728518300907,1
"22","ABBA.C22",9,234.24689490349,75.4897538883789,4.05142891215659e-17,4.05142857709203e-17,-107.258062836361,1
"15","ABBA.C15",15,234.607770960417,75.8506299453049,3.38255590366015e-17,3.38255562391327e-17,-99.8549058883715,1
"19","ABBA.C19",5,241.963899664032,83.2067586489208,8.54834282415424e-19,8.54834211718226e-19,-115.704172054238,1
"24","ABBA.C24",5,247.84173279242,89.0845917773084,4.52404258448964e-20,4.5240422103386e-20,-118.643088618432,1
"6","ABBA.C6",27,248.644194680598,89.8870536654869,3.0288258226429e-20,3.0288255721505e-20,-88.5313996658806,1
"10","ABBA.C10",9,253.521199062086,94.7640580469745,2.64390748117974e-21,2.64390726252116e-21,-116.895214915658,1
"8","ABBA.C8",9,254.075169148197,95.3180281330853,2.00425593337318e-21,2.00425576761558e-21,-117.172199958714,1
"28","ABBA.C28",3,259.933300923776,101.176159908664,1.07121347164807e-22,1.07121338305571e-22,-126.857559552797,1
"17","ABBA.C17",5,260.377216865577,101.620075850466,8.57987387604452e-23,8.57987316646484e-23,-124.910830655011,1
"25","ABBA.C25",5,263.302617313027,104.545476297916,1.98718485192639e-23,1.98718468758061e-23,-126.373530878736,1
"20","ABBA.C20",9,268.67378379744,109.916642782329,1.35489077292195e-24,1.35489066086867e-24,-124.471507283336,1
"18","ABBA.C18",5,269.669766395395,110.912625380284,8.23435169286107e-25,8.23435101185704e-25,-129.55710541992,1
"30","ABBA.C30",3,273.455245970313,114.698104955202,1.24057483306332e-25,1.24057473046429e-25,-133.618532076066,1
"26","ABBA.C26",5,284.11405997321,125.356918958098,6.01299598768687e-28,6.0129954903952e-28,-136.779252208827,1
"23","ABBA.C23",5,284.693929883736,125.936788868625,4.49959849526363e-28,4.49959812313419e-28,-137.06918716409,1
"27","ABBA.C27",3,285.342061489885,126.584920474773,3.25412156406296e-28,3.25412129493797e-28,-139.561939835852,1
"21","ABBA.C21",9,286.054281446836,127.297140431724,2.27917238485496e-28,2.279172196361e-28,-133.161756108033,1
"29","ABBA.C29",3,294.923931710508,136.166790695397,2.70244641425834e-30,2.70244619075842e-30,-144.352874946163,1
"31","ABBA.C31",2,297.00996261492,138.252821599808,9.52316339417257e-31,9.5231626065802e-31,-146.450927253406,1
