"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"11","ABBA.CN11",15,890.624102402585,0,1,0.615043666801057,-427.863071609456,0.615043666801057
"22","ABBA.CN22",9,892.897659312194,2.27355690960906,0.320850994630473,0.197337372234292,-436.583445040712,0.81238103903535
"9","ABBA.CN9",15,893.482680859083,2.85857845649741,0.239479076728855,0.147290089473447,-429.292360837705,0.959671128508797
"10","ABBA.CN10",9,897.325917875875,6.70181547328957,0.0350525211971015,0.0215588311676871,-438.797574322553,0.981229959676484
"3","ABBA.CN3",26,900.965552963227,10.3414505606413,0.00568044740809347,0.00349372320294437,-416.413810964372,0.984723682879428
"7","ABBA.CN7",9,901.118987529169,10.4948851265833,0.00526095577065278,0.00323571752806047,-440.6941091492,0.987959400407489
"16","ABBA.CN16",8,901.405608087862,10.7815056852763,0.00455854018016888,0.00280370126767102,-442.017089758216,0.99076310167516
"15","ABBA.CN15",15,901.985441767699,11.3613393651136,0.00341127320812574,0.00209808198238586,-433.543741292013,0.992861183657546
"13","ABBA.CN13",15,902.320356742397,11.6962543398121,0.00288529777366598,0.00177458412252845,-433.711198779362,0.994635767780074
"2","ABBA.CN2",17,903.014030661329,12.3899282587438,0.00203967636285292,0.00125449002929651,-431.319515330665,0.995890257809371
"17","ABBA.CN17",5,903.394282925561,12.7701805229754,0.00168651626126905,0.00103728114545053,-446.419363685003,0.996927538954821
"24","ABBA.CN24",5,903.532711551675,12.9086091490901,0.0015737333152864,0.000967914708800732,-446.48857799806,0.997895453663622
"8","ABBA.CN8",9,903.689736666073,13.0656342634879,0.00145490142216394,0.000894827905521781,-441.979483717652,0.998790281569144
"19","ABBA.CN19",5,904.523140111731,13.8990377091461,0.000959096507594586,0.000589886232847062,-446.983792278088,0.999380167801991
"25","ABBA.CN25",5,907.016209017245,16.3921066146602,0.000275739685074962,0.000169591946991073,-448.230326730845,0.999549759748982
"12","ABBA.CN12",9,907.698680260256,17.0745778576704,0.000196020967221526,0.000120561454449817,-443.983955514743,0.999670321203432
"14","ABBA.CN14",15,907.907361972245,17.2832595696599,0.000176598849448473,0.000108616003917637,-436.504701394286,0.999778937207349
"28","ABBA.CN28",3,908.01688453408,17.3927821314952,0.000167188094373742,0.000102827978609108,-450.899351357949,0.999881765185958
"30","ABBA.CN30",3,909.554401106745,18.9302987041598,7.75064536568866e-05,4.76698534578778e-05,-451.668109644282,0.999929435039416
"18","ABBA.CN18",5,910.393888141318,19.7697857387328,5.09384320423631e-05,3.13293600244315e-05,-449.919166292881,0.999960764399441
"6","ABBA.CN6",27,911.535566835857,20.9114644332714,2.87828102126327e-05,1.77026851340165e-05,-419.97708574351,0.999978467084575
"26","ABBA.CN26",5,912.257096562483,21.6329941598981,2.00657318701034e-05,1.23413013064352e-05,-450.850770503464,0.999990808385881
"21","ABBA.CN21",9,913.527125596976,22.9030231943913,1.06333890483812e-05,6.53999859083861e-06,-446.898178183104,0.999997348384472
"20","ABBA.CN20",9,915.889343899216,25.2652414966304,3.26379232660098e-06,2.00737480022982e-06,-448.079287334223,0.999999355759272
"23","ABBA.CN23",5,918.700994422479,28.0768920198934,8.00166496788753e-07,4.92137336236311e-07,-454.072719433462,0.999999847896608
"4","ABBA.CN4",27,922.335753380686,31.7116509781013,1.29987767242802e-07,7.99481530042951e-08,-425.377179015925,0.999999927844761
"27","ABBA.CN27",3,922.819814458446,32.1957120558611,1.02044583305269e-07,6.27618746932584e-08,-458.300816320132,0.999999990606636
"5","ABBA.CN5",26,926.958175636753,36.3340732341679,1.28871310428499e-08,7.92614833114014e-09,-429.410122301135,0.999999998532784
"31","ABBA.CN31",2,930.966278954147,40.3421765515616,1.73703139465957e-09,1.06835015831998e-09,-463.429085423019,0.999999999601135
"29","ABBA.CN29",3,932.937172576104,42.3130701735189,6.48385890520551e-10,3.98785635607829e-10,-463.359495378961,0.99999999999992
"1","ABBA.CN1",46,949.968829902607,59.3447275000223,1.29854247046238e-13,7.98660322530089e-14,-396.715758234886,1
