"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"16","ABBA.CP16",8,1811.08763932175,0,1,0.509684136916567,-896.858105375162,0.509684136916567
"10","ABBA.CP10",9,1812.33266894461,1.24502962285737,0.536593308404653,0.273493097269431,-896.300949856921,0.783177234185997
"26","ABBA.CP26",5,1814.74063755042,3.65299822866632,0.160976141513948,0.0820469857516958,-902.092540997432,0.865224219937693
"8","ABBA.CP8",9,1816.54528175378,5.45764243202439,0.065296214452429,0.0332804447071053,-898.407256261504,0.898504664644799
"9","ABBA.CP9",15,1817.03077234374,5.94313302198771,0.0512230060474573,0.0261075536275703,-891.066406580034,0.924612218272369
"22","ABBA.CP22",9,1817.06459198105,5.97695265929178,0.0503641166027062,0.0256697913022156,-898.666911375138,0.950282009574585
"20","ABBA.CP20",9,1817.2487224545,6.16108313274322,0.0459343733997527,0.0234120214610563,-898.758976611864,0.973694031035641
"23","ABBA.CP23",5,1819.22694816281,8.1393088410523,0.0170832911222725,0.00870708249134989,-904.335696303625,0.982401113526991
"2","ABBA.CP2",17,1820.04126294918,8.95362362742503,0.0113696038477581,0.00579490672422787,-889.833131474589,0.988196020251219
"24","ABBA.CP24",5,1820.31989566392,9.2322563421626,0.00989101834923775,0.00504129515055717,-904.88217005418,0.993237315401776
"21","ABBA.CP21",9,1821.32979928528,10.242159963527,0.00596957238310565,0.00304259634784418,-900.799515027256,0.99627991174962
"14","ABBA.CP14",15,1824.73130082724,13.6436615054824,0.00108972407962871,0.000555415077002757,-894.916670821781,0.996835326826623
"18","ABBA.CP18",5,1824.76828414896,13.6806448272107,0.00106975843935736,0.00054523890687307,-907.106364296704,0.997380565733496
"11","ABBA.CP11",15,1824.85867975204,13.7710404302886,0.00102248410526187,0.000521143928701303,-894.980360284184,0.997901709662197
"12","ABBA.CP12",9,1825.09431790441,14.0066785826566,0.000908842004497153,0.000463222352655654,-902.68177433682,0.998364932014853
"28","ABBA.CP28",3,1825.71167977048,14.6240404487221,0.000667467255475163,0.000340197472026928,-909.746748976147,0.99870512948688
"19","ABBA.CP19",5,1825.71859307338,14.6309537516299,0.000665164036821459,0.000339023558015285,-907.581518758914,0.999044153044895
"30","ABBA.CP30",3,1825.73139785144,14.6437585296849,0.000660919001574717,0.000336859930889369,-909.756608016628,0.999381012975784
"13","ABBA.CP13",15,1826.37046775548,15.2828284337295,0.000480148936956541,0.000244724296524102,-895.736254285905,0.999625737272308
"15","ABBA.CP15",15,1827.66982024451,16.5821809227573,0.000250740890353683,0.000127798654289608,-896.385930530419,0.999753535926598
"27","ABBA.CP27",3,1828.10978263615,17.0221433144009,0.000201228061819438,0.000102562751011834,-910.945800408986,0.99985609867761
"17","ABBA.CP17",5,1829.09183184012,18.004192518368,0.000123151376112111,6.27683028437886e-05,-909.268138142283,0.999918866980454
"25","ABBA.CP25",5,1829.79280149585,18.7051621740929,8.67412432108769e-05,4.42106356810058e-05,-909.618622970145,0.999963077616135
"7","ABBA.CP7",9,1831.03202117325,19.9443818515006,4.66801785418017e-05,2.37921465111894e-05,-905.650625971242,0.999986869762646
"4","ABBA.CP4",27,1833.06726071233,21.9796213905795,1.68727494624164e-05,8.59977274716116e-06,-880.742932681748,0.999995469535393
"6","ABBA.CP6",27,1836.16372004245,25.0760807206939,3.58755243719032e-06,1.82851856759227e-06,-882.291162346805,0.999997298053961
"29","ABBA.CP29",3,1836.78021317947,25.6925738577163,2.63589723086339e-06,1.34347500511337e-06,-915.281015680644,0.999998641528966
"31","ABBA.CP31",2,1836.90711643843,25.8194771166782,2.47384099038038e-06,1.26087751005085e-06,-916.399504165162,0.999999902406476
"3","ABBA.CP3",26,1842.69060562053,31.6029662987714,1.37247063865633e-07,6.99526512906882e-08,-887.276337293021,0.999999972359127
"5","ABBA.CP5",26,1844.54765166704,33.4600123452849,5.42313776466458e-08,2.76408729096271e-08,-888.204860316278,1
"1","ABBA.CP1",46,1885.00400562107,73.9163662993119,8.89743854376161e-17,4.53488328494533e-17,-864.233346094115,1
