"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"10","ACRU.CN10",9,737.265383108409,0,1,0.480741073962414,-358.814509736022,0.480741073962414
"12","ACRU.CN12",9,738.075578826558,0.810195718149203,0.666911544318497,0.320611772053606,-359.219607595097,0.80135284601602
"24","ACRU.CN24",5,740.529519805314,3.26413669690544,0.195524742306382,0.0939967746025941,-365.00160200792,0.895349620618614
"25","ACRU.CN25",5,740.991738090206,3.72635498179716,0.155178767040481,0.0746008071232042,-365.232711150366,0.969950427741818
"15","ACRU.CN15",17,744.486494408967,7.22111130055862,0.0270368196754013,0.0129977097272806,-352.243247204484,0.982948137469099
"7","ACRU.CN7",9,744.737666786524,7.47228367811567,0.0238459273065422,0.0114637167029768,-362.55065157508,0.994411854172076
"2","ACRU.CN2",17,747.409691103245,10.144307994836,0.00626890238786795,0.00301371886650918,-353.704845551622,0.997425573038585
"19","ACRU.CN19",5,748.943400361334,11.6780172529259,0.00291172780532429,0.00139978715221782,-369.20854228593,0.998825360190803
"21","ACRU.CN21",9,751.081385463512,13.8160023551036,0.000999754131660916,0.000480622874953029,-365.722510913574,0.999305983065756
"5","ACRU.CN5",29,751.985823434016,14.7204403256079,0.000636058407719448,0.00030577940202987,-337.326245050342,0.999611762467786
"27","ACRU.CN27",3,752.925688799017,15.6603056906087,0.000397564709746348,0.000191125685533014,-373.359396123646,0.999802888153319
"23","ACRU.CN23",5,754.621207826831,17.3558247184227,0.000170306234981788,8.18732023076398e-05,-372.047446018679,0.999884761355626
"13","ACRU.CN13",17,756.489692019879,19.2243089114702,6.69105131638272e-05,3.21666319577545e-05,-358.244846009939,0.999916927987584
"11","ACRU.CN11",17,756.72155549019,19.4561723817817,5.95862216558126e-05,2.86455441921778e-05,-358.360777745095,0.999945573531776
"18","ACRU.CN18",5,757.171325000222,19.9059418918133,4.7586048144131e-05,2.28765678904367e-05,-373.322504605374,0.999968450099667
"28","ACRU.CN28",3,758.776308168387,21.5109250599789,2.13285815060032e-05,1.02535251792909e-05,-376.284705808332,0.999978703624846
"29","ACRU.CN29",3,759.92892489354,22.6635417851313,1.19860043552652e-05,5.76216460626836e-06,-376.861014170908,0.999984465789452
"14","ACRU.CN14",17,760.080204867192,22.8148217587834,1.11128231310009e-05,5.34239052675171e-06,-360.040102433596,0.999989808179979
"22","ACRU.CN22",9,760.854998126494,23.589615018086,7.54362660832483e-06,3.62653115725752e-06,-370.609317245065,0.999993434711136
"8","ACRU.CN8",9,761.213938809352,23.9485557009436,6.30430483689218e-06,3.03073827787399e-06,-370.788787586494,0.999996465449414
"17","ACRU.CN17",5,761.813787368414,24.5484042600057,4.6706975459207e-06,2.24539615437953e-06,-375.64373578947,0.999998710845568
"3","ACRU.CN3",29,764.369555260935,27.1041721525269,1.30137901330101e-06,6.25626344486474e-07,-343.518110963801,0.999999336471913
"31","ACRU.CN31",2,766.426342482024,29.1609593736151,4.65348296592759e-07,2.23712039870583e-07,-381.16188918973,0.999999560183953
"20","ACRU.CN20",9,766.936284085322,29.670900976913,3.60616601584228e-07,1.73363212334278e-07,-373.649960224479,0.999999733547165
"30","ACRU.CN30",3,767.726065162678,30.4606820542699,2.42966800320577e-07,1.16804120523326e-07,-380.759584305477,0.999999850351286
"26","ACRU.CN26",5,768.155012095323,30.8896289869144,1.96066001224864e-07,9.42569799963572e-08,-378.814348152925,0.999999944608266
"16","ACRU.CN16",9,770.750393433213,33.4850103248042,5.35577587602092e-08,2.57474144654029e-08,-375.557014898425,0.99999997035568
"6","ACRU.CN6",29,771.565637324485,34.300254216077,3.56282452404214e-08,1.71279608802765e-08,-347.116151995576,0.999999987483641
"9","ACRU.CN9",17,772.225287632033,34.9599045236247,2.56184699850973e-08,1.23158507739095e-08,-366.112643816017,0.999999999799492
"4","ACRU.CN4",29,780.46086241249,43.1954793040815,4.17081423899548e-10,2.00508171655241e-10,-351.563764539578,1
"1","ACRU.CN1",50,822.516513228972,85.2511301205635,3.07575902010214e-19,1.47864369457348e-19,-324.301734875356,1
