"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"12","BEPA.C12",9,301.563656227282,0,1,0.610041325713605,-140.770592158585,0.610041325713605
"13","BEPA.C13",16,303.104363254101,1.54070702681895,0.462849415911181,0.282357271288225,-132.235108456319,0.892398597001829
"16","BEPA.C16",9,305.079786225995,3.51612999871298,0.172378093040662,0.105157760402508,-142.528657157941,0.997556357404338
"22","BEPA.C22",9,313.500594612824,11.9369383855425,0.00255815446451617,0.00156057994091362,-146.739061351356,0.999116937345252
"2","BEPA.C2",17,316.040332027518,14.4766758002361,0.000718504995264425,0.000438317739842957,-137.242388235981,0.999555255085094
"11","BEPA.C11",17,317.011657748703,15.4480015214212,0.000442088371340863,0.000269692176135348,-137.728051096574,0.99982494726123
"7","BEPA.C7",9,318.976801726825,17.4131454995436,0.000165494474605855,0.000100958468686833,-149.477164908357,0.999925905729917
"14","BEPA.C14",17,321.354165072989,19.7905088457067,5.04133557549857e-05,3.07542303784431e-05,-139.899304758716,0.999956659960295
"9","BEPA.C9",17,321.719290273486,20.1556340462047,4.20010045083119e-05,2.56223484715537e-05,-140.081867358965,0.999982282308767
"19","BEPA.C19",5,323.74278281219,22.1791265849085,1.52708726486219e-05,9.31586339536892e-06,-156.548810760934,0.999991598172162
"20","BEPA.C20",9,324.79169180798,23.2280355806985,9.03849580778412e-06,5.51385596503748e-06,-152.384609948934,0.999997112028127
"28","BEPA.C28",3,327.598040298757,26.0343840714755,2.22180187533558e-06,1.35539096150269e-06,-160.672704359905,0.999998467419089
"30","BEPA.C30",3,330.105519003135,28.541862775853,6.34181029405644e-07,3.86876635921038e-07,-161.926443712094,0.999998854295725
"17","BEPA.C17",5,330.953259811304,29.3896035840218,4.15076999894977e-07,2.53214123289158e-07,-160.15404926049,0.999999107509848
"24","BEPA.C24",5,330.957431023716,29.3937747964345,4.14212214841875e-07,2.52686568668906e-07,-160.156134866697,0.999999360196416
"15","BEPA.C15",17,330.967843582916,29.4041873556337,4.12061314191332e-07,2.5137443038457e-07,-144.70614401368,0.999999611570847
"25","BEPA.C25",5,331.108370517576,29.5447142902947,3.84102211057738e-07,2.3431822204319e-07,-160.231604613627,0.999999845889069
"18","BEPA.C18",5,333.177547129155,31.6138909018736,1.36499422795217e-07,8.32702888411358e-08,-161.266192919416,0.999999929159358
"8","BEPA.C8",9,334.9934230065,33.4297667792185,5.5057739702502e-08,3.35874965189089e-08,-157.485475548194,0.999999962746854
"10","BEPA.C10",9,336.069898173694,34.5062419464123,3.21413982306831e-08,1.96075811869348e-08,-158.023713131791,0.999999982354435
"26","BEPA.C26",5,337.470869279768,35.9072130524859,1.5953198000047e-08,9.73211005732032e-09,-163.412853994723,0.999999992086545
"21","BEPA.C21",9,338.199700718894,36.6360444916125,1.10811292183552e-08,6.75994675876917e-09,-159.088614404391,0.999999998846492
"3","BEPA.C3",31,342.331524452587,40.7678682253048,1.40400901187022e-09,8.56503518915155e-10,-125.35979207704,0.999999999702996
"29","BEPA.C29",3,346.384649849633,44.8209936223512,1.85031171365604e-10,1.12876661078214e-10,-170.066009135343,0.999999999815872
"31","BEPA.C31",2,347.227692875591,45.6640366483093,1.21389306727202e-10,7.40524936033177e-11,-171.551346437796,0.999999999889925
"5","BEPA.C5",31,347.515640425762,45.9519841984805,1.05112269964621e-10,6.41228285179837e-11,-127.951850063627,0.999999999954048
"27","BEPA.C27",3,349.354852825868,47.7911965985867,4.19057402618976e-11,2.5564233344378e-11,-171.551110623461,0.999999999979612
"23","BEPA.C23",5,349.825228479787,48.2615722525051,3.312323466241e-11,2.02065419853794e-11,-169.590033594732,0.999999999999818
"6","BEPA.C6",33,359.255254918463,57.6915986911807,2.96775823071205e-13,1.81045516546104e-13,-129.366088997693,1
"4","BEPA.C4",33,371.628239041413,70.0645828141315,6.10476785126572e-16,3.72416067315994e-16,-135.552581059168,1
"1","BEPA.C1",57,382.925923304127,81.3622670768451,2.14985013588438e-18,1.31149742698048e-18,-53.8288153106,1
