"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"27","BEPA.CN27",3,807.428399006629,0,1,0.44639839587988,-400.587883713841,0.44639839587988
"24","BEPA.CN24",5,807.904252160826,0.47585315419667,0.788260565347072,0.3518782519063,-398.629545435252,0.79827664778618
"23","BEPA.CN23",5,810.881252090328,3.45285308369898,0.177919061664925,0.0794227837236759,-400.118045400003,0.877699431509856
"18","BEPA.CN18",5,811.806898618108,4.3784996114789,0.112000739420571,0.0499969504147034,-400.580868663893,0.92769638192456
"10","BEPA.CN10",9,813.063401912867,5.6350029062371,0.0597550571583583,0.0266745616612017,-396.520465001377,0.954370943585761
"12","BEPA.CN12",9,813.73993722736,6.31153822073088,0.042605619964214,0.0190190804074929,-396.858732658624,0.973390023993254
"28","BEPA.CN28",3,816.062231486855,8.63383248022603,0.0133409604929877,0.00595538336356655,-404.904799953954,0.979345407356821
"21","BEPA.CN21",9,816.196181702517,8.76778269588749,0.0124767128028472,0.00556958458104497,-398.086854896202,0.984914991937866
"29","BEPA.CN29",3,817.352242384845,9.92384337821522,0.00699946410624854,0.00312454954904814,-405.549805402949,0.988039541486914
"31","BEPA.CN31",2,817.517512746531,10.0891137399014,0.0064443154010287,0.00287673205756322,-406.696256373265,0.990916273544477
"26","BEPA.CN26",5,817.966400795648,10.5380017890184,0.005148752150658,0.00229839470083681,-403.660619752663,0.993214668245314
"25","BEPA.CN25",5,818.704745447038,11.2763464404089,0.00355936464623548,0.00158889466843108,-404.029792078358,0.994803562913745
"30","BEPA.CN30",3,819.039824664756,11.6114256581269,0.003010308152958,0.00134379673058457,-406.393596542905,0.99614735964433
"22","BEPA.CN22",9,819.234423516689,11.8060245100593,0.00273120532828815,0.00121920567736641,-399.605975803288,0.997366565321696
"8","BEPA.CN8",9,819.660594635771,12.2321956291418,0.0022070515056616,0.000985224251751613,-399.819061362829,0.998351789573448
"19","BEPA.CN19",5,819.71670358309,12.2883045764609,0.00214599430568926,0.000957968415627044,-404.535771146384,0.999309757989075
"17","BEPA.CN17",5,821.323580690734,13.8951816841042,0.000960947441408476,0.000428965396369619,-405.339209700206,0.999738723385444
"20","BEPA.CN20",9,823.815275320352,16.3868763137222,0.000276461729557689,0.00012341207259673,-401.89640170512,0.999862135458041
"16","BEPA.CN16",9,824.714841407447,17.2864424008177,0.0001763180307971,7.87080861125248e-05,-402.346184748667,0.999940843544154
"7","BEPA.CN7",9,826.652772494443,19.2243734878138,6.69083527805618e-05,2.98677813522079e-05,-403.315150292165,0.999970711325506
"15","BEPA.CN15",17,827.449075735224,20.0206767285945,4.49329866226427e-05,2.00580131504398e-05,-392.946760089834,0.999990769338656
"2","BEPA.CN2",17,829.690381309844,22.2619823032151,1.46511584343908e-05,6.54025362289404e-06,-394.067412877144,0.999997309592279
"13","BEPA.CN13",16,832.665782047327,25.2373830406974,3.30957253523455e-06,1.47738787077681e-06,-397.015817852932,0.99999878698015
"14","BEPA.CN14",17,833.549823373312,26.1214243666827,2.12718258612337e-06,9.49570894189085e-07,-395.997133908878,0.999999736551044
"11","BEPA.CN11",17,836.169673623714,28.7412746170845,5.7399950181677e-07,2.56232456846856e-07,-397.307059034079,0.999999992783501
"9","BEPA.CN9",17,843.381080522575,35.952681515946,1.55946059023881e-08,6.96140705920495e-09,-400.91276248351,0.999999999744908
"5","BEPA.CN5",31,849.994149773694,42.5657507670645,5.71432137925174e-10,2.55086389724008e-10,-379.191104737593,0.999999999999994
"6","BEPA.CN6",33,871.460170388277,64.0317713816471,1.24645760365564e-14,5.56416674804157e-15,-385.4685467326,1
"3","BEPA.CN3",31,879.036880279161,71.6084812725319,2.82108299396581e-16,1.25932692315035e-16,-393.712469990327,1
"4","BEPA.CN4",33,884.571835888394,77.1434368817647,1.77221139064892e-17,7.91112321945729e-18,-392.024379482659,1
"1","BEPA.CN1",57,945.134393173288,137.705994166659,1.25176644092314e-30,5.58786531244357e-31,-334.933050245181,1
