"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"24","BEPA.N24",5,112.325837671153,0,1,0.433663321808081,-50.8403381904152,0.433663321808081
"10","BEPA.N10",9,112.511275969018,0.18543829786536,0.91144944590285,0.395262194370365,-46.244402029453,0.828925516178446
"12","BEPA.N12",9,114.961709050393,2.63587137924019,0.267687321716558,0.116086173141511,-47.4696185701404,0.945011689319957
"27","BEPA.N27",3,118.394821723708,6.06898405255514,0.0480990897446293,0.0208588110346009,-56.0710950723804,0.965870500354558
"28","BEPA.N28",3,120.156272778574,7.83043510742077,0.0199362109771599,0.00864560347662189,-56.9518205998132,0.97451610383118
"25","BEPA.N25",5,120.369712846187,8.04387517503432,0.017918213176903,0.0077704718471611,-54.8622757779324,0.982286575678341
"22","BEPA.N22",9,120.555262870001,8.22942519884784,0.0163306331684383,0.00708199662705417,-50.2663954799442,0.989368572305395
"23","BEPA.N23",5,122.598093244153,10.2722555729996,0.00588041591047082,0.00255012069734787,-55.976465976915,0.991918693002743
"19","BEPA.N19",5,122.609515117369,10.2836774462161,0.00584692893997291,0.00253559862648446,-55.9821769135233,0.994454291629228
"18","BEPA.N18",5,122.652022495358,10.3261848242045,0.00572397140975412,0.00248227645548846,-56.0034306025175,0.996936568084716
"2","BEPA.N2",17,125.47447555602,13.1486378848673,0.00139575618505675,0.000605288263645883,-41.9594600002324,0.997541856348362
"7","BEPA.N7",9,125.614656388448,13.2888187172945,0.00130127677920397,0.000564316010661315,-52.7960922391676,0.998106172359023
"26","BEPA.N26",5,125.887576928028,13.5617392568747,0.00113528719088705,0.000492332414406241,-57.6212078188525,0.99859850477343
"31","BEPA.N31",2,126.590813876033,14.2649762048798,0.00079872959206451,0.000346379728121109,-61.2329069380164,0.998944884501551
"29","BEPA.N29",3,127.519227993729,15.193390322576,0.000502108080679478,0.000217745858174142,-60.6332982073908,0.999162630359725
"21","BEPA.N21",9,127.817813129766,15.4919754586132,0.000432474268004097,0.000187548227659175,-53.8976706098269,0.999350178587384
"20","BEPA.N20",9,127.829780532496,15.5039428613433,0.000429894198018639,0.000186429345938784,-53.903654311192,0.999536607933323
"30","BEPA.N30",3,128.417469347938,16.0916316767847,0.000320439893686044,0.000138963028735718,-61.0824188844952,0.999675570962059
"8","BEPA.N8",9,128.746323060123,16.4204853889697,0.000271854735637657,0.000117893427705884,-54.3619255750052,0.999793464389764
"15","BEPA.N15",17,129.242755959068,16.9169182879155,0.000212098632476061,9.197939751052e-05,-43.8436002017565,0.999885443787275
"11","BEPA.N11",17,130.730905852669,18.405068181516,0.000100783682966962,4.37061867395054e-05,-44.5876751485567,0.999929149974014
"17","BEPA.N17",5,131.280614027046,18.9547763558925,7.65636468596355e-05,3.32028454268904e-05,-60.3177263683615,0.999962352819441
"16","BEPA.N16",9,131.490643745012,19.1648060738592,6.89311045526201e-05,2.98928917761894e-05,-55.7340859174499,0.999992245711218
"13","BEPA.N13",16,134.280808874149,21.954971202996,1.70819945156934e-05,7.40783448478302e-06,-47.8233312663428,0.999999653545702
"14","BEPA.N14",17,141.025477820429,28.6996401492755,5.86073824670585e-07,2.54158721631413e-07,-49.7349611324365,0.999999907704424
"9","BEPA.N9",17,143.055378975183,30.7295413040296,2.12405075478393e-07,9.21122906008563e-08,-50.7499117098135,0.999999999816715
"5","BEPA.N5",31,155.710882388762,43.3850447176092,3.79364982853057e-10,1.64516678641722e-10,-32.0494710451274,0.999999999981231
"6","BEPA.N6",33,160.208249600896,47.8824119297426,4.00374453937704e-11,1.73627715661721e-11,-29.8425863389093,0.999999999998594
"3","BEPA.N3",31,165.304657929947,52.978820258794,3.13180960650541e-12,1.3581509572276e-12,-36.8463588157198,0.999999999999952
"4","BEPA.N4",33,171.998295433014,59.6724577618607,1.10227621483285e-13,4.7801676487445e-14,-35.7376092549684,1
"1","BEPA.N1",57,276.352844532394,164.027006861241,2.40983894426902e-36,1.04505876159418e-36,-0.542275924733403,1
