"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","VAAN.C1",58,390.726852966428,0,1,0.99975716236779,-111.439184058971,0.99975716236779
"14","VAAN.C14",17,408.862966842307,18.136113875879,0.00011529033742895,0.000115262340596392,-185.662697293986,0.999872424708387
"5","VAAN.C5",31,410.010626345731,19.2837733793031,6.49503978327057e-05,6.49346254318849e-05,-167.766319462174,0.999937359333819
"4","VAAN.C4",33,410.160005622286,19.4331526558577,6.0276012988244e-05,6.02613757039709e-05,-164.933505995856,0.999997620709523
"12","VAAN.C12",9,416.726013491927,25.9991605254994,2.26127835057066e-06,2.26072922709024e-06,-198.865769176903,0.99999988143875
"16","VAAN.C16",9,423.764487058127,33.0376340916993,6.69836654957758e-08,6.69673993410501e-08,-202.385005960003,0.999999948406149
"2","VAAN.C2",17,425.537116549336,34.8102635829082,2.7608785726484e-08,2.760208127433e-08,-193.9997721475,0.99999997600823
"3","VAAN.C3",31,426.947404520949,36.2205515545216,1.36397736770442e-08,1.36364614267006e-08,-176.234708549783,0.999999989644692
"13","VAAN.C13",16,427.506390022833,36.7795370564047,1.03139495967943e-08,1.03114449816955e-08,-196.189976620612,0.999999999956137
"9","VAAN.C9",17,438.426312168497,47.6994592020692,4.38726673646189e-11,4.38620134299573e-11,-200.444369957081,0.999999999999999
"8","VAAN.C8",9,459.711386304814,68.9845333383862,1.04760826776114e-15,1.04735386904991e-15,-220.358455583346,1
"7","VAAN.C7",9,467.204649364665,76.4777963982371,2.4720515224177e-17,2.47145121527929e-17,-224.105087113272,1
"17","VAAN.C17",5,477.280724600855,86.5538716344277,1.60348750801714e-19,1.60309812090741e-19,-233.478200138266,1
"18","VAAN.C18",5,484.293045073587,93.5661921071595,4.81237583756799e-21,4.81120721161429e-21,-236.984360374632,1
"6","VAAN.C6",33,499.90158771749,109.174734751062,1.96339448687842e-24,1.96291770081013e-24,-209.804297043458,1
"19","VAAN.C19",5,511.643272516134,120.916419549706,5.53774698141284e-27,5.5364022080481e-27,-250.659474095905,1
"11","VAAN.C11",17,524.65915745406,133.932304487632,8.25980141936937e-30,8.25779562875016e-30,-243.560792599862,1
"30","VAAN.C30",3,530.479001101848,139.75214813542,4.49993888289634e-31,4.49884612839292e-31,-262.175329427929,1
"20","VAAN.C20",9,542.364021591931,151.637168625504,1.18142785793031e-33,1.18114096278667e-33,-261.684773226905,1
"15","VAAN.C15",17,543.919179211581,153.192326245153,5.42886473433625e-34,5.42754640167857e-34,-253.190803478623,1
"22","VAAN.C22",9,560.458030368376,169.731177401948,1.39105122711178e-37,1.3907134275255e-37,-270.731777615127,1
"10","VAAN.C10",9,562.140366636137,171.413513669709,5.99830361800229e-38,5.99684700415442e-38,-271.572945749008,1
"21","VAAN.C21",9,566.764128231731,176.037275265303,5.94280351418653e-39,5.94136037785246e-39,-273.884826546805,1
"24","VAAN.C24",5,573.178805111191,182.451952144763,2.40470599186599e-40,2.40412203875676e-40,-281.427240393433,1
"28","VAAN.C28",3,581.382877535121,190.656024568693,3.97713464432168e-42,3.97616884636167e-42,-287.627267644566,1
"25","VAAN.C25",5,582.132238269026,191.405385302599,2.73431583939294e-42,2.73365184460879e-42,-285.903956972351,1
"26","VAAN.C26",5,582.37654262667,191.649689660243,2.4199069176034e-42,2.41931927313736e-42,-286.026109151173,1
"23","VAAN.C23",5,589.857674280506,199.130821314079,5.74502024195707e-44,5.74362513484452e-44,-289.766674978091,1
"27","VAAN.C27",3,597.620158553519,206.893305587091,1.18492133828128e-45,1.18463359478913e-45,-295.745908153765,1
"31","VAAN.C31",2,616.853443891015,226.126590924588,7.89286500466757e-50,7.89094832001849e-50,-306.394807051891,1
"29","VAAN.C29",3,617.388042232264,226.661189265836,6.0415464671626e-50,6.04007935232363e-50,-305.629849993137,1
