"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"20","VAAN.NP20",9,1323.18485662192,0,1,0.929890122410634,-652.0951907419,0.929890122410634
"10","VAAN.NP10",9,1330.46295881028,7.27810218836021,0.0262772667904996,0.0244349708324345,-655.73424183608,0.954325093243068
"9","VAAN.NP9",17,1330.62632068968,7.44146406776326,0.0242162342517294,0.0225184370326653,-646.544374217674,0.976843530275733
"11","VAAN.NP11",17,1331.32699744018,8.14214081825912,0.0170591184948559,0.0158631057853991,-646.894712592922,0.992706636061132
"4","VAAN.NP4",33,1334.01590417992,10.8310475579949,0.0044470079532715,0.00413522877002869,-626.861455274671,0.996841864831161
"6","VAAN.NP6",33,1335.21714810614,12.0322914842161,0.0024390522381841,0.00226805058433095,-627.462077237782,0.999109915415492
"26","VAAN.NP26",5,1339.87132151821,16.6864648962919,0.000238001769809529,0.000221315494862131,-664.773498596944,0.999331230910354
"3","VAAN.NP3",31,1339.87251711632,16.6876604943952,0.000237859535095368,0.000221183232206368,-632.697264847466,0.99955241414256
"2","VAAN.NP2",17,1340.05283143333,16.8679748114141,0.000217353085266549,0.000202114487064841,-651.2576295895,0.999754528629625
"21","VAAN.NP21",9,1340.69455957136,17.5097029494345,0.000157694415828013,0.000146638479637784,-660.850042216617,0.999901167109263
"24","VAAN.NP24",5,1342.47068798189,19.2858313599654,6.48835988749663e-05,6.03346177002849e-05,-666.073181828781,0.999961501726963
"14","VAAN.NP14",17,1345.3324954315,22.1476388095748,1.55131981192569e-05,1.44255696980962e-05,-653.89746158858,0.999975927296662
"22","VAAN.NP22",9,1346.39530628412,23.2104496622007,9.11832137023577e-06,8.47903697514803e-06,-663.700415573,0.999984406333637
"15","VAAN.NP15",17,1346.78112174338,23.5962651214577,7.5185853148222e-06,6.9914582187548e-06,-654.621774744522,0.999991397791855
"16","VAAN.NP16",9,1347.26049056775,24.0756339458248,5.91619546907186e-06,5.50141172894046e-06,-664.133007714812,0.999996899203584
"12","VAAN.NP12",9,1348.48329715949,25.2984405375651,3.2100621206489e-06,2.98500505831595e-06,-664.744411010682,0.999999884208643
"5","VAAN.NP5",31,1356.46485567307,33.2799990511535,5.93389732196085e-08,5.51787250709031e-08,-640.993434125845,0.999999939387368
"13","VAAN.NP13",16,1356.84286226882,33.6580056469043,4.91198393609357e-08,4.56760534361312e-08,-660.858212743608,0.999999985063421
"8","VAAN.NP8",9,1360.02857151932,36.8437148974012,9.98823987297306e-09,9.28796559814569e-09,-670.5170481906,0.999999994351387
"23","VAAN.NP23",5,1361.89934061624,38.714483994316,3.91973417807866e-09,3.64492209467071e-09,-675.787508145956,0.999999997996309
"25","VAAN.NP25",5,1363.50617046937,40.3213138474523,1.75524581602441e-09,1.63218574672369e-09,-676.590923072524,0.999999999628495
"7","VAAN.NP7",9,1366.49373576251,43.3088791405928,3.94090881195529e-10,3.66461217755825e-10,-673.749630312196,0.999999999994956
"1","VAAN.NP1",58,1376.2200388933,53.0351822713774,3.04478405345016e-12,2.83131461617671e-12,-604.185777022407,0.999999999997787
"27","VAAN.NP27",3,1377.74275205763,54.5578954357115,1.42201289289408e-12,1.32231574304278e-12,-685.807204905821,0.999999999999109
"18","VAAN.NP18",5,1379.29542513408,56.1105685121549,6.54251699366178e-13,6.0838219281098e-13,-684.485550404876,0.999999999999718
"28","VAAN.NP28",3,1381.3893593346,58.204502712676,2.29642795487484e-13,2.13542567206576e-13,-687.630508544304,0.999999999999931
"19","VAAN.NP19",5,1383.66180470165,60.4769480797333,7.3722080573068e-14,6.85534345284568e-14,-686.668740188665,1
"17","VAAN.NP17",5,1404.15463117757,80.9697745556487,2.61599466983622e-18,2.43258760375956e-18,-696.915153426622,1
"31","VAAN.NP31",2,1406.36082310279,83.1759664808742,8.68097219514964e-19,8.072350297191e-19,-701.14849665778,1
"29","VAAN.NP29",3,1407.18795802886,84.0031014069427,5.74061336947194e-19,5.33813966885038e-19,-700.529807891437,1
"30","VAAN.NP30",3,1407.77954440643,84.5946877845131,4.27067918636436e-19,3.9712623913849e-19,-700.825601080222,1
