(Intercept),EVI,GDD,NDMI,Site,EVI:GDD,EVI:NDMI,EVI:Site,GDD:NDMI,GDD:Site,NDMI:Site,EVI:GDD:NDMI,EVI:GDD:Site,EVI:NDMI:Site,GDD:NDMI:Site,EVI:GDD:NDMI:Site,df,logLik,AICc,delta,weight
51.99630434782038,NA,-8.69565217380598e-4,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,9,-107.25806283636064,234.2468949034905,0,0.998605844568459
45.01861691804673,NA,0.008514863827616244,12.166820516158397,NA,NA,NA,NA,-0.013365363783806008,NA,NA,NA,NA,NA,NA,NA,5,-118.64308861843223,247.84173279242,13.594837888929504,0.00111509678780048
48.789103055051214,NA,0.0031106280790345942,2.7837155889124694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-121.25229779267558,250.87156806241538,16.624673158924878,0.000245127589959059
49.933039584110695,NA,0.002937196339279341,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-121.15052009081103,255.08608691059402,20.83919200710352,2.98003287771893e-05
49.73496659689467,NA,0.0033598864273832697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-126.85755955279703,259.93330092377585,25.686406020285347,2.64035247010868e-06
49.58143128177166,0.4546261640114859,0.003302073122360449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-126.7876961334103,261.9423647438848,27.69546984039431,9.66939364353546e-07
47.071357898869685,6.519853108235254,0.0068840474129886154,NA,NA,-0.008577763537916535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-126.37353087873589,263.3026173130273,29.055722409536827,4.89806053715368e-07
51.17053609701012,0.7662841708003383,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,9,-124.47150728333551,268.67378379744025,34.42688889394975,3.33956703653853e-08
49.90013371986156,3.5126547432183366,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-133.39939768530832,279.5838420995886,45.336947196098095,1.42758214238765e-10
49.940609266929975,NA,NA,2.885826211840878,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-134.5517566024194,281.88855993381077,47.64166503032027,4.50959964743367e-11
51.52500000000008,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-136.7792522088272,284.1140599732099,49.86716506971942,1.48209756776271e-11
44.59955715290097,15.321224307831333,NA,17.119490305784186,NA,NA,-33.92270741485325,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-137.0691871640904,284.69392988373636,50.44703498024586,1.10907175048763e-11
50.69584740255388,NA,NA,3.6014262219315403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-139.56193983585158,285.34206148988494,51.09516658639444,8.02083631051487e-12
50.767719125547075,NA,NA,1.3793194769497454,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,9,-133.1617561080333,286.05428144683583,51.80738654334533,5.61775836042912e-12
50.31031861842493,1.185550787230769,NA,3.2964042863810374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-139.1956765010381,286.7583254791404,52.51143057564991,3.95077080322704e-12
50.951054493225676,2.7970499666768935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-144.35287494616313,294.9239317105081,60.6770368070176,6.66105426609827e-14
52.15149122807019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-146.4509272534059,297.0099626149199,62.763067711429414,2.34729198769009e-14
