(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
7.5812202826026605,-31.36808877904462,NA,-33.25401818310321,NA,85.54956240866221,NA,NA,5,424.6837569331376,-838.8119583107197,0,0.238625871024497
-6.445671928376139,5.042164651812213,NA,NA,NA,NA,NA,NA,3,422.1943390295706,-838.1704962409593,0.6414620697603368,0.173151320532105
-7.052517330273504,4.510161935674648,0.001142236603793971,NA,NA,NA,NA,NA,4,422.83335010207514,-837.2997277270861,1.5122305836335954,0.112031674618253
-5.401697396155394,NA,NA,2.804352472035227,NA,NA,NA,NA,3,421.5681137644691,-836.9180457107564,1.8939125999633006,0.0925677336512181
-4.242354999339662,NA,NA,NA,NA,NA,NA,NA,2,420.376224583347,-836.6443410585858,2.167617252133823,0.0807282282176799
-5.321248036522318,NA,0.0014691509990355084,NA,NA,NA,NA,NA,3,421.4001199568308,-836.5820580954797,2.2299002152399225,0.0782529731793382
-6.32068156292691,NA,0.0013411517195876525,2.6450087252270724,NA,NA,NA,NA,4,422.4437749337873,-836.5205773905104,2.2913809202092352,0.0758840465643768
-6.4598484275393,4.075611840618497,NA,1.055515010484562,NA,NA,NA,NA,4,422.30539721171334,-836.2438219463625,2.5681363643572013,0.0660775300305539
-12.085296457760055,16.668795045574775,0.008249258055091208,NA,-0.017047008498185617,NA,NA,NA,5,423.1965769317599,-835.8375983079643,2.974360002755361,0.053931619083457
-8.170034360704783,NA,0.003888624412250746,7.354090505980305,NA,NA,-0.006458350677485397,NA,5,422.56746309272523,-834.5793706298949,4.232587680824736,0.0287490030985208
