(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
9.360589420454707,-40.06223130516239,NA,-42.98806173716955,NA,105.2764460516554,NA,NA,5,704.2601179709205,-1397.9646803862854,0,0.325203559270539
-6.67885351681945,NA,NA,NA,NA,NA,NA,NA,2,700.3116067298441,-1396.5151053515801,1.4495750347052763,0.157537544104814
-8.09105427619508,3.252302729090773,NA,NA,NA,NA,NA,NA,3,701.053196213922,-1395.888210609662,2.0764697766232985,0.115147790051096
-7.573851970177941,NA,0.0012228947206129339,NA,NA,NA,NA,NA,3,701.0113595600368,-1395.8045373018917,2.160143084393667,0.110429772980917
-8.69992664976139,2.8701090821893938,0.0010584203402429942,NA,NA,NA,NA,NA,4,701.5845323903584,-1394.8020923036527,3.1625880826327375,0.0668972112667038
-7.087945927892484,NA,NA,1.003445515021447,NA,NA,NA,NA,3,700.4702406577516,-1394.7222994973213,3.242380888964135,0.0642807930355271
-8.002384810426351,NA,0.0012259666391183633,1.0456191542297413,NA,NA,NA,NA,4,701.1795941343462,-1393.9922157916283,3.97246459465714,0.0446216436591591
-15.72646526212786,19.8183513046136,0.010931659487920827,NA,-0.02366266316459386,NA,NA,NA,5,702.2730767200367,-1393.9905978845177,3.9740825017677253,0.0445855614182743
-8.115540133242995,4.043617756625674,NA,-0.7827376993447062,NA,NA,NA,NA,4,701.1096111058396,-1393.852249734615,4.1124306516703655,0.0416056508858825
-12.539308431960627,NA,0.007354546221571425,12.56739765652197,NA,NA,-0.015533101669028404,NA,5,701.8664928793958,-1393.1774302032359,4.787250183049537,0.0296904733270876
