(Intercept),EVI,GDD,NDMI,Site,EVI:GDD,EVI:NDMI,EVI:Site,GDD:NDMI,GDD:Site,NDMI:Site,EVI:GDD:NDMI,EVI:GDD:Site,EVI:NDMI:Site,GDD:NDMI:Site,EVI:GDD:NDMI:Site,df,logLik,AICc,delta,weight
-0.29464199633159566,5.627880665087542,0.0016830065841027919,NA,NA,-0.005631753168213131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,20.729126879980576,-30.931937970487468,0,0.759757806793539
1.3243999469784102,1.738171752037094,-6.846536416676096e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,18.190053825800945,-28.032281564645366,2.8996564058421015,0.178247227343796
0.5602151208955356,NA,8.453868832274035e-4,3.4837317214400736,NA,NA,NA,NA,-0.0033856586438037847,NA,NA,NA,NA,NA,NA,NA,5,17.831775193305734,-25.137234597137784,5.794703373349684,0.0419151786612366
1.4857354972212988,NA,-4.971801688637994e-4,1.140880031662929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,15.90772317735047,-23.467620267744415,7.4643177027430525,0.0181894336325974
6.856587452050184,NA,NA,-9.48621442075152,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,9,18.230564762892296,-16.82476588942096,14.107172081066508,0.00065666168429679
0.9241751068742271,0.796209740581239,NA,0.8214039464088337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12.267829091098816,-16.187832095241113,14.744105875246355,0.000477565846374368
0.7925566705620876,NA,NA,1.7346409309363968,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14.408344296174317,-16.073325760490224,14.858612209997244,0.000450991675384341
1.1660472370715693,0.19820104688548365,NA,0.22165525292643629,NA,NA,1.4670757865815718,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12.325625282493164,-14.124934775512644,16.807003194974826,0.000170247521805589
1.1691255363159878,NA,NA,1.0617784493966984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9.761202042294332,-13.315507532864526,17.61643043762294,0.000113583672434961
1.06185706976359,1.2308891389455505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.673017050968185,-9.139137550212231,21.792800420275235,1.40743610382131e-05
0.7392707414713356,NA,0.0018468680107722702,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,9,12.717031084832392,-5.797698533301151,25.134239437186316,2.64755154498774e-06
-0.37016771847605456,4.752720282920037,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,9,12.272997528845707,-4.909631421327781,26.022306549159687,1.69825577836317e-06
1.8913623250407123,NA,-4.356672039092607e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5.344830602603841,-4.482764653483542,26.449173317003925,1.37186115842691e-06
1.2167519946403702,1.1614901913695674,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8.364355678271899,-3.9853485246853886,26.94658944580208,1.06978774892065e-06
1.960250860703072,NA,-4.292221567341556e-4,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7.246984886852221,-1.7506069418460335,29.181331028641434,3.49969060100991e-07
1.5866666666666647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.281858557415454,1.5388469877331943,32.47078495822066,6.75668708051357e-08
1.7299999999999929,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.4509463369258953,3.6244231156218927,34.55636108610936,2.38153355051715e-08
