"","PlotName","SiteName","SiteCode","POINT_X","POINT_Y","NDMI2016","NDMI2017","coords.x1","coords.x2","coords.x3","optional"
"1","Bloomfield+E1","Bloomfield","BL",-53.9845843249,48.3502109513,0.467500001192093,0.487899988889694,723397.905592537,5359620.43684799,0,TRUE
"2","Bloomfield+A1","Bloomfield","BL",-53.9868690878,48.3502685723,0.425949990749359,0.429199993610382,723228.404580924,5359620.18110404,0,TRUE
"3","Bloomfield+D1","Bloomfield","BL",-53.9850727172,48.350252256,0.542349994182587,0.554300010204315,723361.546144726,5359623.60328124,0,TRUE
"4","Bloomfield+F1","Bloomfield","BL",-53.9840467441,48.3502519039,0.528199970722198,0.546599984169006,723437.548959906,5359626.55573128,0,TRUE
"5","Bloomfield+K1","Bloomfield","BL",-53.981671301,48.3502595656,0.555000007152557,0.584399998188019,723613.481708047,5359634.33756375,0,TRUE
"6","Bloomfield+J1","Bloomfield","BL",-53.9821316844,48.3502836136,0.552649974822998,0.568000018596649,723579.272496466,5359635.66653278,0,TRUE
"7","Bloomfield+N1","Bloomfield","BL",-53.9801196466,48.3502728155,0.517700016498566,0.557699978351593,723728.365906462,5359640.33997623,0,TRUE
"8","Bloomfield+C2","Bloomfield","BL",-53.9855639137,48.3505724253,0.548900008201599,0.551100015640259,723323.759524638,5359657.75333616,0,TRUE
"9","Bloomfield+I2","Bloomfield","BL",-53.982677305,48.3506113811,0.554899990558624,0.58789998292923,723537.4197233,5359670.50081401,0,TRUE
"10","Bloomfield+L2","Bloomfield","BL",-53.9811385961,48.3506153106,0.399749994277954,0.436599999666214,723651.385023166,5359675.4281053,0,TRUE
"11","Bloomfield+A3","Bloomfield","BL",-53.9868799683,48.3509161494,0.545650005340576,0.544099986553192,723224.767912868,5359692.11776296,0,TRUE
"12","Bloomfield+F3","Bloomfield","BL",-53.9839352267,48.350884663,0.552500009536743,0.576600015163422,723443.04126064,5359697.20250882,0,TRUE
"13","Bloomfield+N3","Bloomfield","BL",-53.9799853176,48.350978146,0.451649993658066,0.504400014877319,723735.226436193,5359719.11896601,0,TRUE
"14","Bloomfield+C4","Bloomfield","BL",-53.9856577538,48.3512538399,0.469949990510941,0.481400012969971,723313.828342689,5359733.20868765,0,TRUE
"15","Bloomfield+I4","Bloomfield","BL",-53.982554915,48.3512894113,0.553799986839294,0.59170001745224,723543.5179109,5359746.21064394,0,TRUE
