model,term,estimate,std.error,statistic,p.value
ABBA.C1 = Year*Site,(Intercept),51.525000000000084,0.3894042275950219,132.3175157039789,2.018095135965016e-120
ABBA.C1 = Year*Site,Year2017,0.46487804878048655,0.2608660999125651,1.7820561925689098,0.07757660493407921
ABBA.C1 = Year*Site,SiteDP,0.7109999999999327,0.3990205948222712,1.7818629144107738,0.077608320034691
ABBA.C1 = Year*Site,SiteTN,0.5966666666665985,0.4206046376511891,1.4185926955028467,0.15892397334464806
ABBA.C1 = Year*Site,SiteUNI,0.9901219512194447,0.39878880822425067,2.4828228144824718,0.014587903663470592
ABBA.C1 = Year*Site,Year2017:SiteDP,-3.029449477351915,0.3449019814976426,-8.783508474487036,2.851872276637674e-14
ABBA.C1 = Year*Site,Year2017:SiteTN,-0.9294018583042961,0.369659577127888,-2.5142101430872947,0.013418506416525873
ABBA.C2 = Year,(Intercept),52.32705263157896,0.08086818433129289,647.0660008540639,6.3078606433583925e-202
ABBA.C2 = Year,Year2017,-1.053368421052633,0.19808578803700125,-5.317738498512927,5.431079800308456e-7
ABBA.C3 = Site,(Intercept),51.52500000000008,0.5782002133836568,89.11273086267676,2.1767758683728662e-104
ABBA.C3 = Site,SiteDP,0.3290425531914275,0.5903741844650154,0.5573457679041283,0.5784235866475029
ABBA.C3 = Site,SiteTN,0.4255263157894094,0.6078705377183966,0.7000278667668207,0.48538777507663833
ABBA.C3 = Site,SiteUNI,1.0406521739129808,0.5906360492747272,1.7619178090989398,0.08086124616601996
ABBA.C4 = Null,(Intercept),52.15149122807019,0.08225137386486042,634.0500927529241,1.6848936660565762e-202
