model,term,estimate,std.error,statistic,p.value
ABBA.C1 = Year*Site,(Intercept),-0.7133775008487688,0.4434095838139411,-1.60884547129705,0.11059677027687756
ABBA.C1 = Year*Site,Year2017,0.5293506529373585,0.2970448716178118,1.7820561925689105,0.07757660493407914
ABBA.C1 = Year*Site,SiteDP,0.8096065521393991,0.45435961744960857,1.7818629144109397,0.07760832003466377
ABBA.C1 = Year*Site,SiteTN,0.6794166565070425,0.4789370893145163,1.4185926955030037,0.15892397334460243
ABBA.C1 = Year*Site,SiteUNI,1.1274391267571924,0.4540956850326529,2.482822814482637,0.014587903663464193
ABBA.C1 = Year*Site,Year2017:SiteDP,-3.449595142390145,0.39273544875717825,-8.783508474487038,2.851872276637674e-14
ABBA.C1 = Year*Site,Year2017:SiteTN,-1.0582979381908477,0.42092660436542645,-2.5142101430872943,0.013418506416525889
ABBA.C2 = Year,(Intercept),0.19990951136918284,0.09208356103267445,2.17095765115174,0.03204483703409254
ABBA.C2 = Year,Year2017,-1.1994570682151129,0.2255577382284848,-5.317738498512919,5.431079800308663e-7
ABBA.C3 = Site,(Intercept),-0.7133775008487747,0.6583891437465654,-1.0835195379882752,0.2809471630621693
ABBA.C3 = Site,SiteDP,0.37467652179537386,0.6722514879842919,0.5573457679042411,0.5784235866474262
ABBA.C3 = Site,SiteTN,0.4845413408873405,0.6921743603225238,0.7000278667669297,0.4853877750765705
ABBA.C3 = Site,SiteUNI,1.184977241206911,0.6725496700739085,1.7619178090990517,0.08086124616600093
ABBA.C4 = Null,(Intercept),-2.7243261272947164e-15,0.0936585811581694,-2.90878432451791e-14,0.9999999999999769
