model,term,estimate,std.error,statistic,p.value
ABBA.CPRatio1 = Year*Site,(Intercept),1063.0008819999982,460.9774131322812,2.3059717281526795,0.02303981750431507
ABBA.CPRatio1 = Year*Site,Year2017,-578.954817092683,308.8137503136311,-1.874770202119228,0.06355134361067753
ABBA.CPRatio1 = Year*Site,SiteDP,820.7038531525013,472.3612856585899,1.737449444037808,0.08518521275897985
ABBA.CPRatio1 = Year*Site,SiteTN,580.685861725002,497.91251372219125,1.1662407465601354,0.24610999245918389
ABBA.CPRatio1 = Year*Site,SiteUNI,1339.7802412926844,472.0868962740315,2.8379949790323864,0.005432573561750637
ABBA.CPRatio1 = Year*Site,Year2017:SiteDP,41.024780440182546,408.29557551781886,0.10047814108235945,0.9201527633030029
ABBA.CPRatio1 = Year*Site,Year2017:SiteTN,67.5732582962543,437.60366099878786,0.15441657444552656,0.87757217296372
ABBA.CPRatio2 = Year,(Intercept),2060.1311384189476,73.20721139922033,28.141095652236363,1.31052191735809e-52
ABBA.CPRatio2 = Year,Year2017,-667.2000481557898,179.32031342014992,-3.720716495696341,3.123015584072012e-4
ABBA.CPRatio3 = Site,(Intercept),1063.0008819999903,476.0102476642828,2.233147053484647,0.027563398802307206
ABBA.CPRatio3 = Site,SiteDP,740.586613651074,486.032615099229,1.5237385118689513,0.13044389958981803
ABBA.CPRatio3 = Site,SiteTN,392.2821295368499,500.4366973748568,0.7838796227268027,0.4347954193061164
ABBA.CPRatio3 = Site,SiteUNI,1276.8503698695743,486.2481984387716,2.6259230861301694,0.009872282941460173
ABBA.CPRatio4 = Null,(Intercept),1948.9311303929826,70.52446699880167,27.63482254216963,4.287084304384792e-52
