model,term,estimate,std.error,statistic,p.value
ABBA.P1 = Year*Site,(Intercept),0.12500000000000022,0.021419133831047345,5.835903589098963,5.7860049101193626e-8
ABBA.P1 = Year*Site,Year2017,0.018863414634146338,0.014348909205530233,1.314623597093789,0.19144728246507006
ABBA.P1 = Year*Site,SiteDP,-0.042400000000000174,0.021948080981624155,-1.931831764038925,0.05602500495287902
ABBA.P1 = Year*Site,SiteTN,-0.03408333333333353,0.023135308723918856,-1.4732171392247668,0.14362821734401146
ABBA.P1 = Year*Site,SiteUNI,-0.06246341463414652,0.021935331587006876,-2.847616612786741,0.005282397097065499
ABBA.P1 = Year*Site,Year2017:SiteDP,0.005250871080139389,0.018971293008083055,0.27677982085365305,0.7824831374983046
ABBA.P1 = Year*Site,Year2017:SiteTN,0.017934204413472696,0.02033308164970683,0.8820209706742252,0.3797426095292571
ABBA.P2 = Year,(Intercept),0.0758842105263158,0.0033735604589457484,22.493804824244926,2.4039722668307932e-43
ABBA.P2 = Year,Year2017,0.03190526315789473,0.00826350174084652,3.86098583366745,1.8938943906272353e-4
ABBA.P3 = Site,(Intercept),0.12500000000000058,0.0222807668396437,5.610219832182379,1.5249611378142654e-7
ABBA.P3 = Site,SiteDP,-0.03880851063829845,0.022749887059418394,-1.705877068177876,0.09085305486670404
ABBA.P3 = Site,SiteTN,-0.020526315789474146,0.0234241036341604,-0.8762903422071493,0.3827818384303717
ABBA.P3 = Site,SiteUNI,-0.060413043478261395,0.022759977939071575,-2.6543542194982357,0.009124254350186259
ABBA.P4 = Null,(Intercept),0.08120175438596491,0.003263636668087094,24.880758075793853,1.1547010333346801e-47
