model,term,estimate,std.error,statistic,p.value
ABBA.Qty_C1 = Year*Site,(Intercept),0.02993227249999773,1.1963456170696392,0.02501975355024465,0.9800858091453646
ABBA.Qty_C1 = Year*Site,Year2017,-0.8325570961658542,0.8014448564154146,-1.0388201876915073,0.3012301510310234
ABBA.Qty_C1 = Year*Site,SiteDP,0.8426822867000018,1.2258894637184135,0.6874047878215273,0.4933149881311465
ABBA.Qty_C1 = Year*Site,SiteTN,0.8760992578333353,1.2922009549841786,0.6779899476579957,0.4992415988684752
ABBA.Qty_C1 = Year*Site,SiteUNI,0.8386677818658558,1.2251773582480905,0.6845276532575547,0.4951220710339779
ABBA.Qty_C1 = Year*Site,Year2017:SiteDP,1.529070633822997,1.059623765339453,1.4430316531577183,0.15193273054812187
ABBA.Qty_C1 = Year*Site,Year2017:SiteTN,0.4300361746896646,1.1356851918020074,0.3786579043152973,0.7056921984875302
ABBA.Qty_C2 = Year,(Intercept),0.8573623948000002,0.17215976434785762,4.980039314340925,2.3261324478134575e-6
ABBA.Qty_C2 = Year,Year2017,-0.0842736721157896,0.4217035768900463,-0.1998410180375654,0.8419673112736326
ABBA.Qty_C3 = Site,(Intercept),0.029932272499991638,1.192746003026976,0.02509526120735587,0.9800244490824618
ABBA.Qty_C3 = Site,SiteDP,0.9464183455000089,1.217859199134743,0.7771163909361726,0.43875812268596337
ABBA.Qty_C3 = Site,SiteTN,0.7278020762368488,1.2539517237092215,0.5804067752177823,0.5628274559308399
ABBA.Qty_C3 = Site,SiteUNI,0.748172445326095,1.218399389535728,0.6140617368588691,0.5404424406582783
ABBA.Qty_C4 = Null,(Intercept),0.843316782780702,0.1564905949386507,5.388929495164288,3.9186690086671583e-7
