model,term,estimate,std.error,statistic,p.value
ABBA.Qty_C1 = Year*Site,(Intercept),33.40875638493384,43.24076801198367,0.7726217160545112,0.44144959906225456
ABBA.Qty_C1 = Year*Site,Year2017,26.593392678420958,22.713719047999284,1.1708075028234275,0.24427703517255298
ABBA.Qty_C1 = Year*Site,SiteDP,-32.26277504706166,43.24203993404573,-0.7460974342623514,0.4572446093047863
ABBA.Qty_C1 = Year*Site,SiteTN,-32.30504203668977,43.24470063639113,-0.7470289205680046,0.456684517333237
ABBA.Qty_C1 = Year*Site,SiteUNI,-32.25747853850302,43.24202041160951,-0.7459752858782384,0.45731808472151503
ABBA.Qty_C1 = Year*Site,Year2017:SiteDP,-27.102077416988763,22.72041869440979,-1.192851143348738,0.23556610346566437
ABBA.Qty_C1 = Year*Site,Year2017:SiteTN,-25.711051554527554,22.7627119672095,-1.129524970116269,0.26120228310814664
ABBA.Qty_C2 = Year,(Intercept),1.1663679280373205,0.24033338665384557,4.853124837446122,3.962502541003694e-6
ABBA.Qty_C2 = Year,Year2017,0.12714465634008065,0.6425663373153254,0.19787008586739455,0.8435053963918908
ABBA.Qty_C3 = Site,(Intercept),33.408756384934904,45.44658548080555,0.7351213744989742,0.4638299970642715
ABBA.Qty_C3 = Site,SiteDP,-32.384534162342135,45.44749427496308,-0.7125702897152396,0.4776204818603117
ABBA.Qty_C3 = Site,SiteTN,-32.08903265634825,45.45031775012415,-0.7060243854128082,0.48166561785874784
ABBA.Qty_C3 = Site,SiteUNI,-32.123582324052876,45.4480474550609,-0.7068198552603766,0.4811730393504149
ABBA.Qty_C4 = Null,(Intercept),1.1857940223867798,0.22004259351520802,5.388929495165329,3.918669008649103e-7
