model,term,estimate,std.error,statistic,p.value
ABBA.Qty_N1 = Year*Site,(Intercept),1775.5650291812897,2310.8974898719966,0.7683443497442374,0.44397510482286817
ABBA.Qty_N1 = Year*Site,Year2017,1294.5267730194873,1129.0939936054172,1.14651816443183,0.2541382623095036
ABBA.Qty_N1 = Year*Site,SiteDP,-1708.0962050882465,2310.9809044953854,-0.7391217304156904,0.46145143287277657
ABBA.Qty_N1 = Year*Site,SiteTN,-1717.2533774566434,2311.1051798753733,-0.7430442337329046,0.45908320361340815
ABBA.Qty_N1 = Year*Site,SiteUNI,-1698.664610036119,2311.0032132760866,-0.7350334262963165,0.463927113839782
ABBA.Qty_N1 = Year*Site,Year2017:SiteDP,-1331.066178738962,1129.4696808899207,-1.1784877462936423,0.24121637737676654
ABBA.Qty_N1 = Year*Site,Year2017:SiteTN,-1260.3605683026406,1131.3497215195744,-1.1140326853219047,0.2677613502253309
ABBA.Qty_N2 = Year,(Intercept),71.27099094606021,15.085206117047564,4.724561957792406,6.741298674802718e-6
ABBA.Qty_N2 = Year,Year2017,-9.110701324999525,33.05986175503918,-0.27558195471312935,0.7833769715115098
ABBA.Qty_N3 = Site,(Intercept),1775.5650291818968,2420.66109639715,0.7335041786000537,0.4648114076769715
ABBA.Qty_N3 = Site,SiteDP,-1718.191153357287,2420.714871510977,-0.7097866723497327,0.4793383525799376
ABBA.Qty_N3 = Site,SiteTN,-1708.065770048486,2420.845210884875,-0.7055658752441046,0.48194966724624544
ABBA.Qty_N3 = Site,SiteUNI,-1689.8724932445073,2420.783664648141,-0.6980683643575928,0.48660748995209946
ABBA.Qty_N4 = Null,(Intercept),69.57149990454626,13.566574757083806,5.128155127602817,1.223339584352416e-6
