model,term,estimate,std.error,statistic,p.value
ABBA.Qty_P1 = Year*Site,(Intercept),7.261149999999825e-5,0.0020146670298159556,0.03604143956563952,0.9713164695178553
ABBA.Qty_P1 = Year*Site,Year2017,-8.707653951219517e-4,0.0013496472134788876,-0.6451800043934762,0.5201915620523243
ABBA.Qty_P1 = Year*Site,SiteDP,0.0012099740250000007,0.002064419386432614,0.5861086332321634,0.5590368614899063
ABBA.Qty_P1 = Year*Site,SiteTN,0.0019613903333333352,0.002176089102311457,0.9013373263300353,0.3694333370073093
ABBA.Qty_P1 = Year*Site,SiteUNI,8.615936951219532e-4,0.0020632201883143265,0.4175965803368203,0.6770788659407461
ABBA.Qty_P1 = Year*Site,Year2017:SiteDP,0.0026428782986933803,0.0017844250303418545,1.4810811627020644,0.1415237336552244
ABBA.Qty_P1 = Year*Site,Year2017:SiteTN,-9.698715249709451e-5,0.0019125138083241114,-0.05071187045811813,0.95964966472420965
ABBA.Qty_P2 = Year,(Intercept),0.0012016745157894739,2.926400961303796e-4,4.106322174163356,7.669811710571777e-5
ABBA.Qty_P2 = Year,Year2017,3.3326406315789466e-4,7.168189137984479e-4,0.4649208562200417,0.6428907555840564
ABBA.Qty_P3 = Site,(Intercept),7.261149999999066e-5,0.0020167810522903193,0.03600366034653627,0.9713446955453331
ABBA.Qty_P3 = Site,SiteDP,0.0014739057340425632,0.0020592442573180957,0.7157508045996148,0.475661856976052
ABBA.Qty_P3 = Site,SiteTN,0.0016048499210526397,0.0021202721035706936,0.7569075300995353,0.4507234543416281
ABBA.Qty_P3 = Site,SiteUNI,7.669452826087041e-4,0.0020601576502471608,0.3722750453183485,0.7104043301208487
ABBA.Qty_P4 = Null,(Intercept),0.0012572185263157898,2.6621447814214455e-4,4.722577581390976,6.739335911679792e-6
