model,term,estimate,std.error,statistic,p.value
ABBA.Qty_P1 = Year*Site,(Intercept),13771.923180214768,17694.987548050914,0.7782951608650175,0.43811270681880365
ABBA.Qty_P1 = Year*Site,Year2017,14692.546649361308,12812.855961297872,1.1467034901306292,0.2540619733312021
ABBA.Qty_P1 = Year*Site,SiteDP,-12992.248078236871,17696.40533369624,-0.7341744175297542,0.46444824025698195
ABBA.Qty_P1 = Year*Site,SiteTN,-13280.281540075375,17696.866474110797,-0.7504312449609902,0.45464206451733935
ABBA.Qty_P1 = Year*Site,SiteUNI,-12701.494536463224,17697.594665959463,-0.7176960923901136,0.4745086926345944
ABBA.Qty_P1 = Year*Site,Year2017:SiteDP,-15144.857193631406,12816.786008583627,-1.1816423542913665,0.2399671983892697
ABBA.Qty_P1 = Year*Site,Year2017:SiteTN,-14246.32130717482,12831.627320965115,-1.1102505512997785,0.2693799019872534
ABBA.Qty_P2 = Year,(Intercept),832.1720955592126,190.57556652998758,4.36662532722036,2.8274302334004505e-5
ABBA.Qty_P2 = Year,Year2017,-180.68023116203534,384.1966478616146,-0.47028060283106715,0.6390690435951061
ABBA.Qty_P3 = Site,(Intercept),13771.923180210924,19201.392209899408,0.7172356582097581,0.47474898544340915
ABBA.Qty_P3 = Site,SiteDP,-13125.308982851657,19202.292792638815,-0.6835282184574977,0.4957104117227453
ABBA.Qty_P3 = Site,SiteTN,-13175.784285231848,19203.285528897024,-0.6861213548798711,0.4940802443825263
ABBA.Qty_P3 = Site,SiteUNI,-12580.81851556543,19204.51433462218,-0.655096936915741,0.5137729609104063
ABBA.Qty_P4 = Null,(Intercept),795.406668746316,168.4263847360408,4.722577581849089,6.739335899004773e-6
