model,term,estimate,std.error,statistic,p.value
ACRU.Qty_C1 = Year*Site,(Intercept),-1.5821141253968025,1.2190280612131172,-1.2978488155739087,0.19700582670507202
ACRU.Qty_C1 = Year*Site,Year2017,-0.026972783646196843,1.7239660170809645,-0.01564577455643088,0.9875448242882086
ACRU.Qty_C1 = Year*Site,SiteDP,0.9475879560124467,1.2491320525573992,0.75859710274218894,0.44968704761298584
ACRU.Qty_C1 = Year*Site,SiteTN,1.420918493218814,1.2815824448195874,1.108721876585038,0.2699253097344725
ACRU.Qty_C1 = Year*Site,SiteUNI,0.9923108821479345,1.2590067679034436,0.7881696170707458,0.4322625105623482
ACRU.Qty_C1 = Year*Site,Year2017:SiteDP,-0.020224202700770244,1.828542091819671,-0.011060288298118507,0.991195023909905
ACRU.Qty_C1 = Year*Site,Year2017:SiteTN,-0.6407519078251888,1.8597612039095144,-0.3445345060850964,0.7310904449249509
ACRU.Qty_C1 = Year*Site,Year2017:SiteUNI,0.6812478315102635,1.8554338600871552,0.3671636301162809,0.7141897950825904
ACRU.Qty_C2 = Year,(Intercept),-0.5140722364459448,0.18704894971518213,-2.7483299811558326,0.006931562799374254
ACRU.Qty_C2 = Year,Year2017,0.032639967634690646,0.38049319857740743,0.08578331427927056,0.9317840558813079
ACRU.Qty_C3 = Site,(Intercept),-1.5955095785943416,0.8481308383506934,-1.8812068922019491,0.06245075811359615
ACRU.Qty_C3 = Site,SiteDP,0.9517205357334645,0.8814034220936325,1.0797785802474025,0.28248076040511855
ACRU.Qty_C3 = Site,SiteTN,1.2640282861997345,0.9066900046473272,1.3941129600203326,0.16594816389657613
ACRU.Qty_C3 = Site,SiteUNI,1.1834115315372935,0.8916526435484079,1.327211375528262,0.1870451188743436
ACRU.Qty_C4 = Null,(Intercept),-0.5060860629055842,0.16214257249003222,-3.1212411098059767,0.0022606385580481963
