model,term,estimate,std.error,statistic,p.value
ACRU.Qty_N1 = Year*Site,(Intercept),0.008009865999999822,0.026962966913001492,0.29706916252370874,0.7669639581651237
ACRU.Qty_N1 = Year*Site,Year2017,-0.00167403749999983,0.038131393490183615,-0.04390181807624699,0.9650608416940414
ACRU.Qty_N1 = Year*Site,SiteDP,0.010030907525000162,0.027628819446172386,0.36305957786371557,0.7172446814386093
ACRU.Qty_N1 = Year*Site,SiteTN,0.019372279684210708,0.028346570645442222,0.6834082304529324,0.4957602947929499
ACRU.Qty_N1 = Year*Site,SiteUNI,0.010241772300000153,0.02784723248490567,0.3677842064036923,0.7137282661651951
ACRU.Qty_N1 = Year*Site,Year2017:SiteDP,4.4280617499983175e-4,0.04044445036950213,0.01094850272297773,0.9912840115934749
ACRU.Qty_N1 = Year*Site,Year2017:SiteTN,-0.012836444628655144,0.041134967604596825,-0.31205675793994486,0.7555775901606285
ACRU.Qty_N1 = Year*Site,Year2017:SiteUNI,0.020749947574999848,0.041039253623913446,0.5056122064293322,0.6141225438810916
ACRU.Qty_N2 = Year,(Intercept),0.019840226263736254,0.003952369475130178,5.019830860596043,1.8510783956307946e-6
ACRU.Qty_N2 = Year,Year2017,6.850302190223598e-4,0.008039872481732135,0.08520411493824773,0.9322435155994595
ACRU.Qty_N3 = Site,(Intercept),0.007172847249999929,0.018939981404450655,0.378714587772214,0.7055920759433332
ACRU.Qty_N3 = Site,SiteDP,0.010621680010000065,0.019683006052150967,0.5396370849989818,0.5904817150306589
ACRU.Qty_N3 = Site,SiteTN,0.015545214892857193,0.02024769180780681,0.767752445089247,0.4441942799593206
ACRU.Qty_N3 = Site,SiteUNI,0.015094772118421104,0.01991188590769429,0.7580784757604617,0.44994138221992974
ACRU.Qty_N4 = Null,(Intercept),0.020005775233333325,0.003427429195249192,5.836962368489949,4.697026787992242e-8
