model,term,estimate,std.error,statistic,p.value
ACRU.Qty_N1 = Year*Site,(Intercept),124.84603362902678,161.66086621510942,0.7722712153657767,0.44158037159705066
ACRU.Qty_N1 = Year*Site,Year2017,32.986521339908435,260.58238233511236,0.12658768810198126,0.8994937192555787
ACRU.Qty_N1 = Year*Site,SiteDP,-69.41603786890889,162.45559493502813,-0.4272923803989076,0.6699867369013501
ACRU.Qty_N1 = Year*Site,SiteTN,-88.32588610177757,162.3872935633392,-0.543921166266165,0.587576857866126
ACRU.Qty_N1 = Year*Site,SiteUNI,-70.0564315654234,162.69534845592605,-0.4305988599569679,0.6675875790275978
ACRU.Qty_N1 = Year*Site,Year2017:SiteDP,-28.92649719930605,263.3392590391894,-0.10984498591226494,0.9127288920766587
ACRU.Qty_N1 = Year*Site,Year2017:SiteTN,8.18336674353766,265.3064611772309,0.03084495834449723,0.9754480845742182
ACRU.Qty_N1 = Year*Site,Year2017:SiteUNI,-60.986257914522426,261.800616389875,-0.23294925258579732,0.816225999135197
ACRU.Qty_N2 = Year,(Intercept),50.4026509933394,9.960089261192408,5.060461776153326,1.554503877541478e-6
ACRU.Qty_N2 = Year,Year2017,-1.682187946263467,19.750055649815398,-0.08517383323318334,0.9322675377068276
ACRU.Qty_N3 = Site,(Intercept),139.4146515527703,125.83835673227655,1.107886777712598,0.27020262295492975
ACRU.Qty_N3 = Site,SiteDP,-83.21759807735246,126.65358418830243,-0.6570488992528515,0.5124509883327485
ACRU.Qty_N3 = Site,SiteTN,-95.39681263183864,126.73122541090785,-0.7527490744489224,0.4531256194746379
ACRU.Qty_N3 = Site,SiteUNI,-94.50639335800307,126.5237030694253,-0.7469461536874724,0.4566073866821667
ACRU.Qty_N4 = Null,(Intercept),49.98556608462763,8.563626579891526,5.836962368490008,4.697026787990961e-8
