model,term,estimate,std.error,statistic,p.value
ACRU.Qty_P1 = Year*Site,(Intercept),1797.252001689424,2339.531315604951,0.7682102777173959,0.4439789976548515
ACRU.Qty_P1 = Year*Site,Year2017,-46.288096059373366,3266.2684760409225,-0.014171552766991048,0.9887183287831904
ACRU.Qty_P1 = Year*Site,SiteDP,-1106.3072523780866,2348.159857786836,-0.47113796307751904,0.6384586082656576
ACRU.Qty_P1 = Year*Site,SiteTN,-1327.5848839445691,2347.925127524112,-0.5654289689145701,0.5729129958274354
ACRU.Qty_P1 = Year*Site,SiteUNI,-1062.5324967350248,2352.5270063256826,-0.4516558126125624,0.6523903633459223
ACRU.Qty_P1 = Year*Site,Year2017:SiteDP,-12.884929054691286,3293.056963210543,-0.00391275620149893,0.9968850409804919
ACRU.Qty_P1 = Year*Site,Year2017:SiteTN,465.0125434117077,3317.3855212028966,0.14017440554906999,0.8887739716295532
ACRU.Qty_P1 = Year*Site,Year2017:SiteUNI,-234.9229426856011,3288.8619397385733,-0.0714298584100112,0.9431830416407709
ACRU.Qty_P2 = Year,(Intercept),648.6533400671553,123.71663860529915,5.243056612106915,7.022549332367905e-7
ACRU.Qty_P2 = Year,Year2017,-0.4875887967842985,251.51978855469585,-0.001938570319202804,0.9984565191631051
ACRU.Qty_P3 = Site,(Intercept),1773.806028989311,1582.4304710526828,1.1209377356145822,0.26462961234774107
ACRU.Qty_P3 = Site,SiteDP,-1095.5663414982828,1591.6577661563556,-0.6883177808656263,0.4926269162327377
ACRU.Qty_P3 = Site,SiteTN,-1220.280637633021,1593.399214268126,-0.7658348433374341,0.44533010251676575
ACRU.Qty_P3 = Site,SiteUNI,-1123.9240244894127,1593.5707858573855,-0.7052865391760493,0.48204577894631917
ACRU.Qty_P4 = Null,(Intercept),648.5354389001948,107.25754986926337,6.046524833829386,1.7528397360700534e-8
