model,term,estimate,std.error,statistic,p.value
BEPA.C1 = Year*Site,(Intercept),-0.4729927388062947,0.23338819754821863,-2.026635210242682,0.04562657425271743
BEPA.C1 = Year*Site,Year2017,-0.16444715835821305,0.3742537171466353,-0.43940020051632905,0.6614132562822443
BEPA.C1 = Year*Site,SiteDP,0.7617150838556603,0.2905659626830884,2.6214876540320735,0.010261113164350836
BEPA.C1 = Year*Site,SiteTN,0.7798873444664283,0.30726984011071523,2.538118756417551,0.012844981006371887
BEPA.C1 = Year*Site,SiteUNI,1.0119107679446955,0.2800658370578625,3.61311746757471,4.953629537890968e-4
BEPA.C1 = Year*Site,Year2017:SiteDP,-2.111654443512612,0.5055889306111092,-4.17662317282192,6.773616283907593e-5
BEPA.C1 = Year*Site,Year2017:SiteTN,-0.2456805722261122,0.49657331297908935,-0.49475186403434,0.621967690266811
BEPA.C1 = Year*Site,Year2017:SiteUNI,-0.24348374783227758,0.5327914965450959,-0.4569963098344399,0.6487627621298986
BEPA.C2 = Year,(Intercept),0.26264643080957784,0.10823690081158724,2.4265886110946404,0.017088306871925456
BEPA.C2 = Year,Year2017,-0.9286427375052898,0.20352320357643677,-4.562834709687151,1.4781505746610321e-5
BEPA.C3 = Site,(Intercept),-0.5369444115011558,0.22050220596088108,-2.435097686035913,0.016754042097546447
BEPA.C3 = Site,SiteDP,0.2355663412506781,0.28466712382949705,0.8275150923004789,0.41001905499043045
BEPA.C3 = Site,SiteTN,0.6900411181921657,0.2916970002568176,2.3656092369295387,0.020032301489963333
BEPA.C3 = Site,SiteUNI,1.0078739562744756,0.2789156799711766,3.613543549715922,4.8528718380088114e-4
BEPA.C4 = Null,(Intercept),1.071183478194952e-15,0.10050378152592121,1.0658141036401503e-14,0.9999999999999916
