model,term,estimate,std.error,statistic,p.value
BEPA.CPRatio1 = Year*Site,(Intercept),1130.1599613272729,229.72349278064462,4.91965339568655,3.834565113519017e-6
BEPA.CPRatio1 = Year*Site,Year2017,271.6246612870122,368.37711586209,0.7373548724690618,0.46280357309945563
BEPA.CPRatio1 = Year*Site,SiteDP,-79.08301886727288,286.00344204183165,-0.27651072414613104,0.7827828778286989
BEPA.CPRatio1 = Year*Site,SiteTN,-338.56305829393995,302.4450320877954,-1.1194201338233918,0.26590696003295605
BEPA.CPRatio1 = Year*Site,SiteUNI,20.56737000472637,275.66819133677365,0.07460915205701035,0.9406894587865062
BEPA.CPRatio1 = Year*Site,Year2017:SiteDP,-542.8263386898701,497.6500794442228,-1.0907791661484316,0.27824985836924176
BEPA.CPRatio1 = Year*Site,Year2017:SiteTN,-276.553856087012,488.77602671250975,-0.5658089615137294,0.5729162262951331
BEPA.CPRatio1 = Year*Site,Year2017:SiteUNI,-372.1123885390109,524.4255056422855,-0.7095619578671513,0.4797899851263361
BEPA.CPRatio2 = Year,(Intercept),1043.5976796140842,90.201254258828385,11.569658184791182,5.740557174761002e-20
BEPA.CPRatio2 = Year,Year2017,-57.7824436069415,169.60988438985453,-0.34067851537547444,0.7340823614486929
BEPA.CPRatio3 = Site,(Intercept),1235.7917740499993,176.987218670315,6.982378633521468,3.9209270895086353e-10
BEPA.CPRatio3 = Site,SiteDP,-255.0263775833331,228.48951680056703,-1.116140386457766,0.26717725080200605
BEPA.CPRatio3 = Site,SiteTN,-446.04331906666596,234.13208291933054,-1.905092687448344,0.05979258472990919
BEPA.CPRatio3 = Site,SiteUNI,-101.81239726,223.87309109458937,-0.45477728816002677,0.6503070021332527
BEPA.CPRatio4 = Null,(Intercept),1027.2551703111108,76.04254566158917,13.508952933831104,4.151871135083765e-24
