model,term,estimate,std.error,statistic,p.value
BEPA.P1 = Year*Site,(Intercept),0.2003636363636362,0.01917902944889035,10.44701646126461,2.983768528734489e-17
BEPA.P1 = Year*Site,Year2017,-0.02622077922077908,0.030754867375112405,-0.852573314687664,0.39613432925396386
BEPA.P1 = Year*Site,SiteDP,-0.05966363636363622,0.023877699102555418,-2.4987179923567657,0.014258790950441597
BEPA.P1 = Year*Site,SiteTN,-0.025363636363636227,0.02525036558895271,-1.004485906324187,0.31780800859944724
BEPA.P1 = Year*Site,SiteUNI,-0.0651636363636362,0.02301483533866843,-2.8313753022665065,0.005704910268632513
BEPA.P1 = Year*Site,Year2017:SiteDP,0.048949350649350604,0.04154753792646296,1.1781528603689702,0.24180742810919556
BEPA.P1 = Year*Site,Year2017:SiteTN,0.03310966810966794,0.04080666586060487,0.8113789110526749,0.4192652883041361
BEPA.P1 = Year*Site,Year2017:SiteUNI,0.026220779220779023,0.043782950079322674,0.5988810524022291,0.5507401565366041
BEPA.P2 = Year,(Intercept),0.15525352112676055,0.007792721252464854,19.922889077760036,4.675897106195708e-36
BEPA.P2 = Year,Year2017,0.011746478873239425,0.014653039600982753,0.8016411060850207,0.42472004362679017
BEPA.P3 = Site,(Intercept),0.19016666666666662,0.014790736231707211,12.8571467767103,1.638141048684876e-22
BEPA.P3 = Site,SiteDP,-0.0435740740740741,0.019094758367849577,-2.281991383951791,0.02472170389198633
BEPA.P3 = Site,SiteTN,-0.012583333333333294,0.019566304888324938,-0.6431124019150735,0.5217004682113966
BEPA.P3 = Site,SiteUNI,-0.05496666666666663,0.018708965905188314,-2.9379852924646914,0.004145848899195219
BEPA.P4 = Null,(Intercept),0.15857575757575756,0.006587299532644229,24.07295383941698,6.218907296511502e-43
