model,term,estimate,std.error,statistic,p.value
BEPA.Qty_C1 = Year*Site,(Intercept),-2.6413448376172886,0.5480075316187748,-4.819906087449102,5.721351973879523e-6
BEPA.Qty_C1 = Year*Site,Year2017,0.41740331395906577,0.8787670408667766,0.4749874478079626,0.6359339496999521
BEPA.Qty_C1 = Year*Site,SiteDP,0.5468197405175655,0.6822638747595386,0.8014783733204255,0.4249426204938679
BEPA.Qty_C1 = Year*Site,SiteTN,0.307087143542228,0.7214854409472854,0.42563179534022644,0.6713811137922244
BEPA.Qty_C1 = Year*Site,SiteUNI,0.5290403579296125,0.6576090379425301,0.8044907040584902,0.4232104246738476
BEPA.Qty_C1 = Year*Site,Year2017:SiteDP,-1.6245994590392951,1.187148899509913,-1.3684883671374108,0.17452839099763315
BEPA.Qty_C1 = Year*Site,Year2017:SiteTN,-0.6949746426307444,1.165979764067573,-0.5960434855286801,0.5526258945482512
BEPA.Qty_C1 = Year*Site,Year2017:SiteUNI,-1.1965280022285736,1.25102192808541,-0.9564404710793238,0.34138378344410814
BEPA.Qty_C2 = Year,(Intercept),-2.2183862080655623,0.22010685690505732,-10.078678325875414,9.06748845281132e-17
BEPA.Qty_C2 = Year,Year2017,-0.4444020032140458,0.41387782087771974,-1.073751674519772,0.28559788250278834
BEPA.Qty_C3 = Site,(Intercept),-2.457815566885402,0.452052645774838,-5.437011794660771,4.1888693222441095e-7
BEPA.Qty_C3 = Site,SiteDP,0.16272536835068033,0.5835974562316499,0.27883152438911424,0.7809801852440647
BEPA.Qty_C3 = Site,SiteTN,0.028266570875075784,0.598009440114497,0.04726776699321631,0.9623990435634511
BEPA.Qty_C3 = Site,SiteUNI,0.2509819653942559,0.5718063931815123,0.4389282253348032,0.661710217395711
BEPA.Qty_C4 = Null,(Intercept),-2.325388780524666,0.1941953512049924,-11.974482221616048,6.798138177560672e-21
