model,term,estimate,std.error,statistic,p.value
BEPA.Qty_P1 = Year*Site,(Intercept),4095.216005891164,2217.3925980685376,1.8468610427663132,0.06801719760080553
BEPA.Qty_P1 = Year*Site,Year2017,1875.7174898515611,4619.743532469532,0.4060219959545843,0.6856796109968473
BEPA.Qty_P1 = Year*Site,SiteDP,-694.4228389028534,2604.174220237592,-0.2666575966793411,0.7903361241635198
BEPA.Qty_P1 = Year*Site,SiteTN,-1218.630168090332,2587.639451467021,-0.470942799778172,0.6388085599690461
BEPA.Qty_P1 = Year*Site,SiteUNI,-658.0235486863103,2537.8837777675894,-0.25928041088829157,0.7960045334331949
BEPA.Qty_P1 = Year*Site,Year2017:SiteDP,1880.814507599678,6841.620932768524,0.27490773401247026,0.7840103079501716
BEPA.Qty_P1 = Year*Site,Year2017:SiteTN,-1235.494152062798,5249.0827797120755,-0.2353733411936338,0.8144478511560622
BEPA.Qty_P1 = Year*Site,Year2017:SiteUNI,1836.545121478267,7472.257065557724,0.2457818441423212,0.8064046052029544
BEPA.Qty_P2 = Year,(Intercept),3372.131046711841,719.1572684853223,4.689003635900351,8.979571590157077e-6
BEPA.Qty_P2 = Year,Year2017,1804.5634009320838,1899.4203504980069,0.9500600540891053,0.34444290609351236
BEPA.Qty_P3 = Site,(Intercept),4665.1377109776195,2058.2025691491067,2.266607660929245,0.02568263577750568
BEPA.Qty_P3 = Site,SiteDP,-728.7038284941339,2499.3920389445157,-0.29155243240746775,0.7712645147779388
BEPA.Qty_P3 = Site,SiteTN,-1577.7861145016739,2372.275260421949,-0.6650940305388667,0.5076017936541835
BEPA.Qty_P3 = Site,SiteUNI,-902.3121199506941,2426.887527304404,-0.37179807873210813,0.7108711975288201
BEPA.Qty_P4 = Null,(Intercept),3740.9604791331367,692.0894989556971,5.405313163655743,4.554477390665647e-7
