model,term,estimate,std.error,statistic,p.value
VAAN.C1 = Year*Site,(Intercept),-0.11732210843639314,0.09465034126149795,-1.2395318059367384,0.21673584895788026
VAAN.C1 = Year*Site,Year2017,-2.4384114070984624,0.19512667726095725,-12.496555782771802,2.6158942138466235e-26
VAAN.C1 = Year*Site,SiteDP,0.4774389251224917,0.1299974675781483,3.6726786607245105,3.1495151844101977e-4
VAAN.C1 = Year*Site,SiteTN,0.47148062552173653,0.13221333168391913,3.5660596364737236,4.625150308613073e-4
VAAN.C1 = Year*Site,SiteUNI,0.5887957827597949,0.13661600001553964,4.309859626199136,2.6640874909755876e-5
VAAN.C1 = Year*Site,Year2017:SiteDP,-0.09069306360448148,0.3228723289640705,-0.2808945068023277,0.7791086387094841
VAAN.C1 = Year*Site,Year2017:SiteTN,2.1494132038726543,0.30044916004196337,7.153999710208703,1.9626240881201434e-11
VAAN.C1 = Year*Site,Year2017:SiteUNI,2.046601016441522,0.34301227955481495,5.966553206485034,1.2280567837039767e-8
VAAN.C2 = Year,(Intercept),0.26726955738319064,0.06288397176082239,4.250201599856696,3.3518951493137786e-5
VAAN.C2 = Year,Year2017,-1.6467253374254727,0.15609025880864455,-10.549827708622354,9.369212079355828e-21
VAAN.C3 = Site,(Intercept),-0.6910659689301509,0.1268693469681018,-5.447068069987801,1.59819323447386e-7
VAAN.C3 = Site,SiteDP,0.7476902491318982,0.18031522127714988,4.146573116989807,5.1140969241895275e-5
VAAN.C3 = Site,SiteTN,0.9980411058969966,0.18124192424014549,5.506679042838854,1.1957417528059098e-7
VAAN.C3 = Site,SiteUNI,1.11475788829539,0.1900459809837019,5.8657272441398804,1.994576541366755e-8
VAAN.C4 = Null,(Intercept),-1.0041614835371326e-15,0.07235746052924216,-1.3877787807814457e-14,0.9999999999999889
