model,term,estimate,std.error,statistic,p.value
VAAN.N1 = Year*Site,(Intercept),1.316153846153846,0.03377981160411835,38.96273494886466,1.5746023652827589e-90
VAAN.N1 = Year*Site,Year2017,-0.023653846153846105,0.06963886562862272,-0.3396644379589662,0.7344987559791536
VAAN.N1 = Year*Site,SiteDP,-0.008881118881118878,0.04639486667744991,-0.1914246018393134,0.8484051699895516
VAAN.N1 = Year*Site,SiteTN,-0.10883677298311424,0.04718568761941005,-2.306563249877146,0.02219938131375921
VAAN.N1 = Year*Site,SiteUNI,-0.05754273504273496,0.0487569583070315,-1.1801953411526989,0.2394543442364396
VAAN.N1 = Year*Site,Year2017:SiteDP,-0.15028554778554779,0.1152300805176898,-1.304221494165114,0.19379607615483815
VAAN.N1 = Year*Site,Year2017:SiteTN,0.11258677298311447,0.10722746360515872,1.049980753043737,0.2951115787468448
VAAN.N1 = Year*Site,Year2017:SiteUNI,0.123042735042735,0.12241783840217559,1.005104620770271,0.3161736286494463
VAAN.N2 = Year,(Intercept),1.272875,0.016878176674696325,75.41543287127024,5.178030004356081e-143
VAAN.N2 = Year,Year2017,3.5080645161284483e-4,0.041894919986792574,0.008373484224899749,0.9933278361152513
VAAN.N3 = Site,(Intercept),1.3105882352941176,0.029686854525423086,44.14708989030018,7.677891721542691e-101
VAAN.N3 = Site,SiteDP,-0.024188235294117788,0.042192947868803184,-0.5732767326267383,0.5671460849184202
VAAN.N3 = Site,SiteTN,-0.08875150060024027,0.042409792179175856,-2.0927124619068334,0.03772422780043533
VAAN.N3 = Site,SiteUNI,-0.03985652797704462,0.04446990171726028,-0.8962585127903476,0.37126701864073697
VAAN.N4 = Null,(Intercept),1.2729319371727748,0.015407175107177346,82.61942428237779,7.432813456894324e-151
