model,term,estimate,std.error,statistic,p.value
VAAN.Qty_C1 = Year*Site,(Intercept),1.775648029564103,0.7341579151934631,2.4186186552196873,0.01655923386758016
VAAN.Qty_C1 = Year*Site,Year2017,-0.5518998390641036,1.513505315112954,-0.3646500831897738,0.715793658692784
VAAN.Qty_C1 = Year*Site,SiteDP,1.371420478685892,1.0083288502249268,1.3600924721929464,0.1754737979078272
VAAN.Qty_C1 = Year*Site,SiteTN,-1.4996424823445893,1.0255162597002951,-1.4623293079554454,0.14536619768904047
VAAN.Qty_C1 = Year*Site,SiteUNI,0.5570627448803417,1.0596656749116022,0.5256966966744602,0.5997353861747394
VAAN.Qty_C1 = Year*Site,Year2017:SiteDP,4.38653605198077,2.5043678949982113,1.7515541788974671,0.08152575591503436
VAAN.Qty_C1 = Year*Site,Year2017:SiteTN,0.63869914259459,2.3304419827566085,0.27406781517001866,0.784341618031916
VAAN.Qty_C1 = Year*Site,Year2017:SiteUNI,-1.0717714545803414,2.660583962903874,-0.40283316351744247,0.6875411647281735
VAAN.Qty_C2 = Year,(Intercept),1.8938443926999997,0.373410694845258,5.071746521574085,9.37024059267699e-7
VAAN.Qty_C2 = Year,Year2017,0.13915053707419403,0.9268780321637539,0.15012820699758472,0.8808235591991167
VAAN.Qty_C3 = Site,(Intercept),1.6457892439019595,0.6426535525315087,2.5609276373233274,0.011228424716775848
VAAN.Qty_C3 = Site,SiteDP,1.9614356098980428,0.9133823125802067,2.147442076426024,0.033045414409612284
VAAN.Qty_C3 = Site,SiteTN,-1.3556123818203287,0.9180765036164413,-1.4765788869232224,0.1414705573746936
VAAN.Qty_C3 = Site,SiteUNI,0.48891283619560133,0.9626732362248157,0.5078699789275374,0.612143045115727
VAAN.Qty_C4 = Null,(Intercept),1.9164290348429316,0.34088669849108855,5.6218944397826975,6.662327621897585e-8
