model,term,estimate,std.error,statistic,p.value
VAAN.Qty_C1 = Year*Site,(Intercept),0.5631746738938369,0.17982475542025808,3.131797246589736,0.00202317868202815
VAAN.Qty_C1 = Year*Site,Year2017,0.25398690212566816,0.5035886757056575,0.5043538792244823,0.6146194361528203
VAAN.Qty_C1 = Year*Site,SiteDP,-0.24541864240659958,0.20362098903799644,-1.2052718315831554,0.22965459671586802
VAAN.Qty_C1 = Year*Site,SiteTN,3.0599408799868093,1.1424460232609854,2.678411774109509,0.008070750224490213
VAAN.Qty_C1 = Year*Site,SiteUNI,-0.13448886730944112,0.22942203803611405,-0.5862072731141496,0.5584585748322132
VAAN.Qty_C1 = Year*Site,Year2017:SiteDP,-0.4285114393091937,0.5256632617643484,-0.8151823999853594,0.41602756933509943
VAAN.Qty_C1 = Year*Site,Year2017:SiteTN,-1.1207997276035062,2.3027217414422103,-0.48672825180412016,0.6270333517692275
VAAN.Qty_C1 = Year*Site,Year2017:SiteUNI,0.7276859907402292,1.3622604091892914,0.5341753939493036,0.5938685118388722
VAAN.Qty_C2 = Year,(Intercept),0.5280264861540862,0.10208639943203637,5.1723490013536795,5.865436352905282e-7
VAAN.Qty_C2 = Year,Year2017,-0.036141344019616405,0.23895420598992295,-0.15124799276870873,0.8799414060461231
VAAN.Qty_C3 = Site,(Intercept),0.6076112137111339,0.17270280534897262,3.5182475031795915,5.453637965847891e-4
VAAN.Qty_C3 = Site,SiteDP,-0.33038979266610574,0.19015552778853745,-1.7374714083174898,0.08395039654132853
VAAN.Qty_C3 = Site,SiteTN,2.8385629322778136,1.0141070622086068,2.79907619033414,0.0056624018781318616
VAAN.Qty_C3 = Site,SiteUNI,-0.13916177111822914,0.22776710811143724,-0.6109827370251498,0.5419529501593957
VAAN.Qty_C4 = Null,(Intercept),0.5218038231656997,0.09281636773819665,5.621894455485809,6.662327102684949e-8
