model,term,estimate,std.error,statistic,p.value
VAAN.Qty_P1 = Year*Site,(Intercept),-5.494233696468538,0.31724197488283185,-17.31874761685538,2.0429593977054677e-40
VAAN.Qty_P1 = Year*Site,Year2017,-0.28978550051415924,0.6540110856607319,-0.44308958497453577,0.658224282329017
VAAN.Qty_P1 = Year*Site,SiteDP,0.1693356315856876,0.43571584417556275,0.3886377643808089,0.6979959087786046
VAAN.Qty_P1 = Year*Site,SiteTN,-2.3624785696422768,0.44314281269588296,-5.3311900858100625,2.850943347264228e-7
VAAN.Qty_P1 = Year*Site,SiteUNI,-0.22750759333572831,0.45789934899212925,-0.49685065907276255,0.6198907161768192
VAAN.Qty_P1 = Year*Site,Year2017:SiteDP,1.3205464090577896,1.082179460849416,1.2202656369224347,0.22393431988603843
VAAN.Qty_P1 = Year*Site,Year2017:SiteTN,0.7211800557907501,1.0070231508227316,0.7161504233557594,0.47481133865172653
VAAN.Qty_P1 = Year*Site,Year2017:SiteUNI,-0.8569375856661033,1.149683049471441,-0.7453685483665038,0.45700521199010813
VAAN.Qty_P2 = Year,(Intercept),-5.751911990914027,0.19034654199371603,-30.218106043155313,2.7416211390130427e-74
VAAN.Qty_P2 = Year,Year2017,0.26822928714001,0.47247716979671106,0.5677084614594581,0.5709067053713951
VAAN.Qty_P3 = Site,(Intercept),-5.55525237417876,0.2870975001739569,-19.349706531100917,1.6280906594112913e-46
VAAN.Qty_P3 = Site,SiteDP,0.42623663513772686,0.4080422143656137,1.0445895550302318,0.29756114870486616
VAAN.Qty_P3 = Site,SiteTN,-2.2170582996990795,0.41013928596279575,-5.405622859303929,1.9529269940938158e-7
VAAN.Qty_P3 = Site,SiteUNI,-0.25336601365339706,0.43006232287336027,-0.5891378997364652,0.5564798019610404
VAAN.Qty_P4 = Null,(Intercept),-5.703186377488311,0.18080051700525213,-31.5440822402219,1.891656939733721e-77
