Date_Time,Year,Month,Day,MaxTemp,MinTemp,MeanTemp,HeatDegDays,CoolDegDays,TotalPrecip,SnowGround
2017-01-01,2017,1,1,0,-8,-4,22,0,12,15
2017-01-02,2017,1,2,1,-6,-2.5,20.5,0,0,27
2017-01-03,2017,1,3,-3,-4,-3.5,21.5,0,0,27
2017-01-04,2017,1,4,2.5,-6,-1.8,19.8,0,3,27
2017-01-05,2017,1,5,6,-3,1.5,16.5,0,2,23
2017-01-06,2017,1,6,3,-2,0.5,17.5,0,21,14
2017-01-07,2017,1,7,-4,-7,-5.5,23.5,0,5,35
2017-01-08,2017,1,8,5,-11,-3,21,0,11,40
2017-01-09,2017,1,9,-3,-6,-4.5,22.5,0,0,36
2017-01-10,2017,1,10,-4.5,-19,-11.8,29.8,0,0,36
2017-01-11,2017,1,11,1,-19,-9,27,0,0,36
2017-01-12,2017,1,12,6,-4,1,17,0,2,36
2017-01-13,2017,1,13,7,3,5,13,0,0,23
2017-01-14,2017,1,14,-10,-13,-11.5,29.5,0,0,18
2017-01-15,2017,1,15,-5,-15,-10,28,0,1,18
2017-01-16,2017,1,16,-3,-14,-8.5,26.5,0,4,19
2017-01-17,2017,1,17,-1,-19,-10,28,0,2,23
2017-01-18,2017,1,18,-1,-9,-5,23,0,2,25
2017-01-19,2017,1,19,-5,-16,-10.5,28.5,0,0,27
2017-01-20,2017,1,20,-1,-12,-6.5,24.5,0,0,27
2017-01-21,2017,1,21,-2,-4,-3,21,0,2,27
2017-01-22,2017,1,22,-1,-6,-3.5,21.5,0,1,29
2017-01-23,2017,1,23,-6,-10,-8,26,0,0,30
2017-01-24,2017,1,24,0,-20,-10,28,0,0,30
2017-01-25,2017,1,25,1,-19,-9,27,0,12,30
2017-01-26,2017,1,26,6,-3,1.5,16.5,0,4,30
2017-01-27,2017,1,27,,,,,,,
2017-01-28,2017,1,28,3,-2,0.5,17.5,0,0,18
2017-01-29,2017,1,29,0,-3,-1.5,19.5,0,0,18
2017-01-30,2017,1,30,4,-2,1,17,0,0,18
2017-01-31,2017,1,31,-2,-11.5,-6.8,24.8,0,0,16
2017-02-01,2017,2,1,,,,,,,
2017-02-02,2017,2,2,-3,-15,-9,27,0,0,16
2017-02-03,2017,2,3,0,-17,-8.5,26.5,0,0,16
2017-02-04,2017,2,4,-7,-14,-10.5,28.5,0,0,16
2017-02-05,2017,2,5,-6,-19,-12.5,30.5,0,1,16
2017-02-06,2017,2,6,-2,-16,-9,27,0,14,17
2017-02-07,2017,2,7,-10,-14,-12,30,0,0,31
2017-02-08,2017,2,8,3,-26,-11.5,29.5,0,2,31
2017-02-09,2017,2,9,5.5,-7,-0.8,18.8,0,3,30
2017-02-10,2017,2,10,7,-5,1,17,0,0,32
2017-02-11,2017,2,11,-4,-14,-9,27,0,0,28
2017-02-12,2017,2,12,-6,-23.5,-14.8,32.8,0,0,28
2017-02-13,2017,2,13,-2,-12,-7,25,0,0,28
2017-02-14,2017,2,14,-1,-5,-3,21,0,31,28
2017-02-15,2017,2,15,0,-1,-0.5,18.5,0,3,59
2017-02-16,2017,2,16,2,-3,-0.5,18.5,0,7,62
2017-02-17,2017,2,17,4,0,2,16,0,0,69
2017-02-18,2017,2,18,2,-2,0,18,0,0,69
2017-02-19,2017,2,19,2,-3,-0.5,18.5,0,6,69
2017-02-20,2017,2,20,-1,-2,-1.5,19.5,0,0,75
2017-02-21,2017,2,21,-2,-4,-3,21,0,0,75
2017-02-22,2017,2,22,-1,-8,-4.5,22.5,0,0,75
2017-02-23,2017,2,23,4,-9,-2.5,20.5,0,3,75
2017-02-24,2017,2,24,7,-5,1,17,0,5,70
2017-02-25,2017,2,25,4,-1.5,1.3,16.7,0,0,67
2017-02-26,2017,2,26,10,-1,4.5,13.5,0,3,58
2017-02-27,2017,2,27,1,-2,-0.5,18.5,0,0,40
2017-02-28,2017,2,28,-1,-3,-2,20,0,0,37
2017-02-29,2017,2,29,,,,,,,
2017-03-01,2017,3,1,5,-12,-3.5,21.5,0,5,37
2017-03-02,2017,3,2,6,-1,2.5,15.5,0,1,32
2017-03-03,2017,3,3,-1,-3,-2,20,0,0,26
2017-03-04,2017,3,4,-3,-8,-5.5,23.5,0,3,26
2017-03-05,2017,3,5,-1,-10,-5.5,23.5,0,11,29
2017-03-06,2017,3,6,2.5,-3,-0.3,18.3,0,1,40
2017-03-07,2017,3,7,1.5,-5,-1.8,19.8,0,0,41
2017-03-08,2017,3,8,5,-9,-2,20,0,3,38
2017-03-09,2017,3,9,7,-1,3,15,0,4,30
2017-03-10,2017,3,10,2,-1,0.5,17.5,0,6,31
2017-03-11,2017,3,11,5,-7,-1,19,0,9,34
2017-03-12,2017,3,12,-4,-12,-8,26,0,0,35
2017-03-13,2017,3,13,2,-11,-4.5,22.5,0,0,35
2017-03-14,2017,3,14,3,-5,-1,19,0,1,33
2017-03-15,2017,3,15,7.5,-5,1.3,16.7,0,6,30
2017-03-16,2017,3,16,7,2,4.5,13.5,0,0,27
2017-03-17,2017,3,17,5.5,-1,2.3,15.7,0,1,23
2017-03-18,2017,3,18,-1,-4,-2.5,20.5,0,0,19
2017-03-19,2017,3,19,5.5,-10,-2.3,20.3,0,0,19
2017-03-20,2017,3,20,0,-4,-2,20,0,25,17
2017-03-21,2017,3,21,,,,,,,
2017-03-22,2017,3,22,,,,,,,
2017-03-23,2017,3,23,3,-1,1,17,0,5,30
2017-03-24,2017,3,24,5,-10,-2.5,20.5,0,0,27
2017-03-25,2017,3,25,3,-19,-8,26,0,0,27
2017-03-26,2017,3,26,-7,-12,-9.5,27.5,0,0,21
2017-03-27,2017,3,27,-4.5,-15,-9.8,27.8,0,0,21
2017-03-28,2017,3,28,2.5,-6,-1.8,19.8,0,0,21
2017-03-29,2017,3,29,3,-2,0.5,17.5,0,0,18
2017-03-30,2017,3,30,1.5,-1,0.3,17.7,0,9,16
2017-03-31,2017,3,31,1,0,0.5,17.5,0,30,15
2017-04-01,2017,4,1,0,-1,-0.5,18.5,0,0,41
2017-04-02,2017,4,2,0,-3,-1.5,19.5,0,10,41
2017-04-03,2017,4,3,0,-2,-1,19,0,23,51
