TimeStamp,SiteName,TrapLocation,PlotName,Quadrant,SiteCode,Species,SampleNumber,SampleLabel,Height,BasalDiameter,Browsed,BrowsedBy,FoliageDisease,Berries,AmountSample_AmtAvail,StoiComment,BaggedWetWeight,BagCount,BagSize,BagWeight,SampleWeight,SampleWeightAfterAFL,StoiLabel,UUID_VegFieldForm,UniqueID,WeighingComments
2016-07-21 11:07,Bloomfield,A1,Bloomfield+A1,SW,BL,BEPA,,BL_A1_BEPA_1,44,0.2,B,"H
M
O",,,70,,11.4,1,S,2,9.4,5,BL_A1_BEPA,FB2F5AC7-7D9F-4974-91FC-E1C9346F05C4,7406289C-77BE-4778-BB8B-BEBE07C605E0,
2016-07-21 11:10,Bloomfield,A1,Bloomfield+A1,SE,BL,BEPA,,BL_A1_BEPA_2,52,0.5,NB,I,,,60,Very close to BEPA_1,11.9,1,S,2,9.9,5,BL_A1_BEPA,FB2F5AC7-7D9F-4974-91FC-E1C9346F05C4,D746BA9A-53D8-48E5-B7D1-C85D22A0DD79,
2016-07-21 11:21,Bloomfield,A1,Bloomfield+A1,NW,BL,BEPA,,BL_A1_BEPA_3,42,0.3,B,"M
O",,,50,,12.6,1,S,2,10.6,6.1,BL_A1_BEPA,FB2F5AC7-7D9F-4974-91FC-E1C9346F05C4,4F1309A2-5E1C-41FC-8F15-D6B400B756F7,
2016-07-21 11:58,Bloomfield,A3,Bloomfield+A3,NE,BL,VAAN,,BL_A3_VAAN_1,36,0.2,NB,I,Y,,100,Blight,6.5,1,S,2,4.5,2.1,BL_A3_VAAN,DF7404C7-2679-475F-9A97-D6495A8DBFF1,CA1B7D27-3B04-4C46-A861-DA9FD205F97C,
2016-07-21 12:00,Bloomfield,A3,Bloomfield+A3,SE,BL,VAAN,,BL_A3_VAAN_2,44,0.3,NB,I,Y,,100,Blight,12,1,S,2,10,0,BL_A3_VAAN,DF7404C7-2679-475F-9A97-D6495A8DBFF1,026A8978-DFE2-4A8C-8ED2-9EF2B712942D,
2016-07-21 12:05,Bloomfield,A3,Bloomfield+A3,SW,BL,VAAN,,BL_A3_VAAN_3,20,0.3,NB,I,Y,,100,Blight,5.3,1,S,2,3.3,1.2,BL_A3_VAAN,DF7404C7-2679-475F-9A97-D6495A8DBFF1,D83EF557-678E-4A74-ABDE-A19BE358BB38,
2016-07-21 12:10,Bloomfield,A3,Bloomfield+A3,NW,BL,VAAN,,BL_A3_VAAN_4,45,0.5,NB,I,,,100,,14.9,1,S,2,12.9,10.7,BL_A3_VAAN,DF7404C7-2679-475F-9A97-D6495A8DBFF1,500DC0AE-681E-4A46-AD27-653753A0DF31,
2016-07-19 12:21,Bloomfield,A7,Bloomfield+A7,SE,BL,BEPA,,BL_A7_BEPA_1,80,1,B,"O
I",,,100,"Possible old hare brows, ",14.4,1,S,2,12.4,0,BL_A7_BEPA,14826463-E56D-4A93-AEE9-7B721DD7074F,4CF6250A-EACF-448B-AA7E-EB726FC918F8,
2016-07-19 12:19,Bloomfield,A7,Bloomfield+A7,NE,BL,VAAN,,BL_A7_VAAN_1,31,0.9,B,H,,,100,Very heavily browsed shrib,5.4,1,S,2,3.4,0,BL_A7_VAAN,14826463-E56D-4A93-AEE9-7B721DD7074F,14169FA3-4755-4718-AEB0-77217985247C,
2016-07-19 12:28,Bloomfield,A7,Bloomfield+A7,SE,BL,VAAN,,BL_A7_VAAN_2,32,0.3,NB,I,,,100,,4.3,1,S,2,2.3,0,BL_A7_VAAN,14826463-E56D-4A93-AEE9-7B721DD7074F,659597A9-575C-4B74-8D65-26F7B65DA26C,
