Date_Time,Year,Month,Day,MaxTemp,MinTemp,MeanTemp,HeatDegDays,CoolDegDays,TotalPrecip,SnowGround
2016-01-01,2016,1,1,0,-13,-6.5,24.5,0,0,10
2016-01-02,2016,1,2,1,-7,-3,21,0,0,
2016-01-03,2016,1,3,1.5,-13,-5.8,23.8,0,10.6,
2016-01-04,2016,1,4,-1.5,-9.5,-5.5,23.5,0,10.4,20
2016-01-05,2016,1,5,-8,-12.5,-10.3,28.3,0,0,26
2016-01-06,2016,1,6,-9,-16,-12.5,30.5,0,0,
2016-01-07,2016,1,7,-5,-19,-12,30,0,0,
2016-01-08,2016,1,8,-3,-15,-9,27,0,0,
2016-01-09,2016,1,9,-4,-17,-10.5,28.5,0,0,
2016-01-10,2016,1,10,-4.5,-10,-7.3,25.3,0,0,
2016-01-11,2016,1,11,3,-12,-4.5,22.5,0,0,
2016-01-12,2016,1,12,4,-12,-4,22,0,8.4,
2016-01-13,2016,1,13,-1,-17,-9,27,0,10.4,30
2016-01-14,2016,1,14,-3.5,-16,-9.8,27.8,0,0,32
2016-01-15,2016,1,15,-4.5,-13,-8.8,26.8,0,0,31
2016-01-16,2016,1,16,-7,-18,-12.5,30.5,0,0,31
2016-01-17,2016,1,17,1.5,-13.5,-6,24,0,0,31
2016-01-18,2016,1,18,0.5,-9,-4.3,22.3,0,12.6,31
2016-01-19,2016,1,19,-0.5,-8,-4.3,22.3,0,3.2,44
2016-01-20,2016,1,20,-2.5,-14.5,-8.5,26.5,0,0,44
2016-01-21,2016,1,21,-5,-10.5,-7.8,25.8,0,0,44
2016-01-22,2016,1,22,-8,-18.5,-13.3,31.3,0,0,44
2016-01-23,2016,1,23,-9,-20.5,-14.8,32.8,0,0,44
2016-01-24,2016,1,24,-4.5,-16,-10.3,28.3,0,0,44
2016-01-25,2016,1,25,-11,-18.5,-14.8,32.8,0,0,44
2016-01-26,2016,1,26,6,-22,-8,26,0,10.5,44
2016-01-27,2016,1,27,6,-8,-1,19,0,0,33
2016-01-28,2016,1,28,-0.5,-15,-7.8,25.8,0,29,33
2016-01-29,2016,1,29,-0.5,-3,-1.8,19.8,0,6.6,52
2016-01-30,2016,1,30,-2,-8,-5,23,0,0,54
2016-01-31,2016,1,31,-1,-10.5,-5.8,23.8,0,3.6,54
2016-02-01,2016,2,1,,,,,,,
2016-02-02,2016,2,2,,,,,,,
2016-02-03,2016,2,3,,,,,,,
2016-02-04,2016,2,4,,,,,,,
2016-02-05,2016,2,5,,,,,,,
2016-02-06,2016,2,6,,,,,,,
2016-02-07,2016,2,7,,,,,,,
2016-02-08,2016,2,8,,,,,,,
2016-02-09,2016,2,9,,,,,,,
2016-02-10,2016,2,10,,,,,,,
2016-02-11,2016,2,11,,,,,,,
2016-02-12,2016,2,12,,,,,,,
2016-02-13,2016,2,13,,,,,,,
2016-02-14,2016,2,14,,,,,,,
2016-02-15,2016,2,15,,,,,,,
2016-02-16,2016,2,16,,,,,,,
2016-02-17,2016,2,17,,,,,,,
2016-02-18,2016,2,18,,,,,,,
2016-02-19,2016,2,19,,,,,,,
2016-02-20,2016,2,20,,,,,,,
2016-02-21,2016,2,21,,,,,,,
2016-02-22,2016,2,22,,,,,,,
2016-02-23,2016,2,23,,,,,,,
2016-02-24,2016,2,24,,,,,,,
2016-02-25,2016,2,25,,,,,,,
2016-02-26,2016,2,26,,,,,,,
2016-02-27,2016,2,27,,,,,,,
2016-02-28,2016,2,28,,,,,,,
2016-02-29,2016,2,29,,,,,,,
2016-03-01,2016,3,1,-3,-11,-7,25,0,0,33
2016-03-02,2016,3,2,4,-10,-3,21,0,0,33
2016-03-03,2016,3,3,-3.5,-9,-6.3,24.3,0,0.8,31
2016-03-04,2016,3,4,3,-8,-2.5,20.5,0,0,31
2016-03-05,2016,3,5,-5,-11,-8,26,0,25.6,
2016-03-06,2016,3,6,3.5,-10,-3.3,21.3,0,0,38
2016-03-07,2016,3,7,-4,-12,-8,26,0,0,38
2016-03-08,2016,3,8,-4.5,-18,-11.3,29.3,0,0,38
2016-03-09,2016,3,9,-6,-11,-8.5,26.5,0,12.6,38
