(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-5783.610007998424,22911.67052953116,-3.6522158632675192,16394.250979231903,NA,-55906.80023129525,12.631722199309571,7,-896.6193929823341,1808.295389738253,0,0.566432241621829
-4992.660347299387,20458.079025828705,-5.18286630921552,17658.985755097012,4.439938865574878,-57578.29401065531,11.821314702344935,8,-896.4944609066621,1810.3603503847528,2.064960646499685,0.201719302870682
-7866.289566557211,19160.86901626295,1.493381340832958,21759.578377712278,NA,-47245.891760188184,NA,6,-899.1448256619725,1811.074698052917,2.779308314663922,0.141133084538371
-5883.249531358832,14414.459287116813,-2.497664132874031,23733.92501529996,9.522917218218268,-52022.74639988038,NA,7,-898.5456975031026,1812.14799877979,3.85260904153688,0.0825210113346186
-7870.1608994365515,21629.893766997717,NA,23340.967973047642,NA,-50789.81927437859,NA,5,-904.3356963036251,1819.226948162806,10.931558424552804,0.00239546712177092
-125.97559102999772,NA,1.5620767427939164,2353.913148932798,NA,NA,NA,4,-905.4511931857295,1819.269358848523,10.97396911026999,0.00234520521405108
1600.1032396087783,NA,-0.9119111151269645,-1941.5485480696852,NA,NA,6.118487285923768,5,-904.8821700541803,1820.3198956639162,12.024505925663107,0.00138694640785821
34.04638359770074,-615.8904510606167,1.6277548597699028,2495.1060002444337,NA,NA,NA,5,-905.3173198081142,1821.1901951717841,12.894805433531019,0.000897586977691191
1708.3491797136094,-556.421862241086,-0.8005104003856002,-1723.592245802242,NA,NA,5.989725672160427,6,-904.7720816398124,1822.3292100085969,14.033820270343767,0.000507858369412338
-230.98657744076382,26.820793532007503,2.00670115764366,2492.5728505021893,-0.9072812055611355,NA,NA,6,-905.3119221280363,1823.4088909850445,15.11350124679143,0.000296000789074634
658.0805783760645,2708.6343331214375,0.6951873705233786,-2471.8082079674255,-4.594472173525196,NA,7.033832805094323,7,-904.6488533101274,1824.3543103938396,16.058920655586462,0.000184500544688178
673.847723215729,NA,1.7728498928945133,NA,NA,NA,NA,3,-909.7467489761469,1825.7116797704757,17.416290032222605,9.35941355740785e-05
487.8916956157009,550.6256032032442,1.702828656829975,NA,NA,NA,NA,4,-909.6356217410631,1827.6382159591903,19.34282622093724,3.57196026897922e-05
831.5419661998181,NA,NA,2764.5462203640855,NA,NA,NA,3,-910.9458004089863,1828.1097826361545,19.81439289790137,2.82167647097984e-05
-1.2136549423411214,1732.4774848956283,2.4008013946158697,NA,-1.6714372060972238,NA,NA,5,-909.6186229701455,1829.7928014958466,21.497411757593454,1.21631010515467e-05
680.1160347107402,465.65429009310986,NA,2644.7413377800485,NA,NA,NA,4,-910.8710451925166,1830.1090628620973,21.813673123844183,1.03841040650763e-05
1194.1854592911263,1758.5777683473004,NA,NA,NA,NA,NA,3,-915.281015680644,1836.78021317947,28.484823441216804,3.69612922223638e-07
1948.9311303929826,NA,NA,NA,NA,NA,NA,2,-916.3995041651618,1836.9071164384318,28.61172670017868,3.46888940458277e-07
