(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-2.01143069732391,NA,0.0031217229605981283,NA,NA,NA,NA,3,-128.19779448409787,262.65365348432476,0,0.336818990517071
-2.494856422890058,1.3419574350019643,0.0029887875662392193,NA,NA,NA,NA,4,-127.67650269158469,263.787787991865,1.1341345075402387,0.191039155977579
-1.8845655817873634,NA,0.0031274226741708163,-0.31204419967273933,NA,NA,NA,4,-128.15100590046657,264.73679440962877,2.083140925304008,0.118863431933997
-2.302132910391572,1.904651247286578,0.002950812187995722,-0.972615546222242,NA,NA,NA,5,-127.30800452624399,265.27534971182865,2.6216962275038895,0.090803474670592
-2.7197930892098134,1.868112839694697,0.0033402032505461827,NA,-8.169879006253375e-4,NA,NA,5,-127.67437001131321,266.0080806819671,3.3544271976423374,0.0629494527536521
-3.469200434094184,NA,0.00567484542615354,3.482064885293702,NA,NA,-0.006091928068402369,5,-127.87619591115097,266.4117324816426,3.7580789973178526,0.0514446343013065
-4.064840157249463,1.9730766351265558,0.005754039529787156,3.1882052461371337,NA,NA,-0.0067188343233323755,6,-126.96873860672059,266.8708105467745,4.217157062449758,0.0408933367733407
-3.7749710938769,5.602967928998599,0.00294731365467613,2.6669262196165846,NA,-8.963660737381076,NA,6,-127.16382053053553,267.2609743944044,4.607320910079636,0.0336456982837919
-2.641590285340727,2.7032342693980285,0.0034823231177477116,-0.9769811888011771,-0.0012360781761143781,NA,NA,6,-127.30309273301106,267.53951879935545,4.885865315030685,0.0292714608349829
-5.53546413960194,5.667680707308732,0.0057493561758835176,6.822358152118271,NA,-8.954732736965779,-0.006715986168407828,7,-126.8238305561315,268.9060880785551,6.252434594230351,0.0147807900607277
-3.181710794528972,-0.9483499668061234,0.004380211810184235,4.065147972708719,0.004543812491188731,NA,-0.008108994798505818,7,-126.91645005640089,269.0913270790939,6.437673594769137,0.013473285438849
-3.7419959435209953,5.526421936732152,0.0028855010195443748,2.683477616152707,1.437151748820634e-4,-9.00317431733158,NA,7,-127.16375674439718,269.5859404550865,6.932286970761709,0.0105213042792665
-4.542235454676411,2.1433102220344713,0.003736607590676787,8.847877072952967,0.006653826355502171,-10.781454851888661,-0.00875111557270775,8,-126.71735145264805,271.0710665416597,8.417413057334954,0.00500701103498453
-0.9936192451412558,2.3430689348084326,NA,NA,NA,NA,NA,3,-135.75522257121727,277.7685096585636,15.11485617423881,0.000175892472704115
-9.018085523969603e-17,NA,NA,NA,NA,NA,NA,2,-137.13444254962926,278.3965446737266,15.74289118940186,0.000128490548641921
-0.7680092623122866,3.0576118245783457,NA,-1.2636521890824672,NA,NA,NA,4,-135.22572702858506,278.88623666586574,16.232583181540974,0.00010058562493206
0.08047045587485234,NA,NA,-0.19236092016920917,NA,NA,NA,3,-137.119648796462,280.49736210905303,17.843708624728265,4.49453196732102e-05
-2.346980736941837,7.016076656996639,NA,2.6337132361431754,NA,-9.597732877954298,NA,5,-135.08531520077418,280.829971060889,18.17631757656426,3.80591739073898e-05
