"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"22","ABBA.N22",9,-96.3611020215242,0,1,0.630235088157519,58.0459356261467,0.630235088157519
"11","ABBA.N11",15,-95.0858738516276,1.27522816989654,0.528552000998524,0.333112016945138,64.9919165176506,0.963347105102657
"15","ABBA.N15",15,-88.0026275536064,8.35847446791774,0.015310181200337,0.00964901339850199,61.45029336864,0.972996118501159
"9","ABBA.N9",15,-86.3917903416816,9.96931167984255,0.00684213241112353,0.00431215192330986,60.6448747626776,0.977308270424469
"13","ABBA.N13",15,-86.2422463058765,10.1188557156476,0.0063491911139349,0.0040014830214197,60.570102744775,0.981309753445889
"10","ABBA.N10",9,-86.0786118907728,10.2824901307513,0.00585040104506794,0.00368712801839524,52.904690560771,0.984996881464284
"7","ABBA.N7",9,-85.9978687580918,10.3632332634324,0.00561891535116612,0.00354123761169182,52.8643189944305,0.988538119075976
"3","ABBA.N3",26,-85.984651285749,10.3764507357752,0.00558190385635056,0.00351791166899389,77.0612911601159,0.99205603074497
"24","ABBA.N24",5,-85.2700844411637,11.0910175803604,0.00390495589526669,0.00246104022290463,47.9128199983597,0.994517070967875
"19","ABBA.N19",5,-84.7356041136815,11.6254979078427,0.0029892015902154,0.00188389972773,47.6455798346185,0.996400970695605
"16","ABBA.N16",8,-83.5633259436234,12.7977760779007,0.00166340588774666,0.00104833675630575,50.467377257526,0.99744930745191
"12","ABBA.N12",9,-82.9528513938499,13.4082506276742,0.00122584446434239,0.000772570194052236,51.3418103123096,0.998221877645963
"28","ABBA.N28",3,-82.2467817313491,14.114320290175,0.000861220365370085,0.000542771292892066,44.2324817747655,0.998764648938855
"2","ABBA.N2",17,-82.1461602657946,14.2149417557296,0.000818963634133203,0.000516139618155742,61.2605801328973,0.99928078855701
"25","ABBA.N25",5,-81.1861947629266,15.1749072585976,0.000506769836272406,0.000319384132438711,45.8708751592411,0.999600172689449
"6","ABBA.N6",27,-80.3087238769949,16.0523781445292,0.000326791216620909,0.000205955291216181,75.9450596129161,0.999806127980665
"17","ABBA.N17",5,-79.023879350686,17.3372226708382,0.000171897646731992,0.000108335928542207,44.7897174531208,0.999914463909207
"30","ABBA.N30",3,-75.9927975215424,20.3683044999818,3.77640770425327e-05,2.38002464240879e-05,41.1054896698621,0.999938264155632
"8","ABBA.N8",9,-75.7325559095507,20.6285461119735,3.31564577631269e-05,2.08963630813354e-05,47.73166257016,0.999959160518713
"18","ABBA.N18",5,-75.0988051019707,21.2622969195534,2.41518769647847e-05,1.52213603080706e-05,42.8271803287631,0.999974381879021
"14","ABBA.N14",15,-74.4106331448878,21.9504688766364,1.7120492188799e-05,1.07899349039079e-05,54.6542961642806,0.999985171813925
"26","ABBA.N26",5,-74.2739228089568,22.0871792125673,1.59893192375994e-05,1.00770300192872e-05,42.4147391822562,0.999995248843944
"21","ABBA.N21",9,-72.4375377361819,23.9235642853423,6.38357583014188e-06,4.02315347606968e-06,46.0841534834756,0.99999927199742
"20","ABBA.N20",9,-68.2061222860849,28.1549797354393,7.69526945243608e-07,4.84982882175192e-07,43.9684457584271,0.999999756980302
"5","ABBA.N5",26,-65.0745970563279,31.2865049651962,1.60776202975683e-07,1.01326804456011e-07,66.6062640454054,0.999999858307107
"23","ABBA.N23",5,-64.8328624610688,31.5282395604554,1.42472080859296e-07,8.97909044403435e-08,37.6942090083122,0.999999948098011
"27","ABBA.N27",3,-63.3836837397128,32.9774182818113,6.90310702028453e-08,4.35058026148981e-08,34.8009327789473,0.999999991603814
"4","ABBA.N4",27,-59.5763602052389,36.7847418162852,1.02871436759823e-08,6.48331890152178e-09,65.5788777770381,0.999999998087133
"31","ABBA.N31",2,-56.2497599618276,40.1113420596966,1.94954265096007e-09,1.22867018449466e-09,30.1789340349679,0.999999999315803
"29","ABBA.N29",3,-54.7688033805244,41.5922986409998,9.29709150121615e-10,5.85935328187748e-10,30.4934925993531,0.999999999901738
"1","ABBA.N1",46,-51.197650372553,45.1634516489712,1.55912552852962e-10,9.82615614921502e-11,103.867481902694,1
