"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"14","ABBA.Qty_N14",15,-487.483399527337,0,1,0.499518280037978,261.190679355505,0.499518280037978
"2","ABBA.Qty_N2",17,-486.985357601847,0.498041925489815,0.77956363141987,0.389406284347014,263.680178800924,0.888924564384993
"8","ABBA.Qty_N8",9,-483.456088624129,4.0273109032085,0.133499779663449,0.0666855803229352,251.593428927449,0.955610144707928
"7","ABBA.Qty_N7",9,-481.319155110332,6.16424441700491,0.0458618249455794,0.0229088199162187,250.524962170551,0.978518964624146
"17","ABBA.Qty_N17",5,-480.06609481568,7.41730471165698,0.0245105325005744,0.0122434590375019,245.310825185618,0.990762423661648
"9","ABBA.Qty_N9",15,-477.645834472069,9.8375650552681,0.00730802274861405,0.00365049095386611,256.271896827871,0.994412914615514
"21","ABBA.Qty_N21",9,-477.350910071237,10.1324894561004,0.00630605668999093,0.00314999059160626,248.540839651003,0.997562905207121
"31","ABBA.Qty_N31",2,-473.430716057316,14.0526834700209,0.000888175024252271,0.000443659660487184,238.769412082712,0.998006564867608
"29","ABBA.Qty_N29",3,-473.155414222563,14.3279853047744,0.000773958229885336,0.000386606283813561,239.686798020372,0.998393171151421
"27","ABBA.Qty_N27",3,-472.595085247889,14.8883142794477,0.000584848838573089,0.000292142685926239,239.406633533036,0.998685313837348
"28","ABBA.Qty_N28",3,-472.50212780209,14.9812717252469,0.000558287853212731,0.000278874988202919,239.360154810136,0.99896418882555
"5","ABBA.Qty_N5",26,-472.313789314706,15.1696102126308,0.000508113806813878,0.000253812134843218,270.225860174595,0.999218000960394
"30","ABBA.Qty_N30",3,-471.396095015008,16.0873045123294,0.000321133942289917,0.000160412274514475,238.807138416595,0.999378413234908
"23","ABBA.Qty_N23",5,-471.311836131,16.171563396337,0.000307885776846558,0.00015379457369855,240.933695843278,0.999532207808607
"4","ABBA.Qty_N4",27,-470.962471951726,16.520927575611,0.000258539056150508,0.000129144984650944,271.271933650282,0.999661352793258
"19","ABBA.Qty_N19",5,-470.080819627718,17.4025798996192,0.000166371062189833,8.31053868331567e-05,240.318187591637,0.999744458180091
"18","ABBA.Qty_N18",5,-469.431342406,18.0520571213367,0.000120239068366198,6.00616126236521e-05,239.993448980778,0.999804519792715
"25","ABBA.Qty_N25",5,-469.417589223587,18.0658103037505,0.000119415069843511,5.96500102988458e-05,239.986572389571,0.999864169803013
"24","ABBA.Qty_N24",5,-469.125035651873,18.3583638754643,0.000103164893945911,5.1532750384162e-05,239.840295603714,0.999915702553398
"26","ABBA.Qty_N26",5,-468.297941122928,19.1854584044087,6.82229730084304e-05,3.40786221362486e-05,239.426748339242,0.999949781175534
"15","ABBA.Qty_N15",15,-467.811055845897,19.67234368144,5.34816560344027e-05,2.67150648358876e-05,251.354507514785,0.99997649624037
"12","ABBA.Qty_N12",9,-465.807136134921,21.6762633924156,1.96362797278218e-05,9.80868067598616e-06,242.768952682845,0.999986304921046
"16","ABBA.Qty_N16",8,-464.572293445587,22.9111060817499,1.05905015275464e-05,5.29014910777957e-06,240.971861008508,0.999991595070153
"10","ABBA.Qty_N10",9,-464.536576759516,22.9468227678212,1.04030514738065e-05,5.19651437934238e-06,242.133672995143,0.999996791584533
"22","ABBA.Qty_N22",9,-462.088035071571,25.3953644557659,3.05820557354219e-06,1.52762958809836e-06,240.90940215117,0.999998319214121
"20","ABBA.Qty_N20",9,-461.652726604923,25.8306729224142,2.46003135735962e-06,1.22883063246777e-06,240.691747917846,0.999999548044753
"13","ABBA.Qty_N13",15,-459.148312262795,28.3350872645424,7.03256861858397e-07,3.51289658060413e-07,247.023135723234,0.999999899334411
"3","ABBA.Qty_N3",26,-456.596178016257,30.8872215110805,1.96302155410125e-07,9.80565150382135e-08,262.36705452537,0.999999997390926
"11","ABBA.Qty_N11",15,-449.336852765799,38.146546761538,5.20694054679585e-09,2.60096198619547e-09,242.117405974736,0.999999999991888
"6","ABBA.Qty_N6",27,-437.796170679203,49.6872288481339,1.62388528002811e-11,8.11160382058635e-12,254.68878301402,1
"1","ABBA.Qty_N1",46,-410.880241110118,76.6031584172187,2.3218571758826e-17,1.15981010299072e-17,283.708777271477,1
