"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"12","ACRU.N12",9,-35.6285159567162,0,1,0.438012726371862,27.6324397965399,0.438012726371862
"10","ACRU.N10",9,-35.3319511435598,0.296564813156451,0.862187593109622,0.377649138301939,27.4841573899617,0.8156618646738
"2","ACRU.N2",17,-32.8247423637896,2.80377359292658,0.246132124328954,0.107809002825023,36.4123711818948,0.923470867498824
"25","ACRU.N25",5,-30.9319379704874,4.6965779862288,0.0955324791871625,0.0418444416658322,20.7291268799806,0.965315309164656
"7","ACRU.N7",9,-29.7493498210014,5.8791661357148,0.0528877747554306,0.0231655184123671,24.6928567286825,0.988480827577023
"15","ACRU.N15",17,-27.2902606975327,8.33825525918348,0.0154657460999103,0.0067741936145967,33.6451303487664,0.99525502119162
"24","ACRU.N24",5,-25.1372345971378,10.4912813595784,0.00527044394578893,0.00230852152188508,17.8317751933057,0.997563542713505
"19","ACRU.N19",5,-23.8981654046958,11.7303505520204,0.00283652582698176,0.00124243441090048,17.2122405970847,0.998805977124405
"11","ACRU.N11",17,-22.6923963478204,12.9361196088958,0.00155223445161086,0.000679898444118406,31.3461981739102,0.999485875568524
"5","ACRU.N5",29,-21.7171612788503,13.911354677866,0.000953208077266773,0.000417517268723299,49.5252473060918,0.999903392837247
"21","ACRU.N21",9,-16.824765889421,18.8037500672953,8.25691004780146e-05,3.61663168144474e-05,18.2305647628923,0.999939559154061
"13","ACRU.N13",17,-16.7905952159647,18.8379207407515,8.1170362572219e-05,3.55536518108502e-05,28.3952976079824,0.999975112805872
"23","ACRU.N23",5,-14.1249347755126,21.5035811812036,2.14070427287871e-05,9.37655714919498e-06,12.3256252824932,0.999984489363021
"27","ACRU.N27",3,-13.3155075328645,22.3130084238517,1.42820905897495e-05,6.25573743750607e-06,9.76120204229433,0.999990745100459
"3","ACRU.N3",29,-13.1649428184602,22.463573138256,1.32463757781037e-05,5.80208116911341e-06,45.2491380758968,0.999996547181628
"18","ACRU.N18",5,-9.7693389744207,25.8591769822955,2.42521957532593e-06,1.06227703823892e-06,10.1478273819472,0.999997609458666
"6","ACRU.N6",29,-9.29303436021503,26.3354815965012,1.91127347307032e-06,8.37162104781746e-07,43.3131838467742,0.999998446620771
"29","ACRU.N29",3,-9.13913755021223,26.489378406504,1.76972002252964e-06,7.75159891983082e-07,7.67301705096818,0.999999221780663
"8","ACRU.N8",9,-6.44068032187745,29.1878356348388,4.591367149016e-07,2.0110772427147e-07,13.0385219791205,0.999999422888387
"22","ACRU.N22",9,-5.79769853330115,29.8308174234151,3.32904987098369e-07,1.45816621021746e-07,12.7170310848324,0.999999568705008
"17","ACRU.N17",5,-5.77303270127437,29.8554832554418,3.28824511652703e-07,1.44029320846896e-07,8.14967424537403,0.999999712734329
"14","ACRU.N14",17,-5.13729895061508,30.4912170061011,2.39285484258551e-07,1.04810087341299e-07,22.5686494753075,0.999999817544416
"20","ACRU.N20",9,-4.90963142132778,30.7188845353884,2.13539871983243e-07,9.35331815164785e-08,12.2729975288457,0.999999911077598
"28","ACRU.N28",3,-4.48276465348354,31.1457513032327,1.72498783682407e-07,7.55566625365609e-08,5.34483060260384,0.99999998663426
"30","ACRU.N30",3,0.608809598703266,36.2373255554195,1.35258552737094e-08,5.92449674494866e-09,2.79904347651044,0.999999992558757
"31","ACRU.N31",2,1.53884698773319,37.1673629444494,8.49590569681051e-09,3.7213148172582e-09,1.28185855741545,0.999999996280072
"16","ACRU.N16",9,3.59253096089076,39.221046917607,3.04269117316719e-09,1.33273745626656e-09,8.02191633773644,0.999999997612809
"26","ACRU.N26",5,3.62442311562189,39.2529390723381,2.99455698005273e-09,1.31165406710878e-09,3.4509463369259,0.999999998924464
"9","ACRU.N9",17,4.02522027435265,39.6537362310689,2.45075887480009e-09,1.07346357643122e-09,17.9873898628237,0.999999999997927
"4","ACRU.N4",29,16.5246958728396,52.1532118295559,4.73231826152536e-12,2.07281562379007e-12,30.4043187302468,1
"1","ACRU.N1",50,42.5681433964815,78.1966593531977,1.04667335807815e-17,4.58456251192601e-18,65.6724500408897,1
